Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
12/20/2019 00:00,"8.9903","152.7874","0","152.7874","0","0","0"
12/20/2019 00:15,"8.9903","163.0529","0","163.0529","0","0","0"
12/20/2019 00:30,"8.9903","165.0888","0","165.0888","0","0","0"
12/20/2019 00:45,"8.9903","164.8342","0","164.8342","0","0","0"
12/20/2019 01:00,"8.9903","166.3165","0","166.3165","0","0","0"
12/20/2019 01:15,"8.9903","162.922","0","162.922","0","0","0"
12/20/2019 01:30,"8.9903","163.8161","0","163.8161","0","0","0"
12/20/2019 01:45,"8.9903","170.6146","0","170.6146","0","0","0"
12/20/2019 02:00,"8.9903","155.5925","0","155.5925","0","0","0"
12/20/2019 02:15,"8.9903","163.513","0","163.513","0","0","0"
12/20/2019 02:30,"8.9903","154.8656","0","154.8656","0","0","0"
12/20/2019 02:45,"8.9903","161.1916","0","161.1916","0","0","0"
12/20/2019 03:00,"8.9903","176.726","0","176.726","0","0","0"
12/20/2019 03:15,"8.9903","169.8427","0","169.8427","0","0","0"
12/20/2019 03:30,"8.9903","169.4797","0","169.4797","0","0","0"
12/20/2019 03:45,"8.9903","159.723","0","159.723","0","0","0"
12/20/2019 04:00,"8.4962","163.1377","0","163.1377","0","0","0"
12/20/2019 04:15,"8.4962","157.0653","0","157.0653","0","0","0"
12/20/2019 04:30,"8.4962","158.6319","0","158.6319","0","0","0"
12/20/2019 04:45,"8.4962","154.9589","0","154.9589","0","0","0"
12/20/2019 05:00,"8.4962","159.9963","0","159.9963","0","0","0"
12/20/2019 05:15,"8.4962","162.9125","0","162.9125","0","0","0"
12/20/2019 05:30,"8.4962","155.5829","0","155.5829","0","0","0"
12/20/2019 05:45,"8.4962","147.8363","0","126.503","0","0","21.3333"
12/20/2019 06:00,"8.4962","155.0829","4.7856","37.8685","0","0","122"
12/20/2019 06:15,"8.4962","148.815","18.1513","29.9664","180.5833","89.25","137"
