Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
11/22/2019 00:00,"98.9903","2064.1616","0","2064.1616","0","0","0"
11/22/2019 00:15,"98.8256","2083.0046","0","2083.0046","0","0","0"
11/22/2019 00:30,"98.4962","1490.4945","0","1490.4945","0","0","0"
11/22/2019 00:45,"98.4962","2032.6515","0","2032.6515","0","0","0"
11/22/2019 01:00,"98.4962","1112.8655","0","1112.8655","0","0","0"
11/22/2019 01:15,"98.4962","2056.5608","0","2056.5608","0","0","0"
11/22/2019 01:30,"98.4962","2067.1111","0","2067.1111","0","0","0"
11/22/2019 01:45,"98.4962","1104.64","0","1104.64","0","0","0"
11/22/2019 02:00,"98.4962","2032.0166","0","2032.0166","0","0","0"
11/22/2019 02:15,"98.4962","1108.2975","0","1108.2975","0","0","0"
11/22/2019 02:30,"98.4962","2040.2765","0","2040.2765","0","0","0"
11/22/2019 02:45,"98.4962","2051.4529","0","2051.4529","0","0","0"
11/22/2019 03:00,"98.4962","1083.6425","0","1083.6425","0","0","0"
11/22/2019 03:15,"98.4962","1106.4286","0","1106.4286","0","0","0"
11/22/2019 03:30,"98.4962","2020.0459","0","2020.0459","0","0","0"
11/22/2019 03:45,"98.4962","2042.9614","0","2042.9614","0","0","0"
11/22/2019 04:00,"98.4962","2016.9243","0","2016.9243","0","0","0"
11/22/2019 04:15,"98.4962","1631.3378","0","1631.3378","0","517.3333","0"
11/22/2019 04:30,"99.8317","1513.9066","0","1513.9066","0","390.6667","0"
11/22/2019 04:45,"100","2063.5391","0","2063.5391","0","0","0"
11/22/2019 05:00,"100","2308.3538","0","2308.3538","0","0","0"
11/22/2019 05:15,"100","1096.2428","0","1096.2428","0","0","0"
11/22/2019 05:30,"100","2021.6984","0","2021.6984","0","0","0"
11/22/2019 05:45,"100","1087.2395","0","1003.9061","0","0","83.3333"
11/22/2019 06:00,"100","1999.015","172.4025","1779.4176","344.6667","0","392"
11/22/2019 06:15,"100","2021.1855","272.7723","1218.9579","1075","0","1075"
11/22/2019 06:30,"100","1089.7198","817.6299","489.3498","1418","0","1418"
11/22/2019 06:45,"100","1135.6477","1110.4335","475.0812","1771","0","1771"
11/22/2019 07:00,"100","2079.4009","691.6425","654.3767","2116.6667","0","2116.6667"
11/22/2019 07:15,"100","2097.0317","780.372","470.7372","2406.6667","0","2406.6667"
11/22/2019 07:30,"100","2162.272","803.5318","316.8037","2649","0","2649"
11/22/2019 07:45,"100","2139.1389","891.9277","148.7334","2882.3333","0","2882.3333"
11/22/2019 08:00,"100","1142.6313","1955.7019","0","3098.3333","0","3098.3333"
11/22/2019 08:15,"100","2244.6943","1075.9475","58.6419","3262","0","3262"
11/22/2019 08:30,"100","2207.7031","1231.9635","0","3439.6667","0","3439.6667"
11/22/2019 08:45,"100","1206.5015","2361.4985","0","3568","0","3568"
11/22/2019 09:00,"100","1212.5305","2520.8027","0","3733.3333","0","3733.3333"
11/22/2019 09:15,"100","1198.4568","2639.21","0","3837.6667","0","3837.6667"
11/22/2019 09:30,"100","2185.6323","1728.0345","0","3913.6667","0","3913.6667"
11/22/2019 09:45,"100","2299.209","1693.4578","0","3992.6667","0","3992.6667"
11/22/2019 10:00,"100","2335.7456","1701.2545","0","4037","0","4037"
11/22/2019 10:15,"100","2384.8459","1693.8208","0","4078.6667","0","4078.6667"
11/22/2019 10:30,"100","2390.9934","1675.3398","0","4066.3333","0","4066.3333"
11/22/2019 10:45,"100","2333.7551","1682.9116","0","4016.6667","0","4016.6667"
11/22/2019 11:00,"100","3531.3337","455.333","0","3986.6667","0","3986.6667"
11/22/2019 11:15,"100","3574.9226","704.4109","0","4279.3335","0","4279.3335"
11/22/2019 11:30,"100","3434.3438","442.4998","446.8435","3430","0","3430"
11/22/2019 11:45,"100","3454.6226","0","2067.9558","1386.6666","0","1386.6666"
11/22/2019 12:00,"100","3403.0146","579.4705","778.8184","3203.6667","0","3203.6667"
11/22/2019 12:15,"98.9903","3432.7637","0","2564.0969","868.6667","0","868.6667"
11/22/2019 12:30,"99.4952","2274.3953","0","2021.0619","404.3125","150.9583","253.3333"
11/22/2019 12:45,"99.4952","2250.2158","0","1640.2158","726.1458","116.1458","610"
