Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
11/29/2019 00:00,"100","2160.783","0","2160.783","0","0","0"
11/29/2019 00:15,"100","2096.8657","0","2096.8657","0","0","0"
11/29/2019 00:30,"100","2127.897","0","2127.897","0","0","0"
11/29/2019 00:45,"100","1154.3298","0","1154.3298","0","0","0"
11/29/2019 01:00,"100","2186.2988","0","2186.2988","0","0","0"
11/29/2019 01:15,"100","1153.9751","0","1153.9751","0","0","0"
11/29/2019 01:30,"100","2114.0864","0","2114.0864","0","0","0"
11/29/2019 01:45,"100","2127.012","0","2127.012","0","0","0"
11/29/2019 02:00,"100","2101.1453","0","2101.1453","0","0","0"
11/29/2019 02:15,"100","1150.5226","0","1150.5226","0","0","0"
11/29/2019 02:30,"100","1160.0476","0","1160.0476","0","0","0"
11/29/2019 02:45,"100","2120.0898","0","2120.0898","0","0","0"
11/29/2019 03:00,"100","2092.5503","0","2092.5503","0","0","0"
11/29/2019 03:15,"100","2107.5332","0","2107.5332","0","0","0"
11/29/2019 03:30,"100","1134.3624","0","1134.3624","0","0","0"
11/29/2019 03:45,"100","2122.9819","0","2122.9819","0","0","0"
11/29/2019 04:00,"100","2051.3667","0","2051.3667","0","0","0"
11/29/2019 04:15,"100","2082.7954","0","2082.7954","0","0","0"
11/29/2019 04:30,"100","2114.3296","0","2114.3296","0","0","0"
11/29/2019 04:45,"100","885.9374","0","885.9374","0","0","0"
11/29/2019 05:00,"100","1157.2395","0","1157.2395","0","0","0"
11/29/2019 05:15,"100","2063.4011","0","2063.4011","0","0","0"
11/29/2019 05:30,"100","2078.9585","0","2078.9585","0","0","0"
11/29/2019 05:45,"100","2097.8196","0","2084.1528","0","0","13.6667"
11/29/2019 06:00,"99.6634","1112.9873","0","1037.9873","0","0","75"
11/29/2019 06:15,"98.9903","2100.217","0","1974.8838","0","0","125.3333"
11/29/2019 06:30,"98.9903","2265.8528","40.5","2054.0195","190","0","252.3333"
11/29/2019 06:45,"99.3269","2103.2227","0","1845.2227","397.1458","139.1458","258"
11/29/2019 07:00,"99.4952","2142.7275","112.675","1828.0692","427.3333","0","427.3333"
11/29/2019 07:15,"99.4952","2116.2437","57.3239","1857.5675","316","0","316"
11/29/2019 07:30,"99.4952","1135.9805","50.9911","983.9716","283.9583","80.9583","203"
11/29/2019 07:45,"100","1168.2979","352.4946","935.7925","585","0","585"
11/29/2019 08:00,"100","2182.5623","162.5527","1700.115","645","0","645"
11/29/2019 08:15,"100","2151.7502","299.9633","1635.0469","816.6667","0","816.6667"
11/29/2019 08:30,"100","2267.3438","425.0134","1363.3573","1329","0","1329"
11/29/2019 08:45,"100","3071.4211","0","2623.0879","448.3333","0","448.3333"
11/29/2019 09:00,"100","1794.5747","0","1038.908","755.6667","0","755.6667"
11/29/2019 09:15,"100","2837.1982","43.7767","2066.3081","814.6667","0","814.6667"
11/29/2019 09:30,"100","1166.3225","919.7709","766.4268","1319.6666","0","1319.6666"
11/29/2019 09:45,"100","2198.874","395.0382","824.5789","1769.3334","0","1769.3334"
11/29/2019 10:00,"100","2255.6338","839.5999","419.9003","2675.3333","0","2675.3333"
11/29/2019 10:15,"100","2206.6294","749.924","452.2202","2504.3333","0","2504.3333"
11/29/2019 10:30,"100","2893.4324","562.555","177.6541","3278.3333","0","3278.3333"
11/29/2019 10:45,"100","1746.2147","1805.1185","0","3551.3333","0","3551.3333"
11/29/2019 11:00,"100","2791.8682","160.1466","1411.348","1540.6666","0","1540.6666"
11/29/2019 11:15,"100","1743.3293","402.0726","542.7354","1602.6666","0","1602.6666"
11/29/2019 11:30,"100","3165.5459","276.092","1025.3048","2416.3333","0","2416.3333"
11/29/2019 11:45,"100","2832.7793","24.0075","2042.4535","814.3333","0","814.3333"
11/29/2019 12:00,"100","2749.823","0","2234.823","515","0","515"
11/29/2019 12:15,"100","2730.3792","0","2199.0459","531.3333","0","531.3333"
11/29/2019 12:30,"99.6634","2761.7502","0","2319.417","442.3333","0","442.3333"
11/29/2019 12:45,"98.9903","2752.801","0","2012.801","763","23","740"
11/29/2019 13:00,"99.1586","1315.7551","97.3166","947.0717","536","70","466"
11/29/2019 13:15,"99.4952","2098.0376","0","1863.3708","392.7917","158.125","234.6667"
11/29/2019 13:30,"99.8317","1086.7843","300.1142","851.5652","600.2917","64.9583","535.3333"
11/29/2019 13:45,"100","2093.8799","115.5851","1829.1317","440.2292","59.8958","380.3333"
11/29/2019 14:00,"100","2074.9399","215.8339","1663.7738","687.7292","60.7292","627"
11/29/2019 14:15,"100","2107.5029","220.2542","1549.7572","837.9583","59.9583","778"
11/29/2019 14:30,"100","1117.1606","356.3186","834.8126","698.6667","60","638.6667"
11/29/2019 14:45,"100","2054.1423","59.451","1736.9266","438.6667","62","376.6667"
11/29/2019 15:00,"100","1127.1445","8.5019","932.9797","133.6875","59","202.6667"
11/29/2019 15:15,"100","2069.6379","98.2614","1867.8993","364.125","64.125","300"
11/29/2019 15:30,"100","2092.0396","40.9207","1762.9601","429.6042","59.6042","370"
11/29/2019 15:45,"100","2109.2327","22.6071","1887.5065","303.9375","59.6042","244.3333"
11/29/2019 16:00,"100","2080.0371","0","1942.0372","73.6458","58.3125","138"
11/29/2019 16:15,"100","1104.2799","5.4262","987.0394","0","58.6667","122.6667"
11/29/2019 16:30,"100","2107.396","0","2081.396","0","58.3333","26"
11/29/2019 16:45,"100","1105.3627","0","1096.0293","0","60","9.3333"
11/29/2019 17:00,"100","2110.6523","0","2110.6523","0","60.9583","0"
11/29/2019 17:15,"100","2081.3069","0","2081.3069","0","59.6042","0"
11/29/2019 17:30,"100","2091.5359","0","2091.5359","0","60.9583","0"
11/29/2019 17:45,"100","1633.5618","0","1633.5618","0","60.0208","0"
11/29/2019 18:00,"100","2021.6058","0","2021.6058","0","61.2708","0"
11/29/2019 18:15,"99.6634","1131.1847","0","1131.1847","0","59.9583","0"
11/29/2019 18:30,"98.9903","2096.5535","0","2096.5535","0","58.2917","0"
11/29/2019 18:45,"98.9903","2057.0051","0","2057.0051","0","0","0"
11/29/2019 19:00,"98.9903","2098.9563","0","2098.9563","0","21.6875","0"
11/29/2019 19:15,"98.9903","1110.2849","0","1110.2849","0","62.9792","0"
11/29/2019 19:30,"98.9903","2090.4097","0","2090.4097","0","63.625","0"
11/29/2019 19:45,"98.9903","1112.515","0","1112.515","0","60.6875","0"
11/29/2019 20:00,"98.9903","3020.3977","0","3020.3977","0","40.3542","0"
11/29/2019 20:15,"98.9903","1107.6787","0","1107.6787","0","0","0"
11/29/2019 20:30,"98.9903","2048.5249","0","2048.5249","0","0","0"
11/29/2019 20:45,"98.9903","2057.3726","0","2057.3726","0","0","0"
11/29/2019 21:00,"98.9903","2071.239","0","2071.239","0","0","0"
11/29/2019 21:15,"98.9903","2039.7026","0","2039.7026","0","0","0"
11/29/2019 21:30,"98.9903","2001.2112","0","2001.2112","0","0","0"
11/29/2019 21:45,"98.9903","1109.0392","0","1109.0392","0","0","0"
11/29/2019 22:00,"98.9903","2082.448","0","2082.448","0","0","0"
11/29/2019 22:15,"98.4962","2043.9263","0","2043.9263","0","0","0"
11/29/2019 22:30,"98.4962","2068.8894","0","2068.8894","0","0","0"
11/29/2019 22:45,"98.4962","1096.5088","0","1096.5088","0","0","0"
11/29/2019 23:00,"98.4962","2076.7046","0","2076.7046","0","0","0"
11/29/2019 23:15,"98.4962","1114.5138","0","1114.5138","0","0","0"
11/29/2019 23:30,"98.4962","2060.8391","0","2060.8391","0","0","0"
11/29/2019 23:45,"98.4962","2060.188","0","2060.188","0","0","0"
11/30/2019 00:00,"98.4962","2043.4304","0","2043.4304","0","0","0"
11/30/2019 00:15,"98.4962","1075.171","0","1075.171","0","0","0"
11/30/2019 00:30,"98.4962","1100.7255","0","1100.7255","0","0","0"
11/30/2019 00:45,"98.4962","2032.9254","0","2032.9254","0","0","0"
11/30/2019 01:00,"98.4962","2023.8198","0","2023.8198","0","0","0"
11/30/2019 01:15,"98.4962","2040.2592","0","2040.2592","0","0","0"
11/30/2019 01:30,"98.4962","1066.2037","0","1066.2037","0","0","0"
11/30/2019 01:45,"98.4962","2041.1025","0","2041.1025","0","0","0"
11/30/2019 02:00,"98.4962","1084.569","0","1084.569","0","0","0"
11/30/2019 02:15,"98.4962","2040.676","0","2040.676","0","0","0"
11/30/2019 02:30,"98.6609","2435.4329","0","2435.4329","0","389.6667","0"
11/30/2019 02:45,"99.8317","2415.165","0","2415.165","0","390.6458","0"
11/30/2019 03:00,"100","2004.668","0","2004.668","0","0","0"
11/30/2019 03:15,"100","1071.3112","0","1071.3112","0","0","0"
11/30/2019 03:30,"100","1999.1385","0","1999.1385","0","0","0"
11/30/2019 03:45,"100","2010.5864","0","2010.5864","0","0","0"
11/30/2019 04:00,"100","1991.8331","0","1991.8331","0","0","0"
11/30/2019 04:15,"100","1947.0293","0","1947.0293","0","0","0"
11/30/2019 04:30,"100","1062.6295","0","1062.6295","0","0","0"
11/30/2019 04:45,"100","2007.6305","0","2007.6305","0","0","0"
11/30/2019 05:00,"100","2228.7332","0","2228.7332","0","0","0"
11/30/2019 05:15,"100","1056.9177","0","1056.9177","0","0","0"
11/30/2019 05:30,"100","1997.5852","0","1997.5852","0","0","0"
11/30/2019 05:45,"100","1071.0183","0","1017.3516","0","0","53.6667"
11/30/2019 06:00,"100","2022.2828","51.5767","1875.5262","86.3333","0","198.3333"
11/30/2019 06:15,"100","2042.0725","47.9173","1607.3231","482.6667","0","482.6667"
11/30/2019 06:30,"100","1053.2837","476.5987","503.8824","1026","0","1026"
11/30/2019 06:45,"100","2003.0735","170.7576","1486.8311","687","0","687"
11/30/2019 07:00,"100","1067.5471","758.0319","282.2457","1543.3334","0","1543.3334"
11/30/2019 07:15,"100","2055.6057","366.5053","1570.7778","851.3333","0","851.3333"
