Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
10/04/2019 00:00,"0","0","0","0","0","0","0"
10/04/2019 00:15,"0","0","0","0","0","0","0"
10/04/2019 00:30,"0","0","0","0","0","0","0"
10/04/2019 00:45,"0","0","0","0","0","0","0"
10/04/2019 01:00,"0","0","0","0","0","0","0"
10/04/2019 01:15,"0","0","0","0","0","0","0"
10/04/2019 01:30,"0","0","0","0","0","0","0"
10/04/2019 01:45,"0","0","0","0","0","0","0"
10/04/2019 02:00,"0","0","0","0","0","0","0"
10/04/2019 02:15,"0","0","0","0","0","0","0"
10/04/2019 02:30,"0","0","0","0","0","0","0"
10/04/2019 02:45,"0","0","0","0","0","0","0"
10/04/2019 03:00,"0","0","0","0","0","0","0"
10/04/2019 03:15,"0","0","0","0","0","0","0"
10/04/2019 03:30,"0","0","0","0","0","0","0"
10/04/2019 03:45,"0","0","0","0","0","0","0"
10/04/2019 04:00,"0","0","0","0","0","0","0"
10/04/2019 04:15,"0","0","0","0","0","0","0"
10/04/2019 04:30,"0","0","0","0","0","0","0"
10/04/2019 04:45,"0","0","0","0","0","0","0"
10/04/2019 05:00,"0","0","0","0","0","0","0"
10/04/2019 05:15,"0","0","0","0","0","0","0"
10/04/2019 05:30,"0","0","0","0","0","0","0"
10/04/2019 05:45,"0","0","0","0","0","0","0"
10/04/2019 06:00,"0","0","0","0","0","0","0"
10/04/2019 06:15,"0","0","0","0","0","0","0"
10/04/2019 06:30,"0","0","0","0","0","0","0"
10/04/2019 06:45,"0","0","0","0","0","0","0"
10/04/2019 07:00,"0","0","0","0","0","0","0"
10/04/2019 07:15,"0","0","0","0","0","0","0"
10/04/2019 07:30,"0","0","0","0","0","0","0"
10/04/2019 07:45,"0","0","0","0","0","0","0"
10/04/2019 08:00,"0","0","0","0","0","0","0"
10/04/2019 08:15,"0","0","0","0","0","0","0"
10/04/2019 08:30,"0","0","0","0","0","0","0"
10/04/2019 08:45,"0","0","0","0","0","0","0"
10/04/2019 09:00,"0","0","0","0","0","0","0"
10/04/2019 09:15,"0","1407.0503","0","744.3837","662.6667","0","662.6667"
10/04/2019 09:30,"0","3419.1636","479.0227","1505.5197","2392.6667","0","2392.6667"
10/04/2019 09:45,"0","3454.0049","291.1031","973.4411","2771.6667","0","2771.6667"
10/04/2019 10:00,"0","3434.3291","0","1916.329","1518","0","1518"
10/04/2019 10:15,"0","3426.3313","0","1944.6647","1481.6666","0","1481.6666"
10/04/2019 10:30,"0","3491.9307","394.3596","1096.2902","2790","0","2790"
10/04/2019 10:45,"0","3376.8022","800.9545","608.4235","3569.3333","0","3569.3333"
10/04/2019 11:00,"0","3542.071","954.838","659.2424","3837.6667","0","3837.6667"
10/04/2019 11:15,"0","3550.6016","396.7585","1107.6932","2839.6667","0","2839.6667"
10/04/2019 11:30,"0","3540.2805","0","1966.9471","1573.3334","0","1573.3334"
10/04/2019 11:45,"0","3455.5957","700.2792","1710.2081","2445.6667","0","2445.6667"
10/04/2019 12:00,"0","3523.2168","962.4496","0","4485.6665","0","4485.6665"
10/04/2019 12:15,"0","3679.5183","746.1482","0","4425.6665","0","4425.6665"
10/04/2019 12:30,"0","3680.3472","666.9865","0","4347.3335","0","4347.3335"
10/04/2019 12:45,"0","3647.9404","957.0596","0","4605","0","4605"
10/04/2019 13:00,"0","3655.354","1126.9796","0","4782.3335","0","4782.3335"
10/04/2019 13:15,"0","3710.978","443.8066","1373.4515","2781.3333","0","2781.3333"
10/04/2019 13:30,"0","3627.8999","0","2451.2332","1176.6666","0","1176.6666"
10/04/2019 13:45,"0","3588.4668","0","2470.1333","1118.3334","0","1118.3334"
10/04/2019 14:00,"0","3438.8398","0","1825.5066","1613.3334","0","1613.3334"
10/04/2019 14:15,"0","3606.0806","0","2424.4141","1181.6666","0","1181.6666"
10/04/2019 14:30,"0","3522.6465","0","2750.6465","772","0","772"
10/04/2019 14:45,"0","3359.0674","0","2004.0675","1355","0","1355"
10/04/2019 15:00,"0","3485.374","0","2879.0408","606.3333","0","606.3333"
10/04/2019 15:15,"0","3446.644","0","2865.644","581","0","581"
10/04/2019 15:30,"0","3436.9302","0","3244.9302","192","0","192"
10/04/2019 15:45,"0","3384.8677","0","3337.5344","47.3333","0","47.3333"
10/04/2019 16:00,"0","3344.7014","0","3291.0347","53.6667","0","53.6667"
10/04/2019 16:15,"0","2268.5286","6.8096","2152.0049","123.3333","0","123.3333"
10/04/2019 16:30,"0","1176.4695","2.6787","1037.1482","142","0","142"
10/04/2019 16:45,"0","69.7501","15.5807","14.3308","71","0","71"
10/04/2019 17:00,"0","34.9419","7.9068","15.182","31.6667","0","27.6667"
10/04/2019 17:15,"0","33.2326","0","33.2326","0.3333","0","0"
10/04/2019 17:30,"0","24.3765","0","20.3765","7","0","4"
10/04/2019 17:45,"0","15.827","0.0825","15.2428","7","0","0.6667"
10/04/2019 18:00,"0","37.1145","0","37.1145","3.3333","0","0"
10/04/2019 18:15,"0","35.7078","0","35.7078","0","0","0"
10/04/2019 18:30,"0","49.1094","0","49.1094","0","0","0"
10/04/2019 18:45,"0","45.9455","0","45.9455","0","0","0"
10/04/2019 19:00,"0","47.8214","0","47.8214","0","0","0"
10/04/2019 19:15,"0","42.0696","0","42.0696","0","0","0"
10/04/2019 19:30,"0","39.4417","0","39.4417","0","0","0"
10/04/2019 19:45,"0","48.2734","0","48.2734","2","0","0"
10/04/2019 20:00,"0","2179.7495","0","2179.7495","0","0","0"
10/04/2019 20:15,"0","1186.0388","0","1186.0388","2.3333","0","0"
10/04/2019 20:30,"98.4962","1682.1001","0","1682.1001","0.5","0","0"
10/04/2019 20:45,"99.1622","2574.3276","0","2574.3276","0","390.0208","0"
10/04/2019 21:00,"100","2148.1318","0","2148.1318","0","0","0"
10/04/2019 21:15,"100","2198.5327","0","2198.5327","0","0","0"
10/04/2019 21:30,"100","1154.2491","0","1154.2491","0.3333","0","0"
10/04/2019 21:45,"100","158.8958","0","158.8958","0","0","0"
10/04/2019 22:00,"100","179.1607","0","179.1607","0","0","0"
10/04/2019 22:15,"100","178.0113","0","178.0113","0","0","0"
10/04/2019 22:30,"100","170.77","0","170.77","0","0","0"
10/04/2019 22:45,"100","177.9212","0","177.9212","0","0","0"
10/04/2019 23:00,"100","163.9047","0","163.9047","0","0","0"
10/04/2019 23:15,"100","167.6499","0","167.6499","0","0","0"
10/04/2019 23:30,"100","172.0782","0","172.0782","0.3333","0","0"
10/04/2019 23:45,"100","168.2439","0","168.2439","0.6667","0","0"
10/05/2019 00:00,"100","168.8349","0","168.8349","0","0","0"
10/05/2019 00:15,"100","161.4867","0","161.4867","2.3333","0","0"
10/05/2019 00:30,"100","168.8444","0","168.8444","0","0","0"
10/05/2019 00:45,"100","169.9671","0","169.9671","0","0","0"
10/05/2019 01:00,"100","163.2748","0","163.2748","0.3333","0","0"
10/05/2019 01:15,"100","176.0426","0","176.0426","0","0","0"
10/05/2019 01:30,"100","159.0061","0","159.0061","0","0","0"
10/05/2019 01:45,"100","164.559","0","164.559","0","0","0"
10/05/2019 02:00,"100","182.0964","0","182.0964","0","0","0"
10/05/2019 02:15,"100","174.0515","0","174.0515","0","0","0"
10/05/2019 02:30,"100","180.6332","0","180.6332","0","0","0"
10/05/2019 02:45,"100","171.6362","0","171.6362","1.3333","0","0"
10/05/2019 03:00,"100","169.8782","0","169.8782","0","0","0"
10/05/2019 03:15,"98.9903","159.3042","0","159.3042","0","0","0"
10/05/2019 03:30,"98.9903","172.1794","0","172.1794","0.6667","0","0"
10/05/2019 03:45,"98.9903","175.3635","0","175.3635","0","0","0"
10/05/2019 04:00,"98.9903","171.1487","0","171.1487","0","0","0"
10/05/2019 04:15,"98.9903","173.3987","0","173.3987","0","0","0"
10/05/2019 04:30,"98.9903","165.0522","0","165.0522","0","0","0"
10/05/2019 04:45,"98.9903","169.6439","0","169.6439","0","0","0"
10/05/2019 05:00,"98.9903","166.0062","0","166.0062","0","0","0"
10/05/2019 05:15,"98.9903","163.8913","0","163.8913","1","0","0"
10/05/2019 05:30,"98.9903","179.1375","0","179.1375","0.3333","0","0"
10/05/2019 05:45,"98.9903","167.7389","0","167.7389","0.6667","0","0"
10/05/2019 06:00,"98.9903","181.4963","0","181.4963","0","0","0"
10/05/2019 06:15,"98.9903","165.5267","0","165.5267","0","0","0"
10/05/2019 06:30,"98.9903","169.4605","0","166.4605","7.3333","0","3"
10/05/2019 06:45,"98.9903","173.1992","0","74.8659","98.3333","0","98.3333"
10/05/2019 07:00,"98.9903","140.5247","54.8086","0","277.1458","81.8125","195.3333"
10/05/2019 07:15,"99.4952","160.3127","165.2219","9.2012","573.2917","256.9583","316.3333"
10/05/2019 07:30,"100","157.3514","616.6486","0","774","0","774"
10/05/2019 07:45,"100","160.7152","859.2848","0","1020","0","1020"
10/05/2019 08:00,"100","154.2261","1388.1073","0","1542.3334","0","1542.3334"
10/05/2019 08:15,"100","149.3159","1665.6841","0","1815","0","1815"
10/05/2019 08:30,"100","164.5508","2175.7825","0","2340.3333","0","2340.3333"
10/05/2019 08:45,"100","3276.7124","0","741.0458","2535.6667","0","2535.6667"
10/05/2019 09:00,"100","41.3545","2451.3123","0","2492.6667","0","2492.6667"
10/05/2019 09:15,"100","51.2761","2748.3906","0","2799.6667","0","2799.6667"
10/05/2019 09:30,"100","85.9182","3060.0818","0","3146","0","3146"
10/05/2019 09:45,"100","31.9949","2901.3384","0","2933.3333","0","2933.3333"
10/05/2019 10:00,"100","0","2218.3796","0","2094.3333","0","2094.3333"
10/05/2019 10:15,"100","49.4023","3893.2644","0","3942.6667","0","3942.6667"
10/05/2019 10:30,"100","37.4109","2156.5891","0","2194","0","2194"
10/05/2019 10:45,"100","2.2198","1827.4468","0","1829.6666","0","1829.6666"
10/05/2019 11:00,"100","28.2507","2959.0825","0","2987.3333","0","2987.3333"
10/05/2019 11:15,"100","25.4135","1827.5865","0","1853","0","1853"
10/05/2019 11:30,"100","60.2411","1886.7589","0","1947","0","1947"
