Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
10/23/2020 00:00,"16.165","161.2021","0","38.5354","0","-109.2917","122.6667"
10/23/2020 00:15,"15.329","191.7439","14.6831","60.7604","0","-69.6042","145.6667"
10/23/2020 00:30,"14.6601","167.2803","18.8355","27.4491","0","-109.4583","158.6667"
10/23/2020 00:45,"13.8241","166.8647","20.9266","45.458","0","-105.5208","142.3333"
10/23/2020 01:00,"13.1625","198.5101","20.9091","72.7525","0","-78.6042","146.6667"
10/23/2020 01:15,"12.3301","151.5439","1.1117","42.9889","0","-109.6667","109.6667"
10/23/2020 01:30,"11.8284","131.019","0","36.019","0","-86.1042","95"
10/23/2020 01:45,"11.1596","171.6058","23.5695","34.842","0","-117.9792","160.3333"
10/23/2020 02:00,"10.6579","156.3664","34.8131","6.8462","0","-172.5","184.3333"
10/23/2020 02:15,"9.4984","175.4279","0","159.0946","0","0","16.3333"
10/23/2020 02:30,"8.8295","176.0949","0","176.0949","0","0","0"
10/23/2020 02:45,"8.4951","170.4287","0","170.4287","0","0","0"
10/23/2020 03:00,"8.1607","181.6082","0","173.9415","0","0","7.6667"
10/23/2020 03:15,"7.4918","181.2588","0","181.2588","0","0","0"
10/23/2020 03:30,"7.4918","174.1561","0","174.1561","0","0","0"
10/23/2020 03:45,"7.4918","181.1046","0","170.1046","0","0","11"
10/23/2020 04:00,"7.4918","184.0773","0","184.0773","0","0","0"
10/23/2020 04:15,"7.4918","195.6661","0","185.3328","0","0","10.3333"
10/23/2020 04:30,"7.4918","190.1856","0","179.1856","0","0","11"
10/23/2020 04:45,"7.4918","193.3172","0","172.3172","0","0","21"
10/23/2020 05:00,"7.4918","186.7423","0","178.9923","0","0","7.75"
10/23/2020 05:15,"7.4918","192.2359","0","181.2359","0","0","11"
10/23/2020 05:30,"7.4918","182.7275","0","169.0609","0","0","13.6667"
10/23/2020 05:45,"7.4918","174.2001","0","106.2001","0","0","68"
