Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
10/16/2020 00:00,"8.4951","185.0813","0","185.0813","0","0","0"
10/16/2020 00:15,"8.4951","176.3667","0","176.3667","0","0","0"
10/16/2020 00:30,"8.4951","182.6717","0","182.6717","0","0","0"
10/16/2020 00:45,"8.4951","180.5862","0","180.5862","0","0","0"
10/16/2020 01:00,"8.4951","180.9118","0","180.9118","0","0","0"
10/16/2020 01:15,"8.4951","178.4564","0","178.4564","0","0","0"
10/16/2020 01:30,"8.4951","185.3306","0","185.3306","0","0","0"
10/16/2020 01:45,"8.4951","186.538","0","186.538","0","0","0"
10/16/2020 02:00,"8.4951","182.3487","0","182.3487","0","0","0"
10/16/2020 02:15,"8.4951","171.414","0","171.414","0","0","0"
10/16/2020 02:30,"8.4951","179.1539","0","179.1539","0","0","0"
10/16/2020 02:45,"8.1607","188.1585","0","188.1585","0","0","0"
10/16/2020 03:00,"7.9935","185.9943","0","175.3277","0","0","10.6667"
10/16/2020 03:15,"7.9935","183.5764","0","183.5764","0","0","0"
10/16/2020 03:30,"7.9935","172.6581","0","172.6581","0","0","0"
10/16/2020 03:45,"7.9935","192.1402","0","192.1402","0","0","0"
10/16/2020 04:00,"7.9935","189.5684","0","179.9018","0","0","9.6667"
10/16/2020 04:15,"7.9935","205.3878","0","183.7211","0","0","21.6667"
10/16/2020 04:30,"7.9935","200.529","0","180.529","0","0","20"
10/16/2020 04:45,"7.9935","207.0929","0","175.0929","0","0","32"
10/16/2020 05:00,"7.9935","182.8368","0","172.5035","0","0","10.3333"
10/16/2020 05:15,"7.9935","193.7347","0","185.4847","0","0","8.25"
10/16/2020 05:30,"7.9935","181.7173","0","133.0506","0","0","48.6667"
10/16/2020 05:45,"7.9935","180.2884","0","45.955","0","0","134.3333"
10/16/2020 06:00,"7.9935","170.8006","592.5327","0","763.3333","0","763.3333"
10/16/2020 06:15,"7.9935","166.136","832.5307","0","998.6667","0","998.6667"
10/16/2020 06:30,"7.9935","153.6056","1206.7278","0","1360.3334","0","1360.3334"
10/16/2020 06:45,"7.9935","188.559","1373.441","0","1562","0","1562"
10/16/2020 07:00,"7.9935","213.887","2178.113","0","2392","0","2392"
10/16/2020 07:15,"7.9935","106.8007","857.1993","0","964","0","964"
10/16/2020 07:30,"7.9935","339.1329","1124.8671","0","1464","0","1464"
10/16/2020 07:45,"7.9935","161.574","1820.7594","0","1982.3334","0","1982.3334"
10/16/2020 08:00,"7.9935","171.9983","781.6684","0","953.6667","0","953.6667"
10/16/2020 08:15,"7.9935","130.2356","1295.0978","0","1425.3334","0","1425.3334"
10/16/2020 08:30,"7.9935","173.2661","832.4006","0","1005.6667","0","1005.6667"
10/16/2020 08:45,"7.9935","203.0967","1599.9033","0","1803","0","1803"
10/16/2020 09:00,"7.9935","210.7094","1769.624","0","1980.3334","0","1980.3334"
10/16/2020 09:15,"7.9935","2317.1431","335.2246","1207.0344","1445.3334","0","1445.3334"
10/16/2020 09:30,"7.9935","3342.9971","0","945.9969","2397","0","2397"
10/16/2020 09:45,"7.9935","3475.2412","0","1534.908","1940.3334","0","1940.3334"
10/16/2020 10:00,"7.9935","3431.0247","0","1962.358","1468.6666","0","1468.6666"
10/16/2020 10:15,"7.9935","3465.7881","812.5481","1262.6694","3015.6667","0","3015.6667"
10/16/2020 10:30,"7.9935","3591.7139","0","1491.7137","2100","0","2100"
10/16/2020 10:45,"7.9935","2836.5493","1665.4506","0","4502","0","4502"
10/16/2020 11:00,"7.9935","3653.501","190.5994","1182.4335","2661.6667","0","2661.6667"
10/16/2020 11:15,"7.9935","3391.717","1161.9714","710.6885","3843","0","3843"
10/16/2020 11:30,"8.3279","3616.3926","639.2306","1016.9566","3905","999.5","3238.6667"
10/16/2020 11:45,"10.1636","3448.124","0","1705.4574","1738.7709","-3.8958","1742.6666"
10/16/2020 12:00,"11.1596","3701.4414","0","1676.1079","3083.5833","1058.25","2025.3334"
10/16/2020 12:15,"11.6612","3456.4941","0","2030.1609","1426.3334","0","1426.3334"
10/16/2020 12:30,"11.9956","3445.6843","0","1467.6843","1978","0","1978"
10/16/2020 12:45,"11.9956","3425.1763","0","2347.5095","1077.6666","0","1077.6666"
10/16/2020 13:00,"11.9956","3426.9197","0","2489.9197","937","0","937"
10/16/2020 13:15,"11.9956","3445.228","0","2232.5613","1212.6666","0","1212.6666"
10/16/2020 13:30,"11.9956","3416.7527","0","2911.0859","505.6667","0","505.6667"
10/16/2020 13:45,"12.1629","1220.915","7.186","1026.7677","716.2083","514.875","201.3333"
10/16/2020 14:00,"13.9913","169.3142","0","104.3142","824.7708","759.7708","65"
10/16/2020 14:15,"16.1614","179.1014","0","174.1014","938.1667","933.1667","5"
10/16/2020 14:30,"18.4951","162.519","9.1264","125.9788","1289.1666","1243.5","45.6667"
10/16/2020 14:45,"20.9924","57.0434","30.5642","51.2743","741.2083","704.875","36.3333"
10/16/2020 15:00,"22.3301","92.2811","45.2225","29.837","336.6042","265.2708","107.6667"
10/16/2020 15:15,"22.4973","202.2504","0","46.917","119.9167","44.25","155.3333"
10/16/2020 15:30,"22.4973","172.8798","0","53.5465","0","-18.6667","119.3333"
10/16/2020 15:45,"22.1629","167.6706","20.1559","30.4931","0","-81.5","157.3333"
10/16/2020 16:00,"21.8284","205","19.531","53.1976","0","-57.9167","171.3333"
10/16/2020 16:15,"21.494","166.331","42.3862","19.7172","0","-163.5208","189"
10/16/2020 16:30,"20.9924","198.2049","0","56.2049","0","-39.5208","142"
10/16/2020 16:45,"20.4907","241.5794","0","92.2461","0","8.9375","149.3333"
10/16/2020 17:00,"20","171.9295","42.3908","33.9869","0","-129.625","180.3333"
10/16/2020 17:15,"19.4984","167.0454","54.123","25.8351","0","-153.5208","195.3333"
10/16/2020 17:30,"18.9967","105.1782","15.9834","12.1617","0","-109","109"
10/16/2020 17:45,"18.4951","151.0231","32.4863","61.1761","0","-115.5417","122.3333"
10/16/2020 18:00,"17.7426","230.1424","0","63.6424","0","-32.0469","166.5"
10/16/2020 18:15,"17.1574","184.0034","49.9024","1.2391","0","-143.625","232.6667"
10/16/2020 18:30,"16.663","225.7628","3.6102","27.7064","0","-60.2083","201.6667"
10/16/2020 18:45,"15.9978","154.3311","0","81.6644","0","-19.7292","72.6667"
10/16/2020 19:00,"15.329","190.6852","22.1399","69.1584","0","-64.0625","143.6667"
10/16/2020 19:15,"14.6601","142.0003","0","50.6669","0","-67.7917","91.3333"
