Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
10/30/2020 00:00,"8.4951","176.1301","0","176.1301","0","0","0"
10/30/2020 00:15,"8.4951","177.8682","0","177.8682","0","0","0"
10/30/2020 00:30,"8.4951","176.0587","0","176.0587","0","0","0"
10/30/2020 00:45,"8.4951","176.7088","0","176.7088","0","0","0"
10/30/2020 01:00,"8.4951","180.1517","0","180.1517","0","0","0"
10/30/2020 01:15,"8.4951","168.9105","0","168.9105","0","0","0"
10/30/2020 01:30,"8.4951","177.1764","0","177.1764","0","0","0"
10/30/2020 01:45,"8.4951","176.5481","0","176.5481","0","0","0"
10/30/2020 02:00,"8.4951","181.6154","0","181.6154","0","0","0"
10/30/2020 02:15,"8.4951","187.4236","0","187.4236","0","0","0"
10/30/2020 02:30,"8.4951","182.8377","0","182.8377","0","0","0"
10/30/2020 02:45,"8.4951","179.7662","0","179.7662","0","0","0"
10/30/2020 03:00,"8.4951","171.1124","0","171.1124","0","0","0"
10/30/2020 03:15,"8.4951","173.238","0","173.238","0","0","0"
10/30/2020 03:30,"8.4951","184.9404","0","184.9404","0","0","0"
10/30/2020 03:45,"8.1607","193.9154","0","183.9154","0","0","10"
10/30/2020 04:00,"7.9935","181.6698","0","171.6698","0","0","10"
10/30/2020 04:15,"7.9935","197.2643","0","175.2643","0","0","22"
10/30/2020 04:30,"7.9935","178.7954","0","178.7954","0","0","0"
10/30/2020 04:45,"7.9935","180.3411","0","180.3411","0","0","0"
10/30/2020 05:00,"7.9935","197.4978","0","180.2478","0","0","17.25"
10/30/2020 05:15,"7.9935","181.2678","0","171.2678","0","0","10"
10/30/2020 05:30,"7.9935","183.0992","0","153.4325","0","0","29.6667"
10/30/2020 05:45,"7.9935","178.7414","0","58.0747","0","0","120.6667"
10/30/2020 06:00,"7.9935","175.2697","511.6","6.203","627","0","680.6667"
10/30/2020 06:15,"7.9935","165.7336","133.933","0","299.6667","0","299.6667"
10/30/2020 06:30,"7.9935","164.0486","65.9515","0","230","0","230"
10/30/2020 06:45,"7.9935","156.3742","88.2924","0","244.6667","0","244.6667"
10/30/2020 07:00,"7.9935","169.646","148.0206","0","317.6667","0","317.6667"
10/30/2020 07:15,"7.9935","169.173","230.4937","0","399.6667","0","399.6667"
10/30/2020 07:30,"7.9935","165.5849","307.0818","0","472.6667","0","472.6667"
10/30/2020 07:45,"7.9935","170.5191","396.4809","0","567","0","567"
10/30/2020 08:00,"7.9935","176.1864","509.8136","0","686","0","686"
10/30/2020 08:15,"7.9935","181.0235","635.6432","0","816.6667","0","816.6667"
10/30/2020 08:30,"7.9935","170.4382","804.8951","0","975.3333","0","975.3333"
