Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
11/27/2020 00:00,"8.4951","177.1295","0","177.1295","0","0","0"
11/27/2020 00:15,"8.4951","182.364","0","182.364","0","0","0"
11/27/2020 00:30,"8.4951","186.5372","0","186.5372","0","0","0"
11/27/2020 00:45,"8.4951","177.4108","0","177.4108","0","0","0"
11/27/2020 01:00,"8.4951","174.182","0","174.182","0","0","0"
11/27/2020 01:15,"8.4951","170.1668","0","170.1668","0","0","0"
11/27/2020 01:30,"8.4951","167.4701","0","167.4701","0","0","0"
11/27/2020 01:45,"8.4951","179.523","0","179.523","0","0","0"
11/27/2020 02:00,"8.1607","182.7909","0","174.7909","0","0","8"
11/27/2020 02:15,"7.9935","168.7505","0","168.7505","0","0","0"
11/27/2020 02:30,"7.9935","203.6688","0","192.6688","0","0","11"
11/27/2020 02:45,"7.9935","179.696","0","179.696","0","0","0"
11/27/2020 03:00,"7.9935","181.5604","0","181.5604","0","0","0"
11/27/2020 03:15,"7.9935","209.5187","0","189.5187","0","0","20"
11/27/2020 03:30,"7.9935","180.9984","0","170.665","0","0","10.3333"
11/27/2020 03:45,"7.9935","205.2623","0","182.929","0","0","22.3333"
11/27/2020 04:00,"7.9935","203.4023","0","180.0689","0","0","23.3333"
11/27/2020 04:15,"7.9935","181.562","0","168.562","0","0","13"
11/27/2020 04:30,"7.9935","189.9219","0","180.2552","0","0","9.6667"
11/27/2020 04:45,"7.9935","184.0746","0","184.0746","0","0","0"
11/27/2020 05:00,"7.9935","179.5956","0","179.5956","0","0","0"
11/27/2020 05:15,"7.9935","214.6829","0","180.0162","0","0","34.6667"
11/27/2020 05:30,"7.9935","173.0154","0","173.0154","0","0","0"
11/27/2020 05:45,"7.9935","182.4487","0","169.4487","0","0","13"
11/27/2020 06:00,"7.9935","174.9172","0","148.9172","0","0","26"
11/27/2020 06:15,"7.9935","164.8208","0","108.8208","0","0","56"
11/27/2020 06:30,"7.9935","164.2568","466.2114","16.4682","572.6667","0","614"
11/27/2020 06:45,"7.9935","146.4322","966.9012","0","1113.3334","0","1113.3334"
11/27/2020 07:00,"7.9935","187.9925","1009.3409","0","1197.3334","0","1197.3334"
11/27/2020 07:15,"7.9935","224.262","1367.738","0","1592","0","1592"
11/27/2020 07:30,"7.9935","165.0015","3007.6653","0","3172.6667","0","3172.6667"
11/27/2020 07:45,"7.9935","109.5732","1751.7601","0","1861.3334","0","1861.3334"
11/27/2020 08:00,"7.9935","350.9473","2545.7195","0","2896.6667","0","2896.6667"
11/27/2020 08:15,"7.9935","182.1689","2160.1643","0","2342.3333","0","2342.3333"
11/27/2020 08:30,"7.9935","165.6718","1063.9949","0","1229.6666","0","1229.6666"
11/27/2020 08:45,"7.9935","165.0565","616.6102","0","781.6667","0","781.6667"
11/27/2020 09:00,"7.9935","167.8608","235.1392","0","403","0","403"
11/27/2020 09:15,"7.9935","170.4093","367.5907","0","538","0","538"
11/27/2020 09:30,"7.9935","168.8613","965.472","0","1134.3334","0","1134.3334"
11/27/2020 09:45,"7.9935","172.4689","985.8645","0","1158.3334","0","1158.3334"
11/27/2020 10:00,"7.9935","261.8785","1824.1215","0","2086","0","2086"
11/27/2020 10:15,"7.9935","173.099","1727.5676","0","1900.6666","0","1900.6666"
11/27/2020 10:30,"7.9935","0","3438.4658","0","3424.6667","0","3424.6667"
11/27/2020 10:45,"7.9935","2417.0562","1769.5664","195.9559","3990.6667","0","3990.6667"
11/27/2020 11:00,"7.9935","3562.6169","447.6138","1149.2307","2861","0","2861"
11/27/2020 11:15,"7.9935","3456.084","576.3152","1133.7325","2898.6667","0","2898.6667"
11/27/2020 11:30,"8.4951","3459.5342","0","3242.5342","1206.7916","989.7917","217"
11/27/2020 11:45,"10","3697.4717","0","1287.4717","2837.375","427.375","2410"
11/27/2020 12:00,"10.6579","3629.8755","339.6162","32.1585","4140.375","203.0417","3937.3333"
11/27/2020 12:15,"11.8284","3648.4221","0","823.7554","3391.875","567.2083","2824.6667"
11/27/2020 12:30,"11.9956","3332.8931","0","1643.8931","1767.3959","78.3958","1689"
11/27/2020 12:45,"11.494","3445.8564","0","2027.1897","1497","78.3333","1418.6666"
11/27/2020 13:00,"11.494","3456.7197","0","2245.0532","1290.375","78.7083","1211.6666"
11/27/2020 13:15,"11.494","3404.731","0","2063.0645","1417.9791","76.3125","1341.6666"
11/27/2020 13:30,"11.494","3429.0645","0","1679.7311","1826.3541","77.0208","1749.3334"
11/27/2020 13:45,"11.494","3472.5503","0","1715.8837","1835.375","78.7083","1756.6666"
11/27/2020 14:00,"11.494","3458.0554","0","1660.0554","1875.0209","77.0208","1798"
11/27/2020 14:15,"11.494","3413.8835","0","2561.8835","930.7292","78.7292","852"
11/27/2020 14:30,"11.1596","1210.7235","59.2812","951.0046","457.7292","138.7292","319"
11/27/2020 14:45,"11.6612","182.2829","0","42.9496","271.9375","184.8542","139.3333"
11/27/2020 15:00,"11.6612","129.0556","0","36.0556","78.3333","98.9167","93"
11/27/2020 15:15,"11.8284","202.9572","28.4948","38.1186","367.8125","174.4792","193.3333"
11/27/2020 15:30,"11.9956","201.8528","21.5352","35.0547","311.7708","123.4375","188.3333"
11/27/2020 15:45,"11.9956","165.19","8.2992","21.8225","184.5625","96.875","151.6667"
11/27/2020 16:00,"11.9956","177.3533","0","113.02","0","78.9375","64.3333"
11/27/2020 16:15,"11.9956","165.084","0","143.084","0","50.9792","22"
11/27/2020 16:30,"11.9956","167.2586","0","167.2586","0","0","0"
11/27/2020 16:45,"11.8284","168.4329","0","168.4329","0","0","0"
11/27/2020 17:00,"11.494","171.5487","0","171.5487","0","0","0"
11/27/2020 17:15,"11.494","174.4958","0","174.4958","0","0","0"
11/27/2020 17:30,"11.494","176.9283","0","176.9283","0","0","0"
11/27/2020 17:45,"11.494","180.7022","0","180.7022","0","0","0"
11/27/2020 18:00,"11.494","169.1872","0","169.1872","0","0","0"
11/27/2020 18:15,"11.494","173.9902","0","173.9902","0","0","0"
11/27/2020 18:30,"11.494","178.7736","0","178.7736","0","0","0"
11/27/2020 18:45,"11.494","172.7642","0","172.7642","0","0","0"
11/27/2020 19:00,"11.494","176.4763","0","176.4763","0","0","0"
11/27/2020 19:15,"11.494","179.6746","0","179.6746","0","0","0"
11/27/2020 19:30,"10.9924","176.222","0","176.222","0","0","0"
11/27/2020 19:45,"10.9924","176.3671","0","176.3671","0","0","0"
11/27/2020 20:00,"10.9924","172.7279","0","172.7279","0","0","0"
11/27/2020 20:15,"10.9924","178.8","0","178.8","0","0","0"
11/27/2020 20:30,"10.9924","183.7428","0","183.7428","0","0","0"
11/27/2020 20:45,"10.9924","179.4516","0","179.4516","0","0","0"
11/27/2020 21:00,"10.9924","171.4708","0","171.4708","0","0","0"
11/27/2020 21:15,"10.9924","174.0331","0","174.0331","0","0","0"
11/27/2020 21:30,"10.9924","178.6103","0","178.6103","0","0","0"
11/27/2020 21:45,"10.9924","176.7202","0","176.7202","0","0","0"
11/27/2020 22:00,"10.9924","163.7328","0","163.7328","0","0","0"
11/27/2020 22:15,"10.9924","172.2832","0","172.2832","0","0","0"
11/27/2020 22:30,"10.4907","171.6575","0","171.6575","0","0","0"
11/27/2020 22:45,"10.4907","181.828","0","181.828","0","0","0"
11/27/2020 23:00,"10.4907","172.487","0","172.487","0","0","0"
11/27/2020 23:15,"10.4907","178.7591","0","178.7591","0","0","0"
11/27/2020 23:30,"10.4907","174.5363","0","174.5363","0","0","0"
11/27/2020 23:45,"10.4907","172.2645","0","172.2645","0","0","0"
11/28/2020 00:00,"10.4907","171.5663","0","171.5663","0","0","0"
11/28/2020 00:15,"10.4907","181.552","0","181.552","0","0","0"
11/28/2020 00:30,"10.4907","185.2618","0","185.2618","0","0","0"
11/28/2020 00:45,"10.4907","181.2023","0","181.2023","0","0","0"
11/28/2020 01:00,"10.4907","189.0587","0","189.0587","0","0","0"
11/28/2020 01:15,"10.4907","171.2182","0","171.2182","0","0","0"
11/28/2020 01:30,"10.4907","188.7372","0","188.7372","0","0","0"
11/28/2020 01:45,"10.4907","182.5949","0","182.5949","0","0","0"
11/28/2020 02:00,"10.4907","172.9173","0","172.9173","0","0","0"
11/28/2020 02:15,"10.1636","178.2701","0","178.2701","0","0","0"
11/28/2020 02:30,"10","178.4874","0","178.4874","0","0","0"
11/28/2020 02:45,"10","167.5595","0","167.5595","0","0","0"
11/28/2020 03:00,"10","187.6115","0","187.6115","0","0","0"
11/28/2020 03:15,"10","177.3028","0","177.3028","0","0","0"
11/28/2020 03:30,"10","173.3517","0","173.3517","0","0","0"
11/28/2020 03:45,"10","177.0386","0","177.0386","0","0","0"
11/28/2020 04:00,"10","183.4222","0","183.4222","0","0","0"
11/28/2020 04:15,"10","181.4039","0","181.4039","0","0","0"
11/28/2020 04:30,"10","180.9439","0","180.9439","0","0","0"
11/28/2020 04:45,"10","178.8332","0","178.8332","0","0","0"
11/28/2020 05:00,"10","187.3755","0","187.3755","0","0","0"
11/28/2020 05:15,"10","176.9596","0","176.9596","0","0","0"
11/28/2020 05:30,"10","175.0589","0","175.0589","0","0","0"
11/28/2020 05:45,"10","157.1012","0","141.7679","0","0","15.3333"
11/28/2020 06:00,"10","163.1509","37.0348","38.519","88.6667","0","161.6667"
11/28/2020 06:15,"10.8288","116.9317","80.0406","58.639","947.1458","808.8125","138.3333"
11/28/2020 06:30,"13.4933","163.6366","10.1274","1.764","1257.1875","1085.1875","172"
11/28/2020 06:45,"16.9938","181.3332","1.5541","13.2206","1634.2916","1464.625","169.6667"
11/28/2020 07:00,"21.4976","165.804","3.3373","3.8079","1949.3541","1784.0208","165.3333"
11/28/2020 07:15,"26.9938","162.635","0","8.635","2258.2292","2104.2292","154"
11/28/2020 07:30,"32.9953","166.9423","0.3669","13.3092","2534.2917","2380.2917","154"
11/28/2020 07:45,"39.8292","151.6156","8.7379","0.6867","2797.9583","2638.2917","159.6667"
11/28/2020 08:00,"47.161","179.4574","0.1298","11.2539","3086.4583","2918.125","168.3333"
11/28/2020 08:15,"55.329","198.4827","2.8964","41.0458","3301.6667","3141.3333","160.3333"
11/28/2020 08:30,"57.8262","3079.0034","18.504","196.8405","2999.8125","99.1458","2900.6667"
11/28/2020 08:45,"54.4965","3427.4465","195.7064","228.4861","2813.5417","-581.125","3394.6667"
11/28/2020 09:00,"50.1636","3194.8413","166.1586","0","2129.5417","-1231.4584","3361"
11/28/2020 09:15,"46.3286","3454.1021","3.0665","189.1685","1294.375","-1973.625","3268"
11/28/2020 09:30,"46.8302","112.8311","63.3621","61.5265","2527.7917","2413.125","114.6667"
11/28/2020 09:45,"52.9953","174.2763","0","174.2763","2647.4167","2660.0833","0"
11/28/2020 10:00,"58.8259","185.2496","0","185.2496","2608.125","2620.125","0"
11/28/2020 10:15,"66.4958","240.8459","0","135.5125","3015.2083","2909.875","105.3333"
11/28/2020 10:30,"73.6605","165.5566","2.0324","119.9224","2939.5833","2891.9165","47.6667"
11/28/2020 10:45,"81.9956","2139.7332","235.3154","39.3818","4118.2085","1782.5416","2335.6667"
11/28/2020 11:00,"83.6569","2988.7031","447.3027","41.3392","1826.625","-1626.6251","3394.6667"
11/28/2020 11:15,"84.3257","3529.0947","24.5123","102.607","4245.3335","794.3334","3451"
11/28/2020 11:30,"85.4962","3404.041","23.1277","59.5019","3937.8333","570.1667","3367.6667"
11/28/2020 11:45,"86.663","3652.2542","2.0747","7.6622","4151.625","504.9583","3646.6667"
11/28/2020 12:00,"87.4918","3467.0557","15.863","83.252","3882.9792","483.3125","3399.6667"
11/28/2020 12:15,"87.4918","3706.0908","4.2446","46.6687","2901.1042","-762.5625","3663.6667"
11/28/2020 12:30,"86.9938","3719.0759","19.0484","351.1244","3132.25","-254.75","3387"
11/28/2020 12:45,"84.8273","3627.4585","39.2848","153.4099","1987.2709","-1526.0625","3513.3333"
11/28/2020 13:00,"81.9956","3128.4795","1228.2413","106.3873","2256.1458","-1994.1874","4250.3335"
11/28/2020 13:15,"79.8328","3470.7908","60.2093","0","3484.1667","-46.8333","3531"
11/28/2020 13:30,"78.4951","3473.2053","87.2153","4.0874","3156","-400.3333","3556.3333"
11/28/2020 13:45,"76.3286","3524.7073","0","45.3739","2758.9583","-720.375","3479.3333"
11/28/2020 14:00,"73.9949","3478.3398","0.1541","21.494","2526.9792","-930.0208","3457"
11/28/2020 14:15,"70.9924","3464.146","14.7811","5.2602","2301.1042","-1172.5625","3473.6667"
11/28/2020 14:30,"67.8299","3443.0645","11.4408","53.1721","2121.0833","-1280.25","3401.3333"
11/28/2020 14:45,"62.1629","3389.7319","33.5452","42.2771","1143.9584","-2237.0415","3381"
11/28/2020 15:00,"55.9942","3423.2166","0.245","14.4615","1278.7084","-2130.2917","3409"
11/28/2020 15:15,"48.8295","3410.4468","0","45.4469","1255.4791","-2109.5208","3365"
11/28/2020 15:30,"41.3268","3392.1877","4.1961","4.0505","964.4375","-2427.8958","3392.3333"
11/28/2020 15:45,"33.3261","3407.7068","0","21.7068","721.1875","-2664.8125","3386"
11/28/2020 16:00,"24.4929","3351.3203","10.0383","11.0254","599.125","-2751.2083","3350.3333"
11/28/2020 16:15,"15.329","3370.0925","0","16.4257","254.8125","-3040.75","3353.6667"
11/28/2020 16:30,"10","2317.9377","0","2222.6045","0","0","95.3333"
11/28/2020 16:45,"9.4984","165.5857","0","160.2524","0","0","5.3333"
11/28/2020 17:00,"9.4984","178.9744","0","178.9744","0","0","0"
11/28/2020 17:15,"9.3312","177.8687","0","177.8687","0","0","0"
11/28/2020 17:30,"8.9967","175.1749","0","175.1749","0","0","0"
11/28/2020 17:45,"8.9967","182.0311","0","182.0311","0","0","0"
11/28/2020 18:00,"8.9967","186.714","0","186.714","0","0","0"
11/28/2020 18:15,"8.9967","162.998","0","162.998","0","0","0"
11/28/2020 18:30,"8.9967","177.3677","0","177.3677","0","0","0"
11/28/2020 18:45,"8.9967","169.7942","0","169.7942","0","0","0"
11/28/2020 19:00,"8.9967","180.2993","0","180.2993","0","0","0"
11/28/2020 19:15,"8.9967","178.0227","0","178.0227","0","0","0"
11/28/2020 19:30,"8.4951","179.3711","0","179.3711","0","0","0"
11/28/2020 19:45,"8.4951","176.1255","0","176.1255","0","0","0"
11/28/2020 20:00,"8.4951","177.2226","0","177.2226","0","0","0"
11/28/2020 20:15,"8.4951","182.9549","0","182.9549","0","0","0"
11/28/2020 20:30,"8.4951","172.8661","0","172.8661","0","0","0"
11/28/2020 20:45,"8.4951","172.7283","0","172.7283","0","0","0"
11/28/2020 21:00,"8.4951","186.478","0","186.478","0","0","0"
11/28/2020 21:15,"8.4951","169.4189","0","169.4189","0","0","0"
11/28/2020 21:30,"8.4951","175.525","0","175.525","0","0","0"
