Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
12/25/2020 00:00,"8.9967","188.3162","0","188.3162","0","0","0"
12/25/2020 00:15,"8.9967","177.1054","0","177.1054","0","0","0"
12/25/2020 00:30,"8.9967","170.7154","0","170.7154","0","0","0"
12/25/2020 00:45,"8.9967","169.2709","0","169.2709","0","0","0"
12/25/2020 01:00,"8.9967","165.1442","0","165.1442","0","0","0"
12/25/2020 01:15,"8.9967","180.1586","0","180.1586","0","0","0"
12/25/2020 01:30,"8.9967","176.1003","0","176.1003","0","0","0"
12/25/2020 01:45,"8.9967","173.1586","0","173.1586","0","0","0"
12/25/2020 02:00,"8.9967","172.6482","0","172.6482","0","0","0"
12/25/2020 02:15,"8.9967","179.628","0","179.628","0","0","0"
12/25/2020 02:30,"8.9967","176.106","0","176.106","0","0","0"
12/25/2020 02:45,"8.9967","177.4177","0","177.4177","0","0","0"
12/25/2020 03:00,"8.9967","177.0466","0","177.0466","0","0","0"
12/25/2020 03:15,"8.9967","179.896","0","179.896","0","0","0"
12/25/2020 03:30,"8.9967","169.8569","0","169.8569","0","0","0"
12/25/2020 03:45,"8.9967","173.4094","0","173.4094","0","0","0"
12/25/2020 04:00,"8.9967","170.9005","0","170.9005","0","0","0"
12/25/2020 04:15,"8.9967","173.0021","0","173.0021","0","0","0"
12/25/2020 04:30,"8.9967","177.3723","0","177.3723","0","0","0"
12/25/2020 04:45,"8.9967","181.6612","0","181.6612","0","0","0"
12/25/2020 05:00,"8.9967","181.7146","0","181.7146","0","0","0"
12/25/2020 05:15,"8.9967","173.3414","0","173.3414","0","0","0"
12/25/2020 05:30,"8.9967","182.3479","0","182.3479","0","0","0"
12/25/2020 05:45,"8.9967","173.861","0","173.861","0","0","0"
12/25/2020 06:00,"8.9967","171.856","0","123.1894","0","0","48.6667"
12/25/2020 06:15,"8.9967","136.7602","35.3395","18.0997","269.4583","160.7917","154"
12/25/2020 06:30,"10.4944","161.2428","35.307","91.2165","1044.4791","939.1459","105.3333"
12/25/2020 06:45,"13.6605","170.2747","0","45.608","1422.5416","1297.875","124.6667"
12/25/2020 07:00,"17.4955","168.8096","11.2982","4.7745","1707.0834","1531.75","175.3333"
12/25/2020 07:15,"22.1592","172.5665","13.1275","35.694","2055.4167","1905.4166","150"
12/25/2020 07:30,"27.9971","170.9696","1.435","9.7379","2396.9583","2234.2917","162.6667"
12/25/2020 07:45,"34.4929","160.5169","0","3.8502","2679.7083","2523.0417","156.6667"
12/25/2020 08:00,"41.6612","174.5598","1.3812","10.2743","2965.625","2799.9583","165.6667"
12/25/2020 08:15,"49.6619","162.7826","1.117","9.2329","3173.6667","3019","154.6667"
12/25/2020 08:30,"57.8262","184.6726","8.2702","53.9428","3315.8333","3176.8333","139"
12/25/2020 08:45,"66.1614","160.336","14.9974","0","3451.4792","3276.146","175.3333"
12/25/2020 09:00,"74.3293","1159.7412","4.6906","6.4318","3612.4375","2454.4375","1158"
12/25/2020 09:15,"76.663","3464.6047","0","89.6048","4006.1042","631.1042","3375"
12/25/2020 09:30,"76.4922","3328.3726","44.0327","3.7386","1882.0834","-1486.5834","3368.6667"
12/25/2020 09:45,"70.6616","3266.5618","15.5479","42.1095","911.75","-2328.25","3240"
12/25/2020 10:00,"65.4925","3302.2322","0","994.8989","1501.4791","-805.8542","2307.3333"
12/25/2020 10:15,"67.6627","175.1226","0","124.7893","1988.8125","1938.4791","50.3333"
12/25/2020 10:30,"71.9956","147.4244","44.4197","95.5108","1129.8959","1033.5625","96.3333"
12/25/2020 10:45,"75.329","173.2095","1.6011","115.8106","1334.5","1275.5","59"
12/25/2020 11:00,"80.3272","160.8434","0","160.8434","1397.1666","1402.8333","0"
12/25/2020 11:15,"83.9949","157.2927","14.5507","52.5101","1704.7709","1585.4375","119.3333"
12/25/2020 11:30,"89.9927","0","221.1143","74.4029","2911.8333","2841.8333","70"
12/25/2020 11:45,"97.161","132.4271","161.4594","117.8865","2326.7083","2150.7083","176"
12/25/2020 12:00,"99.8328","155.2727","3362.0605","0","3905.6458","388.3125","3517.3333"
12/25/2020 12:15,"100","177.2466","3799.0867","0","3976.3333","0","3976.3333"
12/25/2020 12:30,"100","3436.9709","391.0291","0","3861.25","33.25","3828"
12/25/2020 12:45,"99.6656","3369.1113","200.8888","0","3933.8333","363.8333","3570"
12/25/2020 13:00,"100","3400.0898","531.9324","58.3555","3845.1667","-28.5","3873.6667"
12/25/2020 13:15,"98.6623","3782.2144","188.1264","20.6741","3072.6458","-877.0208","3949.6667"
12/25/2020 13:30,"94.4929","2263.73","10.1325","29.8625","1104.2916","-1139.7084","2244"
12/25/2020 13:45,"90.4944","2198.7927","0.4553","48.9149","763.1458","-1387.1875","2150.3333"
12/25/2020 14:00,"87.4955","2149.793","27.3392","8.7987","986.6042","-1181.7291","2168.3333"
12/25/2020 14:15,"84.1621","2168.5452","9.7882","0","671.7083","-1506.625","2178.3333"
12/25/2020 14:30,"83.4896","82.7659","0","33.7659","254.8333","205.8333","49"
12/25/2020 14:45,"83.4896","181.9977","0","46.6643","103.4792","68.1458","135.3333"
12/25/2020 15:00,"83.4896","167.7058","0","17.3725","0","0","150.3333"
12/25/2020 15:15,"83.4896","240.5079","0","72.1746","359.4792","191.1458","168.3333"
12/25/2020 15:30,"83.4896","198.18","6.2332","23.7465","343.5833","162.9167","180.6667"
12/25/2020 15:45,"83.4896","149.6588","24.8613","50.1867","0","35.9792","124.3333"
12/25/2020 16:00,"83.4896","133.8992","19.329","5.8949","0","-17.6458","147.3333"
12/25/2020 16:15,"83.1625","180.5396","0","30.873","0","-34.25","149.6667"
12/25/2020 16:30,"82.9989","169.6617","0","14.3284","0","-18","155.3333"
12/25/2020 16:45,"82.4973","188.4507","0","23.4507","0","-34.6667","165"
12/25/2020 17:00,"81.9956","150.2487","23.4179","0","0","-141.2917","173.6667"
12/25/2020 17:15,"81.494","174.4931","2.6181","29.4445","0","-118.9792","147.6667"
12/25/2020 17:30,"81.3268","182.427","16.6637","6.424","0","-134.6667","192.6667"
