Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
12/18/2020 00:00,"45.4962","166.141","12.9649","40.4392","0","-88.3125","138.6667"
12/18/2020 00:15,"45.1618","143.7995","5.2735","57.4064","0","-41.1667","91.6667"
12/18/2020 00:30,"44.6601","208.6527","7.5468","25.1995","0","-118.6667","191"
12/18/2020 00:45,"44.3257","214.534","14.2533","37.1207","0","-113.625","191.6667"
12/18/2020 01:00,"42.6645","179.5474","9.8178","38.3652","0","-89.5833","151"
12/18/2020 01:15,"42.1628","131.3229","29.6771","0","0","-150.625","161"
12/18/2020 01:30,"41.8284","142.1058","52.0749","34.8474","0","-136.9375","159.3333"
12/18/2020 01:45,"41.494","157.6601","0","31.6601","0","-104.8333","126"
12/18/2020 02:00,"40.9924","131.5434","8.1095","37.3196","0","-102.3333","102.3333"
12/18/2020 02:15,"40.4907","181.9117","0","56.5783","0","-53.0625","125.3333"
12/18/2020 02:30,"40.1636","171.7696","0","9.7696","0","-110.3542","162"
12/18/2020 02:45,"38.6623","157.6773","19.255","48.9323","0","-102.9375","128"
12/18/2020 03:00,"38.1607","130.1074","13.1432","6.584","0","-136.6667","136.6667"
12/18/2020 03:15,"37.8262","155.0678","25.5989","0","0","-171","180.6667"
12/18/2020 03:30,"37.3246","163.1028","19.2546","1.6907","0","-157.1042","180.6667"
12/18/2020 03:45,"36.9902","153.0798","17.5436","24.9567","0","-123.125","145.6667"
12/18/2020 04:00,"36.4995","170.8068","0","97.1401","0","-13.5625","73.6667"
12/18/2020 04:15,"35.8306","143.2293","38.7707","0","0","-163.2292","182"
12/18/2020 04:30,"34.6601","168.8668","17.4768","6.0102","0","-136.8125","180.3333"
12/18/2020 04:45,"34.3257","169.8194","36.6031","38.0892","0","-123.6875","168.3333"
12/18/2020 05:00,"33.8659","172.4844","4.0576","56.292","0","-47.1875","120.25"
12/18/2020 05:15,"33.4896","181.6706","11.2161","31.22","0","-76.6875","161.6667"
12/18/2020 05:30,"33.1625","177.9972","13.925","32.9222","0","-85","159"
12/18/2020 05:45,"32.6645","174.4759","15.8315","3.6407","0","-92.3542","186.6667"
12/18/2020 06:00,"32.4973","168.278","0","74.278","0","-18.6458","94"
12/18/2020 06:15,"31.1596","139.4439","3.9244","30.3683","405.75","338.4167","113"
12/18/2020 06:30,"32.8281","132.4183","25.5733","96.9916","1021.7083","960.7083","61"
12/18/2020 06:45,"35.6598","172.5148","0","14.1815","1398.8959","1240.5625","158.3333"
12/18/2020 07:00,"39.4947","160.581","0","9.581","1718.5416","1567.5416","151"
12/18/2020 07:15,"44.1621","142.0554","0","37.0554","1456.7084","1351.7084","105"
12/18/2020 07:30,"49.4947","167.7446","1.5957","5.007","2411.5833","2247.25","164.3333"
12/18/2020 07:45,"53.9949","154.0351","7.3841","100.7526","1887.1459","1826.4791","60.6667"
12/18/2020 08:00,"58.9967","154.0546","100.9699","100.6911","1930.7291","1776.3959","154.3333"
12/18/2020 08:15,"63.4933","155.8323","0","132.8323","1341.5","1318.5","23"
12/18/2020 08:30,"70.1636","178.9951","0","178.9951","2012.2916","2024.625","0"
12/18/2020 08:45,"74.4929","124.4817","0","99.4817","949.8958","924.8958","25"
12/18/2020 09:00,"76.4958","195.1242","14.1029","48.5604","790.5417","629.875","160.6667"
12/18/2020 09:15,"77.9935","292.15","2.5768","32.3935","816.7708","554.4375","262.3333"
12/18/2020 09:30,"79.1639","255.6392","2.7925","19.0984","620.7083","381.375","239.3333"
12/18/2020 09:45,"80.1636","72.001","0","24.6677","625.0833","577.75","47.3333"
12/18/2020 10:00,"81.494","144.9886","1.6164","6.2717","763.9583","623.625","140.3333"
12/18/2020 10:15,"83.3261","107.5178","0","4.8511","783.4375","680.7708","102.6667"
12/18/2020 10:30,"85.4925","274.5417","98.3336","42.5419","2627.6042","2297.2708","330.3333"
12/18/2020 10:45,"94.1585","1184.1559","81.14","0.9625","4842.2085","3577.875","1264.3334"
12/18/2020 11:00,"93.9949","3317.6743","14.252","9.5931","1173.2291","-2149.1042","3322.3333"
12/18/2020 11:15,"87.6627","3268.8501","1.9092","2.0925","1000.7083","-2267.9583","3268.6667"
12/18/2020 11:30,"80.8288","3302.9341","0.8519","19.7862","1069.6875","-2214.3125","3284"
12/18/2020 11:45,"74.9945","3336.0994","0","64.766","1283.7084","-1987.625","3271.3333"
12/18/2020 12:00,"68.9931","2231.9658","19.9082","11.2072","984.1875","-1256.4791","2240.6667"
12/18/2020 12:15,"68.4951","106.7719","0","21.1052","617.6667","532","85.6667"
12/18/2020 12:30,"72.1592","189.7585","10.9023","74.9942","1549.9584","1424.2916","125.6667"
12/18/2020 12:45,"75.1618","166.259","0","49.5923","1137.75","1021.0833","116.6667"
12/18/2020 13:00,"77.8262","69.082","29.1904","59.2723","1008.4792","969.4792","39"
12/18/2020 13:15,"79.3311","178.6058","0","31.9392","608.7083","462.0417","146.6667"
12/18/2020 13:30,"80.6616","193.2077","17.5008","50.7086","790.3125","630.3125","160"
12/18/2020 13:45,"81.9956","189.7616","0","49.0949","735.0625","594.3958","140.6667"
12/18/2020 14:00,"83.1625","162.2361","0","26.9028","499.0417","363.7083","135.3333"
12/18/2020 14:15,"83.9913","187.1109","0","32.4442","625.0417","470.375","154.6667"
12/18/2020 14:30,"84.9945","251.1341","39.6502","5.4509","790.9167","505.5833","285.3333"
12/18/2020 14:45,"86.663","204.7573","14.2235","22.6475","1292.1459","1095.8125","196.3333"
12/18/2020 15:00,"88.4951","222.5913","0","80.5913","896.8542","754.8542","142"
12/18/2020 15:15,"91.1632","194.9971","2.2027","36.5331","1460.0209","1299.3542","160.6667"
12/18/2020 15:30,"93.6605","234.8007","33.5812","111.7152","1141.75","985.0833","156.6667"
12/18/2020 15:45,"95.329","160.4194","0","60.7527","689.5833","589.9167","99.6667"
12/18/2020 16:00,"96.3322","200.2175","0","22.5509","490.8958","313.2292","177.6667"
12/18/2020 16:15,"95.6634","184.879","7.6392","27.5182","144.8958","73.8542","165"
12/18/2020 16:30,"94.3257","162.6727","25.0212","19.3607","0","-40.0208","168.3333"
12/18/2020 16:45,"93.6569","168.5954","0","12.262","0","-36.3333","156.3333"
12/18/2020 17:00,"93.1625","171.2577","0","33.591","0","-69.3125","137.6667"
12/18/2020 17:15,"92.9989","168.428","3.8183","18.5796","0","-108.5625","153.6667"
12/18/2020 17:30,"91.494","165.3447","8.4019","23.7465","0","-103.0417","150"
12/18/2020 17:45,"90.9924","180.8902","1.3502","28.2405","0","-95.9375","154"
12/18/2020 18:00,"90.6579","163.3677","14.0785","2.4462","0","-125","175"
12/18/2020 18:15,"90.3272","171.414","10.6393","2.0534","0","-126.8125","180"
12/18/2020 18:30,"89.3311","165.3911","18.7549","3.146","0","-124.4375","181"
12/18/2020 18:45,"88.8295","166.3807","5.9881","16.3689","0","-120.7917","156"
12/18/2020 19:00,"88.4951","196.187","3.693","9.2134","0","-118.375","190.6667"
12/18/2020 19:15,"87.9935","155.2383","32.7617","0","0","-129.5312","188"
12/18/2020 19:30,"87.8262","166.9424","8.3011","17.2435","0","-121.6875","158"
12/18/2020 19:45,"87.4918","151.9658","9.5101","25.1426","0","-109.2708","136.3333"
