Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
05/29/2020 00:00,"95.8297","30.6456","5.0211","31.3334","0","0","4.3333"
05/29/2020 00:15,"95.497","26.3121","9.4883","19.8004","0","0","16"
05/29/2020 00:30,"95.497","40.6344","13.7952","1.4296","0","0","53"
05/29/2020 00:45,"95.497","6.1831","6.9016","13.0847","0","0","0"
05/29/2020 01:00,"95.497","35.6454","6.111","16.4231","0","0","25.3333"
05/29/2020 01:15,"94.9978","41.4054","5.1525","10.8912","0","0","35.6667"
05/29/2020 01:30,"94.9978","48.3247","15.2844","17.9425","0","0","45.6667"
05/29/2020 01:45,"94.9978","34.3339","0","34.3339","0","0","0"
05/29/2020 02:00,"94.8315","12.2698","6.9375","14.874","0","0","4.3333"
05/29/2020 02:15,"94.4987","33.0594","1.8652","26.5913","0","0","8.3333"
05/29/2020 02:30,"94.4987","34.3536","0","24.0202","0","0","10.3333"
05/29/2020 02:45,"94.4987","39.1338","2.1802","17.9806","0","0","23.3333"
05/29/2020 03:00,"94.1659","27.2234","10.2869","28.8436","0","0","8.6667"
05/29/2020 03:15,"93.9996","20.8149","5.4678","2.9493","0","0","23.3333"
05/29/2020 03:30,"93.9996","64.7602","6.7073","19.8008","0","0","51.6667"
05/29/2020 03:45,"93.9996","47.6083","4.1653","29.7736","0","0","22"
05/29/2020 04:00,"93.6596","29.6024","6.8493","16.785","0","0","19.6667"
05/29/2020 04:15,"93.4896","22.7801","0","20.1134","0","0","2.6667"
05/29/2020 04:30,"93.4896","34.5164","0","34.5164","0","0","0"
05/29/2020 04:45,"93.3648","22.4898","7.7373","13.9771","0","0","16.25"
05/29/2020 05:00,"92.9904","19.3803","13.4264","18.8067","0","0","14"
05/29/2020 05:15,"92.9904","18.2697","2.7887","3.725","0","0","17.3333"
05/29/2020 05:30,"92.9904","13.3655","23.8714","13.5703","0","0","23.6667"
05/29/2020 05:45,"92.8241","37.2631","15.6318","9.5616","0","0","43.3333"
05/29/2020 06:00,"92.4913","55.1077","1.3102","15.7512","0","112.0833","40.6667"
05/29/2020 06:15,"92.6577","37.6332","1.038","13.3378","191.6042","217.9375","25.3333"
05/29/2020 06:30,"93.3232","13.4257","10.503","10.2621","346.5417","332.875","13.6667"
05/29/2020 06:45,"94.1659","70.7179","8.0198","16.7376","607.0417","545.0417","62"
05/29/2020 07:00,"95.6633","29.2627","0","29.2627","693.4583","698.7917","0"
05/29/2020 07:15,"97.3271","24.5696","10.7187","3.6216","630.9167","599.25","31.6667"
05/29/2020 07:30,"98.4918","35.7082","0","11.3749","539.8958","515.5625","24.3333"
05/29/2020 07:45,"99.83","39.3589","516.3077","0","732.875","177.2083","555.6667"
05/29/2020 08:00,"100","42.4999","764.8334","0","807.3333","0","807.3333"
05/29/2020 08:15,"100","29.9388","721.7279","0","751.6667","0","751.6667"
05/29/2020 08:30,"100","21.0502","1128.9498","0","1150","0","1150"
05/29/2020 08:45,"100","36.0319","1093.6348","0","1129.6666","0","1129.6666"
05/29/2020 09:00,"100","4.259","1656.0743","0","1660.3334","0","1660.3334"
05/29/2020 09:15,"100","23.3481","2582.6519","0","2606","0","2606"
05/29/2020 09:30,"100","207.0649","2992.9351","0","3200","0","3200"
05/29/2020 09:45,"100","22.1506","1549.8494","0","1572","0","1572"
05/29/2020 10:00,"100","25.2189","1846.7811","0","1872","0","1872"
05/29/2020 10:15,"100","19.7355","1642.5979","0","1662.3334","0","1662.3334"
05/29/2020 10:30,"100","17.6625","1833.3375","0","1851","0","1851"
05/29/2020 10:45,"100","26.7616","1206.2384","0","1233","0","1233"
05/29/2020 11:00,"100","16.1614","2027.5052","0","2043.6666","0","2043.6666"
05/29/2020 11:15,"100","26.4735","1913.8599","0","1940.3334","0","1940.3334"
05/29/2020 11:30,"100","22.6696","1478.9971","0","1501.6666","0","1501.6666"
05/29/2020 11:45,"100","20.3339","1689.9995","0","1710.3334","0","1710.3334"
05/29/2020 12:00,"100","15.4734","1938.86","0","1954.3334","0","1954.3334"
05/29/2020 12:15,"100","36.9918","1434.3416","0","1471.3334","0","1471.3334"
05/29/2020 12:30,"100","33.7173","629.9494","0","663.6667","0","663.6667"
05/29/2020 12:45,"100","26.5403","487.4597","0","514","0","514"
05/29/2020 13:00,"100","36.2362","454.7638","0","491","0","491"
05/29/2020 13:15,"100","25.7529","596.5804","0","622.3333","0","622.3333"
05/29/2020 13:30,"100","40.0521","184.6146","0","109","0","224.6667"
05/29/2020 13:45,"100","37.9797","643.0203","0","681","0","681"
05/29/2020 14:00,"99.83","18.9195","1369.5497","17.1359","1601.0209","229.6875","1371.3334"
05/29/2020 14:15,"100","16.8357","508.4976","0","525.3333","0","525.3333"
05/29/2020 14:30,"100","33.3049","724.0284","0","757.3333","0","757.3333"
05/29/2020 14:45,"100","27.9509","550.3824","0","578.3333","0","578.3333"
05/29/2020 15:00,"100","19.431","448.569","0","468","0","468"
05/29/2020 15:15,"100","10.5404","238.1262","0","183.3333","0","248.6667"
05/29/2020 15:30,"100","20.7985","314.8682","0","299","0","335.6667"
05/29/2020 15:45,"100","25.4121","139.2545","0","86.3333","0","164.6667"
05/29/2020 16:00,"100","21.7523","58.581","0","0","0","80.3333"
05/29/2020 16:15,"100","28.3827","30.9506","0","0","0","59.3333"
05/29/2020 16:30,"100","42.827","50.8397","0","0","0","93.6667"
05/29/2020 16:45,"100","19.5552","110.4448","0","0","0","130"
05/29/2020 17:00,"100","34.451","14.624","0.7417","0","0","48.3333"
05/29/2020 17:15,"100","33.5663","9.3421","4.9084","0","0","38"
05/29/2020 17:30,"100","23.23","15.7448","24.3081","0","0","14.6667"
05/29/2020 17:45,"100","23.781","0","23.1144","0","0","0.6667"
05/29/2020 18:00,"99.3273","30.5122","2.1237","32.6359","0","0","0"
05/29/2020 18:15,"98.9909","31.8831","25.6668","27.5499","0","0","30"
05/29/2020 18:30,"98.9909","83.2668","2.0237","13.2905","0","0","72"
05/29/2020 18:45,"98.6581","18.6328","10.8825","11.8486","0","0","17.6667"
05/29/2020 19:00,"98.4918","34.5442","0","34.5442","0","0","0"
05/29/2020 19:15,"98.4918","10.6157","16.3942","7.6765","0","0","19.3333"
05/29/2020 19:30,"98.2422","82.8024","6.4449","15.7473","0","0","73.5"
05/29/2020 19:45,"97.9926","14.9218","6.844","11.7658","0","0","10"
05/29/2020 20:00,"97.9926","45.8015","3.3609","27.1624","0","0","22"
05/29/2020 20:15,"97.9926","29.5208","0","29.5208","0","0","0"
05/29/2020 20:30,"97.9926","49.749","0.599","19.6813","0","0","30.6667"
05/29/2020 20:45,"97.4935","40.4602","0","36.4602","0","0","4"
05/29/2020 21:00,"97.4935","13.841","7.9835","8.8245","0","0","13"
05/29/2020 21:15,"97.4935","53.0034","0.9429","28.9463","0","0","25"
05/29/2020 21:30,"97.3271","22.8718","1.5835","12.4553","0","0","12"
05/29/2020 21:45,"96.9944","49.3275","3.7564","20.7506","0","0","32.3333"
05/29/2020 22:00,"96.9944","25.5631","8.1522","29.0486","0","0","4.6667"
05/29/2020 22:15,"96.9944","13.2212","14.5274","17.082","0","0","10.6667"
05/29/2020 22:30,"96.828","8.3198","8.4931","14.8129","0","0","2"
05/29/2020 22:45,"96.4952","19.2757","9.4128","3.3552","0","0","25.3333"
05/29/2020 23:00,"96.4952","50.4674","0","38.8007","0","0","11.6667"
05/29/2020 23:15,"96.4952","31.3581","12.9753","0","0","0","44.3333"
05/29/2020 23:30,"96.3288","47.4293","4.6627","29.7587","0","0","22.3333"
05/29/2020 23:45,"95.9961","0","18.4384","18.3269","0","0","0"
05/30/2020 00:00,"95.9961","56.4548","0","48.1214","0","0","8.3333"
05/30/2020 00:15,"95.9961","42.8175","0","42.8175","0","0","0"
05/30/2020 00:30,"95.8297","36.3173","11.3494","0","0","0","47.6667"
05/30/2020 00:45,"95.497","44.7768","3.9316","4.7085","0","0","44"
05/30/2020 01:00,"95.497","10.5542","23.4458","0","0","0","34"
05/30/2020 01:15,"95.497","27.8251","0","27.8251","0","0","0"
05/30/2020 01:30,"95.497","47.8379","0","21.1713","0","0","26.6667"
