Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
01/08/2021 00:00,"8.9967","182.3835","0","182.3835","0","0","0"
01/08/2021 00:15,"8.9967","167.5206","0","167.5206","0","0","0"
01/08/2021 00:30,"8.4951","189.7034","0","189.7034","0","0","0"
01/08/2021 00:45,"8.4951","186.0673","0","186.0673","0","0","0"
01/08/2021 01:00,"8.4951","182.3338","0","182.3338","0","0","0"
01/08/2021 01:15,"8.4951","171.8725","0","171.8725","0","0","0"
01/08/2021 01:30,"8.4951","175.4025","0","175.4025","0","0","0"
01/08/2021 01:45,"8.4951","181.8059","0","181.8059","0","0","0"
01/08/2021 02:00,"8.4951","183.26","0","183.26","0","0","0"
01/08/2021 02:15,"8.4951","175.6181","0","175.6181","0","0","0"
01/08/2021 02:30,"8.4951","177.0776","0","177.0776","0","0","0"
01/08/2021 02:45,"8.4951","173.4067","0","173.4067","0","0","0"
01/08/2021 03:00,"8.4951","186.2765","0","186.2765","0","0","0"
01/08/2021 03:15,"8.4951","178.8034","0","178.8034","0","0","0"
01/08/2021 03:30,"8.4951","170.6406","0","170.6406","0","0","0"
01/08/2021 03:45,"8.4951","167.7928","0","167.7928","0","0","0"
01/08/2021 04:00,"8.4951","188.9193","0","188.9193","0","0","0"
01/08/2021 04:15,"8.4951","170.5008","0","170.5008","0","0","0"
01/08/2021 04:30,"8.4951","175.6044","0","175.6044","0","0","0"
01/08/2021 04:45,"8.4951","186.948","0","186.948","0","0","0"
01/08/2021 05:00,"8.4951","178.0533","0","178.0533","0","0","0"
01/08/2021 05:15,"8.4951","179.5291","0","179.5291","0","0","0"
01/08/2021 05:30,"8.4951","174.5309","0","174.5309","0","0","0"
01/08/2021 05:45,"8.4951","175.0965","0","174.0965","0","0","1"
01/08/2021 06:00,"8.4951","177.4014","0","122.7347","0","0","54.6667"
01/08/2021 06:15,"8.4951","147.8373","49.1473","9.9846","85.6667","0","187"
01/08/2021 06:30,"9.6619","40.037","65.4815","7.1852","800.0417","701.7083","98.3333"
01/08/2021 06:45,"12.4936","166.3165","4.4787","9.7952","1272.7709","1111.7709","161"
01/08/2021 07:00,"15.827","154.6222","7.9648","15.9203","1545.1041","1398.4375","146.6667"
01/08/2021 07:15,"20.1599","160.0006","5.4044","3.7384","1757.6459","1595.9791","161.6667"
01/08/2021 07:30,"23.9949","173.328","0","32.9947","1241.3334","1101","140.3333"
01/08/2021 07:45,"27.8299","164.3713","17.962","0","2341.4792","2159.1458","182.3333"
01/08/2021 08:00,"34.4965","156.9746","12.3588","0","2679.375","2510.0417","169.3333"
01/08/2021 08:15,"41.494","156.1622","0","9.4955","2955.5833","2808.9167","146.6667"
01/08/2021 08:30,"48.8295","160.5871","6.4179","16.0051","2712.1458","2561.1458","151"
01/08/2021 08:45,"56.1614","158.3692","11.7395","13.4421","3337.6875","3181.0208","156.6667"
01/08/2021 09:00,"60.1636","3458.8728","29.1024","81.6418","3776.0833","369.75","3406.3333"
01/08/2021 09:15,"60.3272","3351.6936","58.2679","63.6283","3333.5208","-12.8125","3346.3333"
01/08/2021 09:30,"59.4984","3539.9277","245.0722","0","3528.1667","-256.8333","3785"
01/08/2021 09:45,"57.6627","3209.2676","17.18","281.4476","1847.7291","-1097.2709","2945"
01/08/2021 10:00,"53.1589","3255.6606","194.3988","280.3927","2278.9583","-890.7083","3169.6667"
01/08/2021 10:15,"48.1607","3444.8069","707.1566","7.2972","2853.4167","-1291.25","4144.6665"
01/08/2021 10:30,"48.1607","2277.6013","70.7253","0.66","1995.6041","-352.0625","2347.6667"
01/08/2021 10:45,"49.6619","2326.4736","2.4251","86.8987","2406.4792","164.4792","2242"
01/08/2021 11:00,"47.4918","1099.8357","60.2485","94.7509","1724.4791","659.1458","1065.3334"
01/08/2021 11:15,"47.659","963.2969","198.8957","74.1926","1279.0834","191.0833","1088"
01/08/2021 11:30,"47.161","1781.3615","229.0291","268.3905","1406.0834","-335.9167","1742"
01/08/2021 11:45,"49.4947","2138.1807","166.5925","70.1064","3238.75","1004.0833","2234.6667"
01/08/2021 12:00,"51.494","1201.3971","9.0099","103.0736","2860.3958","1753.0625","1107.3334"
01/08/2021 12:15,"50.8252","2276.0981","13.3679","7.466","1445.7709","-836.2292","2282"
01/08/2021 12:30,"49.9964","2289.5566","20.1102","0","1528.7084","-780.9583","2309.6667"
01/08/2021 12:45,"50.6616","2679.7061","26.889","153.2617","4118.604","1565.2708","2553.3333"
01/08/2021 13:00,"54.3257","3678.0422","3.8483","585.2236","2776.8542","-319.8125","3096.6667"
01/08/2021 13:15,"53.6605","3397.375","535.7133","9.4217","2378.0833","-1545.5834","3923.6667"
01/08/2021 13:30,"52.6609","2276.1064","55.7359","44.5089","1457.0416","-830.2917","2287.3333"
01/08/2021 13:45,"51.1596","2295.4575","497.8149","256.6057","1976.8125","-559.8542","2536.6667"
01/08/2021 14:00,"51.1596","1212.1152","8.195","188.9768","3025.2917","1993.9583","1031.3334"
01/08/2021 14:15,"49.3275","2285.429","0","99.7622","816.8125","-1368.8541","2185.6667"
01/08/2021 14:30,"46.4958","2042.8118","128.7175","0.1959","1761.3541","-409.9792","2171.3333"
01/08/2021 14:45,"43.4969","2181.6221","164.6883","68.3103","935.8542","-1342.1458","2278"
01/08/2021 15:00,"39.8292","1185.1091","238.7336","4.8428","1167.6041","-511.125","1419"
01/08/2021 15:15,"37.8262","2297.8032","17.0506","86.8537","1831.6666","-396.3333","2228"
01/08/2021 15:30,"34.831","2213.4241","39.6535","32.7445","762.125","-1458.2084","2220.3333"
01/08/2021 15:45,"31.4976","2276.6677","5.255","3.256","1081.125","-1197.5416","2278.6667"
01/08/2021 16:00,"27.3282","2204.0469","8.2023","10.249","512.0625","-1689.9375","2202"
01/08/2021 16:15,"21.6612","2208.282","0.9592","16.908","341.1458","-1851.1875","2192.3333"
01/08/2021 16:30,"15.827","2254.8362","0","39.503","156.6667","-1951.4791","2215.3333"
01/08/2021 16:45,"10.498","2242.5378","0","2084.5378","0","0","158"
01/08/2021 17:00,"9.4984","166.2436","0","87.5769","0","0","78.6667"
01/08/2021 17:15,"9.4984","175.4448","0","175.4448","0","0","0"
01/08/2021 17:30,"8.9967","172.1557","0","172.1557","0","0","0"
01/08/2021 17:45,"8.6623","171.1693","0","171.1693","0","0","0"
01/08/2021 18:00,"8.4951","173.5949","0","173.5949","0","0","0"
01/08/2021 18:15,"8.4951","165.7171","0","165.7171","0","0","0"
01/08/2021 18:30,"8.4951","180.4739","0","180.4739","0","0","0"
01/08/2021 18:45,"8.4951","182.1467","0","182.1467","0","0","0"
01/08/2021 19:00,"8.4951","171.9896","0","171.9896","0","0","0"
01/08/2021 19:15,"8.4951","176.528","0","176.528","0","0","0"
01/08/2021 19:30,"8.4951","176.6599","0","176.6599","0","0","0"
01/08/2021 19:45,"8.4951","163.2152","0","163.2152","0","0","0"
01/08/2021 20:00,"8.4951","180.3831","0","180.3831","0","0","0"
01/08/2021 20:15,"8.4951","158.3197","0","158.3197","0","0","0"
01/08/2021 20:30,"8.4951","173.8697","0","173.8697","0","0","0"
01/08/2021 20:45,"8.4951","173.7277","0","173.7277","0","0","0"
01/08/2021 21:00,"8.4951","171.7506","0","171.7506","0","0","0"
01/08/2021 21:15,"8.4951","169.435","0","169.435","0","0","0"
01/08/2021 21:30,"8.4951","172.5363","0","172.5363","0","0","0"
01/08/2021 21:45,"8.4951","182.3517","0","182.3517","0","0","0"
01/08/2021 22:00,"8.4951","182.3025","0","182.3025","0","0","0"
01/08/2021 22:15,"8.4951","178.2873","0","178.2873","0","0","0"
01/08/2021 22:30,"8.4951","179.7616","0","179.7616","0","0","0"
01/08/2021 22:45,"8.4951","161.6019","0","161.6019","0","0","0"
01/08/2021 23:00,"8.4951","178.0113","0","178.0113","0","0","0"
01/08/2021 23:15,"8.4951","176.0507","0","176.0507","0","0","0"
01/08/2021 23:30,"8.4951","176.0709","0","176.0709","0","0","0"
01/08/2021 23:45,"8.4951","170.363","0","170.363","0","0","0"
01/09/2021 00:00,"8.4951","178.5408","0","178.5408","0","0","0"
01/09/2021 00:15,"8.1607","184.6253","0","176.2919","0","0","8.3333"
01/09/2021 00:30,"7.9935","176.9031","0","176.9031","0","0","0"
01/09/2021 00:45,"7.9935","175.1091","0","164.7758","0","0","10.3333"
01/09/2021 01:00,"7.9935","166.4242","0","166.4242","0","0","0"
01/09/2021 01:15,"7.9935","194.9168","0","173.5835","0","0","21.3333"
01/09/2021 01:30,"7.9935","179.9372","0","179.9372","0","0","0"
01/09/2021 01:45,"7.9935","185.7805","0","175.1138","0","0","10.6667"
01/09/2021 02:00,"7.9935","184.4391","0","173.7724","0","0","10.6667"
01/09/2021 02:15,"7.9935","208.2316","0","176.2316","0","0","32"
01/09/2021 02:30,"7.9935","186.6586","0","175.9919","0","0","10.6667"
01/09/2021 02:45,"7.9935","178.7309","0","178.7309","0","0","0"
01/09/2021 03:00,"7.9935","191.8901","0","180.8901","0","0","11"
01/09/2021 03:15,"7.9935","189.9916","0","179.3249","0","0","10.6667"
01/09/2021 03:30,"7.9935","183.4593","0","173.7926","0","0","9.6667"
01/09/2021 03:45,"7.9935","183.4314","0","174.098","0","0","9.3333"
01/09/2021 04:00,"7.9935","186.6113","0","186.6113","0","0","0"
01/09/2021 04:15,"7.9935","167.0231","0","167.0231","0","0","0"
01/09/2021 04:30,"7.9935","198.1107","0","185.1107","0","0","13"
01/09/2021 04:45,"7.9935","169.4125","0","169.4125","0","0","0"
01/09/2021 05:00,"7.9935","179.0447","0","179.0447","0","0","0"
01/09/2021 05:15,"7.9935","184.4943","0","184.4943","0","0","0"
01/09/2021 05:30,"7.9935","193.1188","0","169.7854","0","0","23.3333"
01/09/2021 05:45,"7.9935","199.9865","0","179.6532","0","0","20.3333"
01/09/2021 06:00,"7.9935","179.5948","0","151.5948","0","0","28"
01/09/2021 06:15,"7.9935","164.8998","0","71.5665","0","0","93.3333"
01/09/2021 06:30,"7.9935","172.1653","15.168","0","70.3333","0","187.3333"
01/09/2021 06:45,"7.9935","174.7722","165.8944","0","340.6667","0","340.6667"
01/09/2021 07:00,"7.9935","168.9168","706.7499","0","875.6667","0","875.6667"
01/09/2021 07:15,"7.9935","169.9579","913.0421","0","1083","0","1083"
01/09/2021 07:30,"7.9935","156.0255","1646.6411","0","1802.6666","0","1802.6666"
01/09/2021 07:45,"7.9935","164.3416","1782.3251","0","1946.6666","0","1946.6666"
01/09/2021 08:00,"7.9935","191.428","2067.2388","0","2258.6667","0","2258.6667"
01/09/2021 08:15,"7.9935","145.1552","2017.1781","0","2162.3333","0","2162.3333"
01/09/2021 08:30,"7.9935","188.1544","784.8456","0","973","0","973"
01/09/2021 08:45,"7.9935","184.6115","1263.7219","0","1448.3334","0","1448.3334"
01/09/2021 09:00,"7.9935","166.591","752.0757","0","918.6667","0","918.6667"
01/09/2021 09:15,"7.9935","166.3531","1686.6469","0","1853","0","1853"
01/09/2021 09:30,"7.9935","193.4114","1588.922","0","1782.3334","0","1782.3334"
01/09/2021 09:45,"7.9935","0","3797.938","0","3682.3333","0","3682.3333"
01/09/2021 10:00,"7.9935","188.3672","2906.6328","0","3095","0","3095"
01/09/2021 10:15,"7.9935","181.156","3323.844","0","3505","0","3505"
01/09/2021 10:30,"7.9935","166.2854","2096.7146","0","2263","0","2263"
01/09/2021 10:45,"7.9935","85.9545","1582.3789","0","1668.3334","0","1668.3334"
01/09/2021 11:00,"7.9935","0","2973.2344","0","2953","0","2953"
01/09/2021 11:15,"7.9935","149.4799","1677.5201","0","1827","0","1827"
01/09/2021 11:30,"7.9935","641.9788","2423.3545","0","3398.3333","998.9999","3065.3333"
01/09/2021 11:45,"9.9964","178.0061","1451.9298","61.2692","2762.2292","1193.5625","1568.6666"
01/09/2021 12:00,"18.4951","135.0604","37.1505","113.2109","3196.5625","3137.5625","59"
01/09/2021 12:15,"25.6634","198.7311","117.0563","59.1208","2648.6458","2391.9792","256.6667"
01/09/2021 12:30,"34.6638","1261.1227","35.3367","11.126","4299.604","3014.2708","1285.3334"
01/09/2021 12:45,"35.9978","3233.3381","304.0996","10.4378","3880.4583","353.4583","3527"
01/09/2021 13:00,"35.4962","3402.1519","53.648","40.7998","3599.0417","184.0417","3415"
01/09/2021 13:15,"34.6601","3642.5078","4.7794","823.6205","2790.8958","-32.7708","2823.6667"
01/09/2021 13:30,"34.1585","3441.9897","5.9548","18.2778","3209.7292","-219.9375","3429.6667"
01/09/2021 13:45,"32.9953","3397.2896","15.7105","0","3087.2083","-325.7917","3413"
01/09/2021 14:00,"30.996","3399.8813","1.007","23.5551","2081.8542","-1295.4791","3377.3333"
01/09/2021 14:15,"27.4955","3396.8992","210.3372","11.2364","2257.2292","-1338.7709","3596"
01/09/2021 14:30,"24.4929","3488.377","74.27","183.647","1846.7291","-1532.2709","3379"
01/09/2021 14:45,"19.4947","3372.4414","40.054","117.1622","2114.4375","-1180.8959","3295.3333"
01/09/2021 15:00,"14.3293","3432.9143","0","42.5811","1882.1041","-1508.2291","3390.3333"
01/09/2021 15:15,"10.3308","3338.1086","39.4481","1599.5568","1221.8959","-556.1042","1778"
01/09/2021 15:30,"9.8328","2291.135","135.7528","1811.8877","615","0","615"
01/09/2021 15:45,"11.1632","137.5363","0","80.8696","911.25","854.5833","56.6667"
01/09/2021 16:00,"12.4973","235.9881","118.6867","40.0082","264.1875","6.6667","314.6667"
01/09/2021 16:15,"12.4973","123.0045","0","50.6711","178.5833","167.2083","72.3333"
01/09/2021 16:30,"12.8317","185.4391","5.6953","40.8011","400.75","250.4167","150.3333"
01/09/2021 16:45,"12.9989","119.302","5.0712","23.3732","0","0","101"
01/09/2021 17:00,"12.4973","147.7505","0","50.7505","0","-48.5833","97"
01/09/2021 17:15,"12.1629","130.2826","34.355","5.6376","0","-136.7708","159"
01/09/2021 17:30,"11.6612","189.3958","35.9839","19.713","0","-122","205.6667"
01/09/2021 17:45,"11.3268","135.4814","2.6623","70.1437","0","-63.625","68"
01/09/2021 18:00,"10.8252","199.1272","50.5403","5.0009","0","-162.9375","244.6667"
01/09/2021 18:15,"10.3272","170.6309","31.8725","99.8367","0","-70.8333","102.6667"
01/09/2021 18:30,"9.8328","166.6799","0","166.6799","0","0","0"
01/09/2021 18:45,"9.4984","176.3049","0","176.3049","0","0","0"
01/09/2021 19:00,"9.4984","180.3873","0","180.3873","0","0","0"
01/09/2021 19:15,"9.3312","169.9713","0","169.9713","0","0","0"
01/09/2021 19:30,"8.9967","183.1305","0","183.1305","0","0","0"
01/09/2021 19:45,"8.9967","174.2106","0","174.2106","0","0","0"
01/09/2021 20:00,"8.9967","163.3939","0","163.3939","0","0","0"
01/09/2021 20:15,"8.9967","160.417","0","160.417","0","0","0"
01/09/2021 20:30,"8.9967","173.8495","0","173.8495","0","0","0"
01/09/2021 20:45,"8.9967","182.8503","0","182.8503","0","0","0"
01/09/2021 21:00,"8.9967","168.6054","0","168.6054","0","0","0"
01/09/2021 21:15,"8.9967","174.2702","0","174.2702","0","0","0"
01/09/2021 21:30,"8.9967","181.6306","0","181.6306","0","0","0"
01/09/2021 21:45,"8.9967","173.5319","0","173.5319","0","0","0"
01/09/2021 22:00,"8.9967","173.9316","0","173.9316","0","0","0"
01/09/2021 22:15,"8.9967","163.9859","0","163.9859","0","0","0"
01/09/2021 22:30,"8.9967","171.0097","0","171.0097","0","0","0"
01/09/2021 22:45,"8.6623","176.1709","0","176.1709","0","0","0"
01/09/2021 23:00,"8.4951","174.626","0","174.626","0","0","0"
01/09/2021 23:15,"8.4951","188.4124","0","188.4124","0","0","0"
01/09/2021 23:30,"8.4951","178.172","0","178.172","0","0","0"
01/09/2021 23:45,"8.4951","182.4873","0","182.4873","0","0","0"
01/10/2021 00:00,"8.4951","175.036","0","175.036","0","0","0"
01/10/2021 00:15,"8.4951","166.2455","0","166.2455","0","0","0"
01/10/2021 00:30,"8.4951","172.9238","0","172.9238","0","0","0"
01/10/2021 00:45,"8.4951","177.9147","0","177.9147","0","0","0"
01/10/2021 01:00,"8.4951","176.9016","0","176.9016","0","0","0"
01/10/2021 01:15,"8.4951","181.1794","0","181.1794","0","0","0"
01/10/2021 01:30,"8.4951","177.1188","0","177.1188","0","0","0"
01/10/2021 01:45,"8.4951","167.7683","0","167.7683","0","0","0"
01/10/2021 02:00,"8.4951","176.1137","0","176.1137","0","0","0"
01/10/2021 02:15,"8.4951","182.1888","0","182.1888","0","0","0"
01/10/2021 02:30,"8.4951","170.6459","0","170.6459","0","0","0"
01/10/2021 02:45,"8.4951","182.335","0","182.335","0","0","0"
01/10/2021 03:00,"8.4951","181.9437","0","181.9437","0","0","0"
01/10/2021 03:15,"8.4951","176.7974","0","176.7974","0","0","0"
01/10/2021 03:30,"8.4951","170.8792","0","170.8792","0","0","0"
01/10/2021 03:45,"8.4951","178.5141","0","178.5141","0","0","0"
01/10/2021 04:00,"8.4951","176.6378","0","176.6378","0","0","0"
01/10/2021 04:15,"8.4951","180.1987","0","180.1987","0","0","0"
01/10/2021 04:30,"8.4951","177.4818","0","177.4818","0","0","0"
01/10/2021 04:45,"8.4951","174.7974","0","174.7974","0","0","0"
01/10/2021 05:00,"8.4951","169.4369","0","169.4369","0","0","0"
01/10/2021 05:15,"8.4951","176.9997","0","176.9997","0","0","0"
01/10/2021 05:30,"8.4951","175.6689","0","175.6689","0","0","0"
01/10/2021 05:45,"8.4951","182.958","0","182.958","0","0","0"
01/10/2021 06:00,"8.4951","174.7813","0","174.7813","0","0","0"
01/10/2021 06:15,"8.3279","152.2564","2.9719","61.8949","76","59.6667","93.3333"
