Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
01/22/2021 00:00,"10.4907","167.3541","0","167.3541","0","0","0"
01/22/2021 00:15,"10.4907","163.7943","0","163.7943","0","0","0"
01/22/2021 00:30,"10.4907","176.6336","0","176.6336","0","0","0"
01/22/2021 00:45,"10.4907","164.9793","0","164.9793","0","0","0"
01/22/2021 01:00,"10.4907","184.5262","0","184.5262","0","0","0"
01/22/2021 01:15,"10.4907","167.3934","0","167.3934","0","0","0"
01/22/2021 01:30,"10.4907","179.105","0","179.105","0","0","0"
01/22/2021 01:45,"10.4907","177.8078","0","177.8078","0","0","0"
01/22/2021 02:00,"10.4907","183.5291","0","183.5291","0","0","0"
01/22/2021 02:15,"10.4907","182.4865","0","182.4865","0","0","0"
01/22/2021 02:30,"10.4907","181.3871","0","181.3871","0","0","0"
01/22/2021 02:45,"10","174.0858","0","174.0858","0","0","0"
01/22/2021 03:00,"10","176.4458","0","176.4458","0","0","0"
01/22/2021 03:15,"10","162.1261","0","162.1261","0","0","0"
01/22/2021 03:30,"10","164.7059","0","164.7059","0","0","0"
01/22/2021 03:45,"10","178.3541","0","178.3541","0","0","0"
01/22/2021 04:00,"10","181.0347","0","181.0347","0","0","0"
01/22/2021 04:15,"10","176.2194","0","176.2194","0","0","0"
01/22/2021 04:30,"10","166.4318","0","166.4318","0","0","0"
01/22/2021 04:45,"10","169.7808","0","169.7808","0","0","0"
01/22/2021 05:00,"10","172.7008","0","172.7008","0","0","0"
01/22/2021 05:15,"10","172.8512","0","172.8512","0","0","0"
01/22/2021 05:30,"10","169.8029","0","169.8029","0","0","0"
01/22/2021 05:45,"10","189.9176","0","189.9176","0","0","0"
01/22/2021 06:00,"10","163.0925","0","135.7591","0","0","27.3333"
01/22/2021 06:15,"10","160.2015","0","61.8682","0","0","98.3333"
01/22/2021 06:30,"10","148.5616","27.0957","19.324","165.8542","70.5208","156.3333"
01/22/2021 06:45,"10.3272","166.301","14.8225","17.7901","460.1875","296.8542","163.3333"
01/22/2021 07:00,"11.494","50.8194","8.7928","2.6123","582.4792","525.4792","57"
01/22/2021 07:15,"12.9953","433.6427","16.7072","62.6832","1119.4375","731.7709","387.6667"
01/22/2021 07:30,"15.1618","68.9377","19.3157","19.2534","959.9583","890.9584","69"
01/22/2021 07:45,"17.4955","172.1228","0","104.7895","1099.6875","1032.3541","67.3333"
01/22/2021 08:00,"19.9964","89.0486","123.9514","0","1131.3125","918.3125","213"
01/22/2021 08:15,"23.6605","145.8562","26.4265","6.616","1453.7709","1288.1041","165.6667"
01/22/2021 08:30,"27.6627","165.1068","6.8066","14.58","1592.0416","1434.7084","157.3333"
01/22/2021 08:45,"30.8288","1158.8234","1.3711","30.5279","1367.5625","237.8959","1129.6666"
01/22/2021 09:00,"30.1599","2240.1094","0.2449","96.3542","2219.0208","75.0209","2144"
01/22/2021 09:15,"29.3312","2163.5068","8.3765","74.8833","1325.0416","-771.9583","2097"
01/22/2021 09:30,"27.4918","1114.4449","1025.5551","0","1264.375","-875.6249","2140"
01/22/2021 09:45,"25.4962","1154.8643","7.7012","67.5654","1675.875","580.875","1095"
01/22/2021 10:00,"24.8273","2195.7842","23.549","0","2358.9167","139.5833","2219.3333"
01/22/2021 10:15,"24.4929","2137.6531","63.9434","21.5965","1864.3959","-315.6042","2180"
01/22/2021 10:30,"23.1589","1208.5133","0","78.5133","1477.0625","347.0625","1130"
01/22/2021 10:45,"21.1596","2167.6216","185.2536","22.2085","1525.8334","-804.8333","2330.6667"
01/22/2021 11:00,"20.8252","2192.2871","4.9148","62.202","2130.6875","-4.3125","2135"
01/22/2021 11:15,"21.1596","2244.1118","0","19.7785","2590.7292","366.3958","2224.3333"
