Time,Energy (Wh)
10/01/2019,"376190"
11/01/2019,"446274"
12/01/2019,"508296"
01/01/2020,"555427"
02/01/2020,"669752"
03/01/2020,"888936"
04/01/2020,"722078"
05/01/2020,"510676"
06/01/2020,"457830"
07/01/2020,"505008"
08/01/2020,"538113"
09/01/2020,"573870"
10/01/2020,"529042"
11/01/2020,"474523"
12/01/2020,"491647"
01/01/2021,"547516"
02/01/2021,"584620"
03/01/2021,"720092"
04/01/2021,"574563"
05/01/2021,"423955"
06/01/2021,"474367"
07/01/2021,"438646"
08/01/2021,"510027"
09/01/2021,"524230"
10/01/2021,"529370"
11/01/2021,"193019"
