Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
02/19/2021 00:00,"100","178.4117","0","178.4117","0","0","0"
02/19/2021 00:15,"100","171.7953","0","171.7953","0","0","0"
02/19/2021 00:30,"100","171.4281","0","171.4281","0","0","0"
02/19/2021 00:45,"100","168.7635","0","168.7635","0","0","0"
02/19/2021 01:00,"98.9967","173.0102","1.6202","1.6304","0","-116.625","173"
02/19/2021 01:15,"98.9967","135.2912","0","9.6245","0","-125.25","125.6667"
02/19/2021 01:30,"98.4951","179.4053","1.1292","38.8679","0","-81.2292","141.6667"
02/19/2021 01:45,"98.3279","184.9748","0","12.6415","0","-93.1875","172.3333"
02/19/2021 02:00,"97.4955","146.8986","5.5403","26.7722","0","-106.5833","125.6667"
02/19/2021 02:15,"96.4995","161.9485","3.5713","23.5198","0","-112","142"
02/19/2021 02:30,"96.3322","164.2208","11.1012","10.322","0","-112.1875","165"
02/19/2021 02:45,"95.9978","153.6725","10.5809","2.5867","0","-123.9792","161.6667"
02/19/2021 03:00,"95.329","162.531","0","18.8644","0","-113.375","143.6667"
02/19/2021 03:15,"94.4929","146.6917","3.6335","15.3252","0","-96.6042","135"
02/19/2021 03:30,"94.3257","167.5842","0","21.9176","0","-102.8125","145.6667"
02/19/2021 03:45,"93.9913","167.4959","0","22.8292","0","-88.4792","144.6667"
02/19/2021 04:00,"93.3261","168.2245","0","25.8912","0","-104.8542","142.3333"
02/19/2021 04:15,"92.4973","162.7613","3.088","18.1826","0","-92.875","147.6667"
02/19/2021 04:30,"92.1628","164.4408","9.2795","24.7204","0","-113.6875","149"
02/19/2021 04:45,"91.9956","181.4675","5.5987","36.3995","0","-97.3958","150.6667"
02/19/2021 05:00,"91.494","183.4215","1.0758","10.164","0","-113.5417","174.3333"
02/19/2021 05:15,"91.3268","182.2235","0.0974","36.3209","0","-85.4792","146"
02/19/2021 05:30,"90.867","157.9166","16.1036","7.7702","0","-108.375","166.25"
02/19/2021 05:45,"90.4907","158.6139","4.4733","6.4206","0","-106.625","156.6667"
02/19/2021 06:00,"89.8328","163.2244","15.3547","13.9124","0","-71.1042","164.6667"
02/19/2021 06:15,"89.3311","158.4197","19.1825","5.2688","68.6667","0","172.3333"
02/19/2021 06:30,"88.9967","163.1816","8.2179","25.7328","199.125","117.125","145.6667"
02/19/2021 06:45,"89.1639","173.4579","0","49.7912","326.9375","203.2708","123.6667"
02/19/2021 07:00,"89.4984","106.6186","26.6628","20.6147","251.5","193.0833","112.6667"
02/19/2021 07:15,"89.8328","99.2733","0.0179","9.2913","416.8542","326.8542","90"
02/19/2021 07:30,"90.9924","85.0668","0","70.7335","683.5625","669.2292","14.3333"
02/19/2021 07:45,"92.8281","271.82","87.4778","0.2977","1164.9166","805.9167","359"
02/19/2021 08:00,"94.3257","1147.1205","10.8697","21.6569","1029.2291","-107.1041","1136.3334"
02/19/2021 08:15,"91.8284","2185.0405","0","49.7072","1030.6459","-1104.6875","2135.3333"
02/19/2021 08:30,"89.3275","1186.4696","0","85.1362","1069.7291","-31.6042","1101.3334"
02/19/2021 08:45,"87.161","2216.2703","4.277","1068.5472","1293.0625","141.0625","1152"
02/19/2021 09:00,"89.9964","5610.2593","0","5610.2593","1665.6459","4998.979","0"
02/19/2021 09:15,"98.3279","2200.6704","230.2537","1995.5908","1999.375","1564.0416","435.3333"
02/19/2021 09:30,"100","1199.6371","837.0845","700.0549","1336.6666","0","1336.6666"
02/19/2021 09:45,"100","2181.5742","221.6464","1485.5538","917.6667","0","917.6667"
02/19/2021 10:00,"100","2259.7588","456.6599","986.7522","1729.6666","0","1729.6666"
02/19/2021 10:15,"100","2222.0759","1256.4332","229.5092","3249","0","3249"
02/19/2021 10:30,"100","2348.9446","1677.3369","456.2816","3570","0","3570"
02/19/2021 10:45,"100","1164.968","2581.0686","278.7034","3467.3333","0","3467.3333"
02/19/2021 11:00,"100","1255.0049","2522.3284","0","3777.3333","0","3777.3333"
02/19/2021 11:15,"100","3315.6304","761.2064","460.8369","3616","0","3616"
02/19/2021 11:30,"99.8328","2580.4426","374.2517","1624.6943","1720.6666","390.6667","1330"
02/19/2021 11:45,"100","1173.2041","1065.3693","492.9068","1745.6666","0","1745.6666"
02/19/2021 12:00,"100","1182.8119","983.5635","484.3755","1682","0","1682"
02/19/2021 12:15,"100","2234.0498","780.6262","1234.3427","1780.3334","0","1780.3334"
02/19/2021 12:30,"100","2229.606","382.3337","1187.6062","1424.3334","0","1424.3334"
02/19/2021 12:45,"100","2221.9941","1282.0914","481.0856","3023","0","3023"
02/19/2021 13:00,"100","2281.0225","553.9375","345.2932","2489.6667","0","2489.6667"
02/19/2021 13:15,"100","2259.0698","239.6279","1156.3644","1342.3334","0","1342.3334"
02/19/2021 13:30,"100","2228.7556","128.0365","1766.1254","590.6667","0","590.6667"
02/19/2021 13:45,"100","2200.6055","100.34","1845.9454","455","0","455"
02/19/2021 14:00,"100","2171.1003","102.6705","1805.7709","468","0","468"
02/19/2021 14:15,"100","2202.5308","119.167","1862.3645","459.3333","0","459.3333"
02/19/2021 14:30,"100","2201.3789","125.3708","1818.0831","508.6667","0","508.6667"
02/19/2021 14:45,"100","1178.7052","115.9363","956.9748","337.6667","0","337.6667"
02/19/2021 15:00,"100","2204.5234","103.8673","1828.0575","480.3333","0","480.3333"
02/19/2021 15:15,"100","2212.2554","157.0509","1754.9731","614.3333","0","614.3333"
02/19/2021 15:30,"100","1187.3378","125.6319","950.303","362.6667","0","362.6667"
02/19/2021 15:45,"100","2207.4082","75.5222","1729.597","553.3333","0","553.3333"
02/19/2021 16:00,"99.8328","2401.9668","0","2401.9668","118.3542","390.6875","0"
02/19/2021 16:15,"100","2187.8318","0","2122.4985","0","0","65.3333"
02/19/2021 16:30,"100","2216.447","0","2175.7803","0","0","40.6667"
02/19/2021 16:45,"100","2180.9629","0","2116.6296","0","0","64.3333"
02/19/2021 17:00,"100","1153.5929","0","1084.5929","0","0","69"
02/19/2021 17:15,"100","2180.1667","0","2142.1667","0","0","38"
02/19/2021 17:30,"100","1181.7444","0","1181.7444","0","0","0"
02/19/2021 17:45,"100","2167.1033","0","2167.1033","0","0","0"
02/19/2021 18:00,"100","2145.241","0","2145.241","0","0","0"
02/19/2021 18:15,"100","2197.7134","0","2197.7134","0","0","0"
02/19/2021 18:30,"100","2146.605","0","2146.605","0","0","0"
