Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
02/26/2021 00:00,"99.8328","564.7598","0","564.7598","0","389.9792","0"
02/26/2021 00:15,"100","170.3332","0","170.3332","0","0","0"
02/26/2021 00:30,"100","171.4563","0","171.4563","0","0","0"
02/26/2021 00:45,"100","186.1677","0","186.1677","0","0","0"
02/26/2021 01:00,"100","134.1813","11.5425","15.3905","0","-126.9792","130.3333"
02/26/2021 01:15,"100","170.7407","4.8845","23.2919","0","-94.125","152.3333"
02/26/2021 01:30,"99.3312","159.2944","4.082","30.0431","0","-83.9375","133.3333"
02/26/2021 01:45,"98.8295","161.0719","15.5948","0","0","-126.3333","176.6667"
02/26/2021 02:00,"98.4951","151.2614","23.7294","13.3241","0","-117.875","161.6667"
02/26/2021 02:15,"97.9935","174.214","0","34.214","0","-85.2917","140"
02/26/2021 02:30,"97.659","184.8761","0","30.5427","0","-105.8125","154.3333"
02/26/2021 02:45,"97.3246","160.2575","2.2062","21.4637","0","-97.3333","141"
02/26/2021 03:00,"96.8266","173.8199","0","29.1532","0","-94.4375","144.6667"
02/26/2021 03:15,"96.3322","157.7743","0","24.1077","0","-77.2708","133.6667"
02/26/2021 03:30,"95.8306","148.1711","14.6805","1.1849","0","-139.9375","161.6667"
02/26/2021 03:45,"95.4962","140.8276","13.2909","17.7852","0","-105.3333","136.3333"
02/26/2021 04:00,"94.9945","180.121","11.3017","3.756","0","-129.7708","187.6667"
02/26/2021 04:15,"94.4929","165.0251","9.1421","5.5006","0","-121.25","168.6667"
02/26/2021 04:30,"93.9913","144.9524","4.0072","19.9596","0","-94.9792","129"
02/26/2021 04:45,"93.6569","170.1023","2.6963","36.1319","0","-99.5833","136.6667"
02/26/2021 05:00,"93.1625","148.2073","15.5158","22.7231","0","-115.9792","141"
02/26/2021 05:15,"92.6645","191.5246","0","53.8579","0","-74.6042","137.6667"
02/26/2021 05:30,"92.121","184.0056","7.7854","15.291","0","-102.4844","176.5"
02/26/2021 05:45,"91.6612","149.9048","0","48.9048","0","-67.7083","101"
02/26/2021 06:00,"90.6579","175.5329","4.9773","5.1769","0","-36.9375","175.3333"
02/26/2021 06:15,"90","153.7139","5.6911","24.4051","91.4792","80.8125","135"
02/26/2021 06:30,"90.4944","156.2359","36.9608","5.1967","864.2292","676.2292","188"
02/26/2021 06:45,"92.6609","161.1412","1.6022","11.0767","1220.0209","1068.3541","151.6667"
02/26/2021 07:00,"95.827","153.1403","14.193","0","1626.8541","1459.5209","167.3333"
02/26/2021 07:15,"99.3312","157.6371","967.6963","0","2032.6666","907.3333","1125.3334"
02/26/2021 07:30,"100","144.688","1452.2639","45.9519","1551","0","1551"
02/26/2021 07:45,"100","167.3862","2496.6138","0","2664","0","2664"
02/26/2021 08:00,"99.8328","1157.7394","1454.9274","0","2937.7708","325.1042","2612.6667"
02/26/2021 08:15,"100","2192.1985","983.6713","37.5366","3115.1875","-23.1458","3138.3333"
02/26/2021 08:30,"100","2229.4956","1112.1711","0","3341.6667","0","3341.6667"
02/26/2021 08:45,"100","2210.1543","1370.5125","0","3580.6667","0","3580.6667"
02/26/2021 09:00,"100","2210.022","1559.6449","0","3769.6667","0","3769.6667"
02/26/2021 09:15,"100","2246.5217","1689.4783","0","3936","0","3936"
02/26/2021 09:30,"100","2254.6189","1891.7146","0","4146.3335","0","4146.3335"
02/26/2021 09:45,"100","2100.6772","2128.6562","0","4229.3335","0","4229.3335"
02/26/2021 10:00,"100","2330.8667","2228.4668","0","4559.3335","0","4559.3335"
02/26/2021 10:15,"100","1901.2029","2021.4999","174.036","3748.6667","0","3748.6667"
02/26/2021 10:30,"100","2441.6985","2387.3015","0","4829","0","4829"
02/26/2021 10:45,"100","2487.1909","1787.7004","468.5581","3806.3333","0","3806.3333"
02/26/2021 11:00,"100","2250.592","2198.0745","0","4448.6665","0","4448.6665"
02/26/2021 11:15,"100","2093.0322","1629.4395","799.8049","2922.6667","0","2922.6667"
02/26/2021 11:30,"100","2300.9907","1947.0814","1038.4053","3209.6667","0","3209.6667"
02/26/2021 11:45,"100","2260.1858","553.3293","839.1817","1974.3334","0","1974.3334"
02/26/2021 12:00,"100","2153.4531","1625.7438","1160.53","2618.6667","0","2618.6667"
02/26/2021 12:15,"100","2282.4583","766.324","1059.1157","1989.6666","0","1989.6666"
02/26/2021 12:30,"100","2194.1079","669.0167","1255.458","1607.6666","0","1607.6666"
02/26/2021 12:45,"100","2647.7954","399.6775","567.1397","2480.3333","0","2480.3333"
02/26/2021 13:00,"100","1802.2346","1815.7749","511.3428","3106.6667","0","3106.6667"
02/26/2021 13:15,"99.8328","2385.8464","1735.3308","55.844","4455.7085","390.375","4065.3333"
02/26/2021 13:30,"100","1208.6313","2848.7019","0","4057.3333","0","4057.3333"
02/26/2021 13:45,"100","2317.104","1146.4976","624.9348","2838.6667","0","2838.6667"
02/26/2021 14:00,"100","3816.041","13.0762","692.1172","3137","0","3137"
02/26/2021 14:15,"100","2326.2671","947.7559","286.6897","2987.3333","0","2987.3333"
02/26/2021 14:30,"100","2316.2639","942.2156","467.4794","2791","0","2791"
02/26/2021 14:45,"100","2224.7991","795.199","902.6648","2117.3333","0","2117.3333"
02/26/2021 15:00,"100","2315.623","701.0384","846.328","2170.3333","0","2170.3333"
02/26/2021 15:15,"100","1191.2109","1172.5963","462.1406","1901.6666","0","1901.6666"
02/26/2021 15:30,"100","2251.0059","447.3903","1054.0626","1644.3334","0","1644.3334"
02/26/2021 15:45,"100","2237.0181","334.5691","1309.9207","1261.6666","0","1261.6666"
02/26/2021 16:00,"100","2246.1655","224.95","1552.4489","918.6667","0","918.6667"
02/26/2021 16:15,"100","2258.6157","133.7551","1761.704","630.6667","0","630.6667"
02/26/2021 16:30,"100","2246.9404","52.9923","1919.9327","380","0","380"
02/26/2021 16:45,"100","2217.8381","2.4669","2017.3051","150.6667","0","203"
02/26/2021 17:00,"100","2202.1865","0","2093.8533","0","0","108.3333"
02/26/2021 17:15,"100","2192.5415","0","2119.8748","0","0","72.6667"
02/26/2021 17:30,"100","2185.4268","0","2165.4268","0","0","20"
02/26/2021 17:45,"100","2190.6328","0","2190.6328","0","0","0"
02/26/2021 18:00,"100","1174.9829","0","1174.9829","0","0","0"
02/26/2021 18:15,"100","2204.3687","0","2204.3687","0","0","0"
02/26/2021 18:30,"100","1192.3199","0","1192.3199","0","0","0"
02/26/2021 18:45,"100","2118.3713","0","2118.3713","0","0","0"
02/26/2021 19:00,"100","2188.9626","0","2188.9626","0","0","0"
02/26/2021 19:15,"100","2161.5356","0","2161.5356","0","0","0"
02/26/2021 19:30,"100","2195.863","0","2195.863","0","0","0"
02/26/2021 19:45,"100","1160.5112","0","1160.5112","0","0","0"
02/26/2021 20:00,"100","2185.5554","0","2185.5554","0","0","0"
02/26/2021 20:15,"100","181.3626","0","181.3626","0","0","0"
02/26/2021 20:30,"100","164.3303","0","164.3303","0","0","0"
02/26/2021 20:45,"100","169.6133","0","169.6133","0","0","0"
02/26/2021 21:00,"100","174.5252","0","174.5252","0","0","0"
02/26/2021 21:15,"100","177.4146","0","177.4146","0","0","0"
02/26/2021 21:30,"100","164.5119","0","164.5119","0","0","0"
02/26/2021 21:45,"100","169.3139","0","169.3139","0","0","0"
02/26/2021 22:00,"100","179.1164","0","179.1164","0","0","0"
02/26/2021 22:15,"100","172.7959","0","172.7959","0","0","0"
02/26/2021 22:30,"100","181.1164","0","181.1164","0","0","0"
02/26/2021 22:45,"100","178.0903","0","178.0903","0","0","0"
02/26/2021 23:00,"100","181.2371","0","181.2371","0","0","0"
02/26/2021 23:15,"100","173.0272","0","173.0272","0","0","0"
02/26/2021 23:30,"100","169.3858","0","169.3858","0","0","0"
02/26/2021 23:45,"100","174.8928","0","174.8928","0","0","0"
02/27/2021 00:00,"100","178.5499","0","178.5499","0","0","0"
02/27/2021 00:15,"100","180.2842","0","180.2842","0","0","0"
02/27/2021 00:30,"99.8328","565.9519","0","565.9519","0","390.3125","0"
02/27/2021 00:45,"100","169.9408","0","169.9408","0","0","0"
02/27/2021 01:00,"100","166.0641","0","24.0641","0","-94.2917","142"
02/27/2021 01:15,"100","171.5185","2.3233","17.1751","0","-85.1042","156.6667"
02/27/2021 01:30,"99.3312","168.3947","17.2103","4.2717","0","-121.2292","181.3333"
02/27/2021 01:45,"98.9967","182.7629","0","29.7629","0","-79.9167","153"
02/27/2021 02:00,"98.4951","133.8867","1.1052","22.9918","0","-93.8125","112"
02/27/2021 02:15,"98.1607","175.4682","12.0785","20.5468","0","-111.625","167"
02/27/2021 02:30,"97.8262","178.0483","4.5817","10.9634","0","-103.6458","171.6667"
02/27/2021 02:45,"97.3246","156.4257","13.4322","6.1912","0","-122.4167","163.6667"
02/27/2021 03:00,"96.8266","149.7368","6.153","24.8899","0","-99.6667","131"
02/27/2021 03:15,"96.4995","172.6131","0","22.6131","0","-109.9583","150"
02/27/2021 03:30,"95.9978","179.4845","16.6114","10.7626","0","-135.0208","185.3333"
02/27/2021 03:45,"95.4962","155.2373","1.4106","24.3146","0","-100.6667","132.3333"
02/27/2021 04:00,"94.9945","155.0876","0","8.4209","0","-122.0625","146.6667"
02/27/2021 04:15,"94.4929","161.341","0","14.6743","0","-114.6042","146.6667"
02/27/2021 04:30,"93.9913","173.1019","0","27.7686","0","-112.5625","145.3333"
02/27/2021 04:45,"93.4896","139.303","7.065","24.7013","0","-101.6042","121.6667"
02/27/2021 05:00,"92.9989","158.0748","7.3479","7.0894","0","-119.6458","158.3333"
02/27/2021 05:15,"92.6645","157.005","10.4961","21.1678","0","-107.125","146.3333"
02/27/2021 05:30,"92.1628","173.4832","4.9742","22.1241","0","-111.8125","156.3333"
02/27/2021 05:45,"91.6612","141.941","19.7257","0","0","-125.5417","161.6667"
02/27/2021 06:00,"90.8252","154.362","3.0311","4.3931","0","-78.2917","153"
02/27/2021 06:15,"89.8328","154.075","6.4123","3.154","0","-40.6667","157.3333"
