Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
03/19/2021 00:00,"8.495","166.9128","0","166.9128","0","0","0"
03/19/2021 00:15,"8.495","173.6396","0","173.6396","0","0","0"
03/19/2021 00:30,"8.495","172.2725","0","172.2725","0","0","0"
03/19/2021 00:45,"8.495","165.2537","0","165.2537","0","0","0"
03/19/2021 01:00,"8.495","180.4556","0","180.4556","0","0","0"
03/19/2021 01:15,"8.495","167.8431","0","167.8431","0","0","0"
03/19/2021 01:30,"8.495","158.7835","0","158.7835","0","0","0"
03/19/2021 01:45,"8.495","164.4669","0","164.4669","0","0","0"
03/19/2021 02:00,"8.495","161.0026","0","161.0026","0","0","0"
03/19/2021 02:15,"8.495","156.3442","0","156.3442","0","0","0"
03/19/2021 02:30,"8.1589","165.101","0","165.101","0","0","0"
03/19/2021 02:45,"7.9908","195.7603","0","175.0936","0","0","20.6667"
03/19/2021 03:00,"7.9908","181.6933","0","170.36","0","0","11.3333"
03/19/2021 03:15,"7.9908","162.6983","0","162.6983","0","0","0"
03/19/2021 03:30,"7.9908","185.7249","0","174.7249","0","0","11"
03/19/2021 03:45,"7.9908","165.9925","0","154.3259","0","0","11.6667"
03/19/2021 04:00,"7.9908","170.5661","0","170.5661","0","0","0"
03/19/2021 04:15,"7.9908","175.693","0","164.3596","0","0","11.3333"
03/19/2021 04:30,"7.9908","173.877","0","162.5437","0","0","11.3333"
03/19/2021 04:45,"7.9908","188.1931","0","177.8597","0","0","10.3333"
03/19/2021 05:00,"7.9908","177.21","0","166.5433","0","0","10.6667"
03/19/2021 05:15,"7.9908","171.188","0","171.188","0","0","0"
03/19/2021 05:30,"7.9908","179.4413","0","168.108","0","0","11.3333"
03/19/2021 05:45,"7.9908","181.3777","0","158.3777","0","0","23"
03/19/2021 06:00,"7.9908","159.0051","0","98.3384","0","0","60.6667"
03/19/2021 06:15,"7.9908","154.8286","28.6097","22.7716","78","0","160.6667"
03/19/2021 06:30,"7.9908","149.5765","472.7568","0","622.3333","0","622.3333"
03/19/2021 06:45,"7.9908","161.5265","847.8068","0","1009.3333","0","1009.3333"
03/19/2021 07:00,"7.9908","159.8152","1042.1848","0","1202","0","1202"
03/19/2021 07:15,"7.9908","1164.9885","982.0267","527.0151","1620","0","1620"
03/19/2021 07:30,"7.9908","2215.7222","418.4596","1434.5153","1199.6666","0","1199.6666"
03/19/2021 07:45,"7.9908","1181.0815","534.4819","740.23","975.3333","0","975.3333"
03/19/2021 08:00,"7.9908","1150.7007","947.6617","584.0291","1514.3334","0","1514.3334"
03/19/2021 08:15,"7.9908","2233.5117","326.6295","1523.4746","1036.6666","0","1036.6666"
03/19/2021 08:30,"7.9908","2254.2522","95.6159","1937.868","412","0","412"
03/19/2021 08:45,"8.3269","2284.1135","0","2033.1135","755.625","756.9375","251"
03/19/2021 09:00,"10.1575","1178.035","572.6004","1044.3021","958.8125","252.4792","706.3333"
03/19/2021 09:15,"11.3303","1203.9275","0","813.9274","994.625","604.625","390"
03/19/2021 09:30,"11.9917","2239.8406","42.8958","1960.0697","322.6667","0","322.6667"
03/19/2021 09:45,"11.9917","2214.5757","0","1891.9091","553.5208","230.8542","322.6667"
03/19/2021 10:00,"10.4936","2178.0352","0","1676.3685","685.3542","183.6875","501.6667"
03/19/2021 10:15,"10.9942","2233.8328","97.9464","1943.4459","388.3333","0","388.3333"
03/19/2021 10:30,"11.1623","2134.7646","0","1862.7645","407.2083","135.2083","272"
03/19/2021 10:45,"11.4984","1140.7291","50.2998","1004.3622","292.75","106.0833","186.6667"
03/19/2021 11:00,"11.4984","2142.8433","15.5787","1960.7552","134.3333","0","197.6667"
03/19/2021 11:15,"11.4984","2179.3271","0","2000.3271","0","0","179"
03/19/2021 11:30,"11.4984","1233.7402","0","1028.0736","739.1667","533.5","205.6667"
03/19/2021 11:45,"11.9917","2238.9658","14.1434","1849.7759","403.3333","0","403.3333"
03/19/2021 12:00,"11.9917","2156.1265","11.5738","1988.0337","0","0","179.6667"
03/19/2021 12:15,"11.9917","2170.0264","5.4533","2016.4796","0","0","159"
03/19/2021 12:30,"11.9917","2189.9531","7.5655","1996.5186","82.3333","0","201"
03/19/2021 12:45,"11.8272","2128.363","22.5105","1925.2069","194.6667","0","225.6667"
03/19/2021 13:00,"11.9917","1165.4983","55.4213","984.5862","332.25","95.9167","236.3333"
03/19/2021 13:15,"11.9917","2169.4639","0","1840.4639","537.4375","208.4375","329"
03/19/2021 13:30,"10.8261","1130.1719","67.4066","7.9118","525.8542","-663.8125","1189.6666"
03/19/2021 13:45,"10.49","2199.8452","53.9542","1991.4662","262.3333","0","262.3333"
03/19/2021 14:00,"10.49","2183.3997","14.6713","1978.0709","157.6667","0","220"
03/19/2021 14:15,"9.9967","2155.5476","3.3315","2011.5459","0","0","147.3333"
03/19/2021 14:30,"9.9967","2199.7607","0","2116.4275","0","0","83.3333"
03/19/2021 14:45,"9.9967","2160.7451","0","2021.4119","0","0","139.3333"
03/19/2021 15:00,"9.9967","1165.4967","14.1995","993.6962","0","0","186"
03/19/2021 15:15,"9.9967","2189.6006","0","2018.2673","0","0","171.3333"
03/19/2021 15:30,"9.9967","1172.6833","83.7924","996.1424","260.3333","0","260.3333"
03/19/2021 15:45,"9.9967","2192.0474","0","2042.7141","0","0","149.3333"
03/19/2021 16:00,"9.9967","2144.9949","5.8511","1997.1793","0","0","153.6667"
03/19/2021 16:15,"9.9967","2143.3999","0","2037.7332","0","0","105.6667"
03/19/2021 16:30,"9.6606","2124.7134","0","2054.3801","0","0","70.3333"
03/19/2021 16:45,"9.4925","1134.4609","0","1073.1276","0","0","61.3333"
03/19/2021 17:00,"9.4925","2130.3762","0","2097.7095","0","0","32.6667"
03/19/2021 17:15,"9.4925","1146.7211","0","1146.7211","0","0","0"
03/19/2021 17:30,"9.4925","159.9837","0","159.9837","0","0","0"
03/19/2021 17:45,"9.4925","161.6256","0","161.6256","0","0","0"
03/19/2021 18:00,"9.4925","169.5163","0","169.5163","0","0","0"
03/19/2021 18:15,"9.4925","167.9816","0","167.9816","0","0","0"
03/19/2021 18:30,"9.4925","166.5585","0","166.5585","0","0","0"
03/19/2021 18:45,"9.4925","157.8971","0","157.8971","0","0","0"
03/19/2021 19:00,"9.4925","165.7332","0","165.7332","0","0","0"
03/19/2021 19:15,"9.4925","166.4994","0","166.4994","0","0","0"
03/19/2021 19:30,"9.4925","161.5557","0","161.5557","0","0","0"
03/19/2021 19:45,"9.4925","168.0263","0","168.0263","0","0","0"
03/19/2021 20:00,"9.4925","169.9171","0","169.9171","0","0","0"
03/19/2021 20:15,"9.4925","162.5826","0","162.5826","0","0","0"
03/19/2021 20:30,"9.4925","173.0478","0","173.0478","0","0","0"
03/19/2021 20:45,"9.4925","169.3731","0","169.3731","0","0","0"
03/19/2021 21:00,"8.9992","169.0395","0","169.0395","0","0","0"
03/19/2021 21:15,"8.9992","171.2338","0","171.2338","0","0","0"
03/19/2021 21:30,"8.9992","173.7075","0","173.7075","0","0","0"
03/19/2021 21:45,"8.9992","164.7178","0","164.7178","0","0","0"
03/19/2021 22:00,"8.9992","166.8193","0","166.8193","0","0","0"
03/19/2021 22:15,"8.9992","164.5987","0","164.5987","0","0","0"
03/19/2021 22:30,"8.9992","168.1115","0","168.1115","0","0","0"
03/19/2021 22:45,"8.9992","164.58","0","164.58","0","0","0"
03/19/2021 23:00,"8.9992","179.1772","0","179.1772","0","0","0"
03/19/2021 23:15,"8.9992","159.8249","0","159.8249","0","0","0"
03/19/2021 23:30,"8.9992","169.3201","0","169.3201","0","0","0"
03/19/2021 23:45,"8.9992","169.8908","0","169.8908","0","0","0"
03/20/2021 00:00,"8.9992","174.9783","0","163.645","0","0","11.3333"
03/20/2021 00:15,"8.9992","165.1449","0","165.1449","0","0","0"
03/20/2021 00:30,"8.9992","178.8172","0","158.1506","0","0","20.6667"
03/20/2021 00:45,"8.9992","162.0627","0","162.0627","0","0","0"
03/20/2021 01:00,"8.9992","169.9884","0","159.3217","0","0","10.6667"
03/20/2021 01:15,"8.9992","172.1788","0","161.8455","0","0","10.3333"
03/20/2021 01:30,"8.9992","189.8817","0","167.8817","0","0","22"
03/20/2021 01:45,"8.9992","176.7285","0","166.0619","0","0","10.6667"
03/20/2021 02:00,"8.9992","164.7861","0","164.7861","0","0","0"
03/20/2021 02:15,"8.495","187.9943","0","164.3276","0","0","23.6667"
03/20/2021 02:30,"8.495","172.5282","0","161.8615","0","0","10.6667"
03/20/2021 02:45,"8.495","173.7197","0","173.7197","0","0","0"
03/20/2021 03:00,"8.495","164.3879","0","164.3879","0","0","0"
03/20/2021 03:15,"8.495","163.3034","0","163.3034","0","0","0"
03/20/2021 03:30,"8.495","171.0433","0","171.0433","0","0","0"
03/20/2021 03:45,"8.495","176.2942","0","176.2942","0","0","0"
03/20/2021 04:00,"8.495","172.6581","0","172.6581","0","0","0"
03/20/2021 04:15,"8.495","180.2178","0","167.2178","0","0","13"
03/20/2021 04:30,"8.495","199.1383","0","167.4717","0","0","31.6667"
03/20/2021 04:45,"8.495","173.2879","0","173.2879","0","0","0"
03/20/2021 05:00,"8.495","179.9441","0","168.6108","0","0","11.3333"
03/20/2021 05:15,"8.495","168.9899","0","168.9899","0","0","0"
03/20/2021 05:30,"8.495","176.8457","0","166.5123","0","0","10.3333"
03/20/2021 05:45,"8.495","160.8793","0","160.8793","0","0","0"
03/20/2021 06:00,"8.495","178.0936","0","151.0936","0","0","27"
03/20/2021 06:15,"8.495","156.4617","0","107.795","0","0","48.6667"
03/20/2021 06:30,"8.495","154.1291","0","106.1291","166.75","184.5417","48"
03/20/2021 06:45,"8.9956","159.3515","0","111.0181","394.4792","346.1458","48.3333"
03/20/2021 07:00,"9.9931","150.4734","0","102.8068","592.2917","544.625","47.6667"
03/20/2021 07:15,"11.4948","154.7357","0","106.4024","646.6667","598.3333","48.3333"
03/20/2021 07:30,"13.3289","159.8535","0","99.8535","897.75","837.75","60"
03/20/2021 07:45,"15.6601","156.6334","0","108.3001","882.1875","833.8542","48.3333"
03/20/2021 08:00,"17.8267","157.793","0","110.1263","1660.1666","1612.5","47.6667"
03/20/2021 08:15,"21.9957","156.0696","0","100.0696","1115.5834","1059.5834","56"
03/20/2021 08:30,"24.9918","135.1112","0","87.1112","1242.9166","1194.9166","48"
03/20/2021 08:45,"28.6638","157.3072","0","109.3072","1727.0625","1679.0625","48"
03/20/2021 09:00,"34.4916","161.8119","0","113.1452","2706","2657.3333","48.6667"
03/20/2021 09:15,"38.328","1151.6541","0","1103.3207","1108.3541","1060.0209","48.3333"
03/20/2021 09:30,"44.6637","2318.8254","0","2271.1587","3583.2917","3535.625","47.6667"
