Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
03/12/2021 00:00,"98.9967","166.7345","0","166.7345","0","0","0"
03/12/2021 00:15,"98.9967","177.0218","0","177.0218","0","0","0"
03/12/2021 00:30,"98.9967","176.0999","0","176.0999","0","0","0"
03/12/2021 00:45,"98.9967","177.6868","0","177.6868","0","0","0"
03/12/2021 01:00,"98.9967","159.2565","0","159.2565","0","0","0"
03/12/2021 01:15,"98.9967","169.9805","0","169.9805","0","0","0"
03/12/2021 01:30,"98.9967","166.728","0","166.728","0","0","0"
03/12/2021 01:45,"98.9967","166.0165","0","166.0165","0","0","0"
03/12/2021 02:00,"98.9967","167.9103","0","167.9103","0","0","0"
03/12/2021 02:15,"98.4951","173.1875","0","173.1875","0","0","0"
03/12/2021 02:30,"98.4951","164.1428","0","164.1428","0","0","0"
03/12/2021 02:45,"98.4951","170.6738","0","170.6738","0","0","0"
03/12/2021 03:00,"98.4951","162.8041","0","162.8041","0","0","0"
03/12/2021 03:15,"98.4951","180.1727","0","180.1727","0","0","0"
03/12/2021 03:30,"98.4951","168.812","0","168.812","0","0","0"
03/12/2021 03:45,"98.4951","169.3483","0","169.3483","0","0","0"
03/12/2021 04:00,"98.4951","172.8524","0","172.8524","0","0","0"
03/12/2021 04:15,"98.4951","162.7663","0","162.7663","0","0","0"
03/12/2021 04:30,"98.4951","173.6632","0","173.6632","0","0","0"
03/12/2021 04:45,"98.4951","160.7209","0","160.7209","0","0","0"
03/12/2021 05:00,"98.4951","167.6201","0","167.6201","0","0","0"
03/12/2021 05:15,"98.4951","159.4871","0","159.4871","0","0","0"
03/12/2021 05:30,"98.4951","170.2349","0","170.2349","0","0","0"
03/12/2021 05:45,"98.4951","168.2494","0","161.5827","0","0","6.6667"
03/12/2021 06:00,"98.4951","154.8523","0","48.1856","0","0","106.6667"
03/12/2021 06:15,"98.4951","172.2213","41.4547","4.3427","442.875","289.5417","209.3333"
03/12/2021 06:30,"99.8328","151.0884","629.2449","0","1064.7084","284.375","780.3333"
03/12/2021 06:45,"100","163.4971","1188.1696","0","1351.6666","0","1351.6666"
03/12/2021 07:00,"100","143.3165","1749.3501","0","1892.6666","0","1892.6666"
03/12/2021 07:15,"100","145.6318","2128.7014","0","2274.3333","0","2274.3333"
03/12/2021 07:30,"100","1196.9369","1601.4833","336.7534","2461.6667","0","2461.6667"
03/12/2021 07:45,"100","2185.5415","908.2328","252.1077","2841.6667","0","2841.6667"
03/12/2021 08:00,"100","2187.0171","976.8615","134.5455","3029.3333","0","3029.3333"
03/12/2021 08:15,"100","2208.2378","1091.0956","0","3299.3333","0","3299.3333"
03/12/2021 08:30,"100","2253.6182","1153.3818","0","3407","0","3407"
03/12/2021 08:45,"100","2253.3398","1389.3269","0","3642.6667","0","3642.6667"
03/12/2021 09:00,"100","2284.4807","1546.5193","0","3831","0","3831"
03/12/2021 09:15,"100","2277.2993","1749.0339","0","4026.3333","0","4026.3333"
03/12/2021 09:30,"100","2288.6611","1865.3389","0","4154","0","4154"
03/12/2021 09:45,"100","2294.5522","1890.7812","0","4185.3335","0","4185.3335"
03/12/2021 10:00,"100","1212.9409","3121.0591","0","4334","0","4334"
03/12/2021 10:15,"100","1216.9546","3221.0454","0","4438","0","4438"
03/12/2021 10:30,"100","2296.7925","2178.541","0","4475.3335","0","4475.3335"
03/12/2021 10:45,"100","2313.0029","2219.9971","0","4533","0","4533"
03/12/2021 11:00,"100","2413.5308","2110.1357","0","4523.6665","0","4523.6665"
03/12/2021 11:15,"100","2274.8882","2246.4453","0","4521.3335","0","4521.3335"
03/12/2021 11:30,"100","2342.0488","2102.6177","0","4444.6665","0","4444.6665"
03/12/2021 11:45,"100","1246.032","3183.968","0","4430","0","4430"
03/12/2021 12:00,"100","3470.4917","963.8419","0","4434.3335","0","4434.3335"
03/12/2021 12:15,"100","3422.0286","858.9714","0","4281","0","4281"
03/12/2021 12:30,"99.8328","3405.3035","540.5974","1.9008","4239.9585","295.9583","3944"
03/12/2021 12:45,"100","3474.6011","639.7324","0","4114.3335","0","4114.3335"
03/12/2021 13:00,"100","3435.8857","521.1144","0","3957","0","3957"
03/12/2021 13:15,"100","3399.0022","578.3311","0","3977.3333","0","3977.3333"
03/12/2021 13:30,"100","3447.9238","441.4095","0","3889.3333","0","3889.3333"
03/12/2021 13:45,"99.3312","3202.1707","0","359.8375","2908.8125","66.4792","2842.3333"
03/12/2021 14:00,"98.9967","3496.4297","7.8235","18.9199","3370.3125","-115.0208","3485.3333"
03/12/2021 14:15,"98.6623","3424.3442","0","19.6774","3197.6042","-207.0625","3404.6667"
03/12/2021 14:30,"97.4918","3325.356","4.3151","1.0041","2827.1458","-501.5208","3328.6667"
03/12/2021 14:45,"94.8273","3294.7041","13.4508","42.8215","2567.2917","-698.0417","3265.3333"
03/12/2021 15:00,"91.8284","3398.522","0","36.522","2408.25","-953.75","3362"
03/12/2021 15:15,"88.1607","3346.2341","0","11.9009","2079","-1255.3334","3334.3333"
03/12/2021 15:30,"83.6605","3347.3391","1.1283","22.1343","1844.9584","-1481.375","3326.3333"
03/12/2021 15:45,"80.6652","2293.9836","0","42.3168","1207.7709","-1043.8959","2251.6667"
03/12/2021 16:00,"77.4918","1186.3721","1.5503","36.589","1085.6459","-65.6875","1151.3334"
03/12/2021 16:15,"73.9913","1212.1166","146.5865","27.3698","930.125","-401.2083","1331.3334"
03/12/2021 16:30,"70.4944","2298.2002","106.7429","889.6099","1085.0416","-430.2917","1515.3334"
03/12/2021 16:45,"66.1614","1908.0834","263.5876","24.6709","279.4583","-1833.5834","2147"
03/12/2021 17:00,"60.996","2225.8989","3.9918","66.5573","184.9792","-1933.3959","2163.3333"
03/12/2021 17:15,"55.4925","2158.6292","21.704","0","0","-2030.9584","2180.3333"
03/12/2021 17:30,"49.8292","282.8394","917.9655","7.8049","0","-1193","1193"
03/12/2021 17:45,"43.8277","1144.7701","0","26.4368","0","-1118.3334","1118.3334"
03/12/2021 18:00,"37.9935","2158.0059","1.8825","10.8885","0","-2145.4167","2149"
03/12/2021 18:15,"32.1628","1148.9542","13.0457","0","0","-1151.4166","1162"
03/12/2021 18:30,"26.3286","2123.8831","11.1093","6.9924","0","-2127.5833","2128"
03/12/2021 18:45,"19.9964","2094.6836","70.1896","11.8734","0","-2070.1667","2153"
03/12/2021 19:00,"14.1621","2088.1426","5.1813","12.3241","0","-2081","2081"
03/12/2021 19:15,"10.1636","1132.7657","6.0683","1094.5007","0","-44.3333","44.3333"
03/12/2021 19:30,"10","1187.0042","0","1187.0042","0","0","0"
03/12/2021 19:45,"9.8328","2405.4358","0","2405.4358","0","0","0"
03/12/2021 20:00,"9.4984","2124.2656","0","2124.2656","0","0","0"
03/12/2021 20:15,"9.4984","168.9643","0","168.9643","0","0","0"
03/12/2021 20:30,"9.4984","176.0231","0","176.0231","0","0","0"
03/12/2021 20:45,"9.4984","169.6988","0","169.6988","0","0","0"
03/12/2021 21:00,"9.4984","172.9859","0","172.9859","0","0","0"
03/12/2021 21:15,"9.4984","161.8264","0","161.8264","0","0","0"
03/12/2021 21:30,"9.4984","160.5399","0","160.5399","0","0","0"
03/12/2021 21:45,"9.4984","165.2426","0","165.2426","0","0","0"
03/12/2021 22:00,"9.4984","172.7649","0","172.7649","0","0","0"
03/12/2021 22:15,"9.4984","158.9049","0","158.9049","0","0","0"
03/12/2021 22:30,"9.4984","163.3503","0","163.3503","0","0","0"
03/12/2021 22:45,"9.4984","165.4824","0","165.4824","0","0","0"
03/12/2021 23:00,"9.4984","158.2536","0","158.2536","0","0","0"
03/12/2021 23:15,"9.4984","172.2679","0","172.2679","0","0","0"
03/12/2021 23:30,"9.4984","159.5069","0","159.5069","0","0","0"
