Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
04/16/2021 00:00,"9.9967","182.4601","0","182.4601","0","0","0"
04/16/2021 00:15,"9.9967","173.512","0","173.512","0","0","0"
04/16/2021 00:30,"9.9967","166.2493","0","166.2493","0","0","0"
04/16/2021 00:45,"9.9967","164.2364","0","164.2364","0","0","0"
04/16/2021 01:00,"9.9967","158.4082","0","158.4082","0","0","0"
04/16/2021 01:15,"9.9967","168.9769","0","168.9769","0","0","0"
04/16/2021 01:30,"9.9967","169.5961","0","169.5961","0","0","0"
04/16/2021 01:45,"9.9967","166.5536","0","166.5536","0","0","0"
04/16/2021 02:00,"9.9967","155.8402","0","155.8402","0","0","0"
04/16/2021 02:15,"9.9967","159.8566","0","159.8566","0","0","0"
04/16/2021 02:30,"9.9967","165.0243","0","165.0243","0","0","0"
04/16/2021 02:45,"9.9967","164.5112","0","164.5112","0","0","0"
04/16/2021 03:00,"9.9967","164.8491","0","164.8491","0","0","0"
04/16/2021 03:15,"9.6606","178.4049","0","178.4049","0","0","0"
04/16/2021 03:30,"9.4925","172.7787","0","172.7787","0","0","0"
04/16/2021 03:45,"9.4925","155.1058","0","155.1058","0","0","0"
04/16/2021 04:00,"9.4925","164.0356","0","164.0356","0","0","0"
04/16/2021 04:15,"9.4925","171.6151","0","171.6151","0","0","0"
04/16/2021 04:30,"9.4925","154.6232","0","154.6232","0","0","0"
04/16/2021 04:45,"9.4925","166.26","0","166.26","0","0","0"
04/16/2021 05:00,"9.4925","173.7705","0","173.7705","0","0","0"
04/16/2021 05:15,"9.4925","169.64","0","169.64","0","0","0"
04/16/2021 05:30,"9.4925","169.8759","0","167.8759","0","0","2"
04/16/2021 05:45,"9.4925","149.3028","0","64.9695","0","0","84.3333"
04/16/2021 06:00,"9.825","30.5009","73.1658","0","474.0625","370.3958","103.6667"
04/16/2021 06:15,"11.9917","77.6342","67.7739","80.4081","1011.1042","946.1041","65"
04/16/2021 06:30,"14.9951","163.0157","5.0482","47.3973","1402.7291","1282.0625","120.6667"
04/16/2021 06:45,"18.9959","161.5814","1.7755","17.0236","1814.1041","1667.7709","146.3333"
04/16/2021 07:00,"22.1638","2235.5789","8.8759","3.1216","2135.7292","-103.8333","2241.3333"
04/16/2021 07:15,"19.4929","3294.7261","0","25.0593","2451.0417","-818.625","3269.6667"
04/16/2021 07:30,"17.1618","3360.1587","0","46.8254","2772.9583","-540.375","3313.3333"
04/16/2021 07:45,"15.6637","3341.3423","18.9302","6.2726","3066.5625","-287.4375","3354"
04/16/2021 08:00,"14.827","3421.5137","0","12.8468","3264.2292","-144.4375","3408.6667"
04/16/2021 08:15,"13.9976","3453.2019","22.7981","0","3476","0","3476"
04/16/2021 08:30,"13.9976","3603.5554","112.2472","64.4696","3760.5208","109.1875","3651.3333"
04/16/2021 08:45,"14.4908","3584.6104","185.5329","163.8102","3552.8958","-53.4375","3606.3333"
04/16/2021 09:00,"14.4945","3356.9055","51.9462","195.1849","3973.5833","759.9167","3213.6667"
04/16/2021 09:15,"16.1606","3749.0784","1.4842","34.8957","4226.729","511.0625","3715.6667"
04/16/2021 09:30,"18.1592","3618.0564","15.6592","213.7157","4284.75","864.75","3420"
04/16/2021 09:45,"19.8253","3457.1423","112.4394","132.9151","3708.6458","271.9792","3436.6667"
04/16/2021 10:00,"16.6648","3582.8682","100.5456","6.0806","2562.9167","-1114.4166","3677.3333"
04/16/2021 10:15,"13.9976","3718.5134","91.1534","0","3316.375","-493.2917","3809.6667"
04/16/2021 10:30,"12.1597","3561.8542","5.1791","463.0335","2021.4375","-1082.5625","3104"
04/16/2021 10:45,"9.9967","3465.9392","0","2025.2726","1440.6666","0","1440.6666"
04/16/2021 11:00,"9.9967","3427.4111","0","2308.4111","1119","0","1119"
04/16/2021 11:15,"10.6617","3503.9116","0","1443.2449","2829.25","768.5833","2060.6667"
04/16/2021 11:30,"11.4984","3404.0325","0","1952.0325","1452","0","1452"
04/16/2021 11:45,"11.4984","3356.459","0","2200.1257","1156.3334","0","1156.3334"
04/16/2021 12:00,"11.4984","3385.2202","0","1712.5537","1672.6666","0","1672.6666"
04/16/2021 12:15,"11.3303","3459.386","0","1138.7192","2320.6667","0","2320.6667"
04/16/2021 12:30,"11.8272","3458.2751","230.0582","0","3859.3958","171.0625","3688.3333"
04/16/2021 12:45,"12.3278","3657.8923","231.5857","11.4781","3187.1875","-685.1458","3878"
04/16/2021 13:00,"10.1611","3389.7241","0","1364.0574","1304.5625","-721.1042","2025.6666"
04/16/2021 13:15,"9.9967","3378.8682","0","2264.5349","1114.3334","0","1114.3334"
04/16/2021 13:30,"10.1611","2248.1479","240.7692","1759.2504","729.6667","0","729.6667"
04/16/2021 13:45,"10.49","2248.6538","0","2102.3206","279.1458","182.8125","146.3333"
04/16/2021 14:00,"10.49","2228.605","31.0471","1874.6521","385","0","385"
04/16/2021 14:15,"10.49","2218.4473","3.3434","2066.4573","0","0","155.3333"
04/16/2021 14:30,"10.49","2212.6167","2.2271","2084.1772","0","0","130.6667"
04/16/2021 14:45,"10.49","1190.127","0","1092.127","0","0","98"
04/16/2021 15:00,"10.49","2220.5305","0","2066.8638","74.6667","0","153.6667"
04/16/2021 15:15,"10.49","2211.0569","43.3943","1990.4513","264","0","264"
04/16/2021 15:30,"10.49","1139.5149","85.393","994.5746","342.1042","111.7708","230.3333"
04/16/2021 15:45,"10.49","2219.804","0","2021.4706","91","0","198.3333"
04/16/2021 16:00,"10.49","2215.5471","0","2145.8804","0","0","69.6667"
04/16/2021 16:15,"10.49","2178.531","0","2172.531","0","0","6"
04/16/2021 16:30,"10.49","2222.6968","0","2222.6968","0","0","0"
04/16/2021 16:45,"10.49","2181.291","0","2181.291","0","0","0"
04/16/2021 17:00,"10.49","1172.0156","0","1172.0156","0","0","0"
04/16/2021 17:15,"10.49","2157.3955","0","2157.3955","0","0","0"
04/16/2021 17:30,"10.49","1174.8761","0","1174.8761","0","0","0"
04/16/2021 17:45,"10.49","2145.6614","0","2145.6614","0","0","0"
04/16/2021 18:00,"10.3256","2178.2351","0","2178.2351","0","0","0"
04/16/2021 18:15,"9.9967","2150.771","0","2150.771","0","0","0"
04/16/2021 18:30,"9.9967","2159.1714","0","2159.1714","0","0","0"
04/16/2021 18:45,"9.9967","1153.7747","0","1153.7747","0","0","0"
04/16/2021 19:00,"9.9967","2021.3722","0","2021.3722","0","0","0"
04/16/2021 19:15,"9.9967","2061.7627","0","2061.7627","0","0","0"
04/16/2021 19:30,"9.9967","2156.2017","0","2156.2017","0","0","0"
04/16/2021 19:45,"9.9967","161.6904","0","161.6904","0","0","0"
04/16/2021 20:00,"9.9967","160.2502","0","160.2502","0","0","0"
04/16/2021 20:15,"9.6606","167.1009","0","167.1009","0","0","0"
04/16/2021 20:30,"9.4925","163.0793","0","163.0793","0","0","0"
04/16/2021 20:45,"9.4925","174.0968","0","174.0968","0","0","0"
04/16/2021 21:00,"9.4925","163.9691","0","163.9691","0","0","0"
04/16/2021 21:15,"9.4925","170.3832","0","170.3832","0","0","0"
04/16/2021 21:30,"9.4925","162.0417","0","162.0417","0","0","0"
04/16/2021 21:45,"9.4925","149.7418","0","149.7418","0","0","0"
04/16/2021 22:00,"9.4925","159.939","0","159.939","0","0","0"
04/16/2021 22:15,"9.4925","165.7702","0","165.7702","0","0","0"
04/16/2021 22:30,"9.4925","164.8803","0","164.8803","0","0","0"
04/16/2021 22:45,"9.4925","166.6925","0","166.6925","0","0","0"
