Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
04/02/2021 00:00,"7.9908","178.8193","0","157.4859","0","0","21.3333"
04/02/2021 00:15,"7.9908","169.2888","0","169.2888","0","0","0"
04/02/2021 00:30,"7.9908","172.8726","0","161.8726","0","0","11"
04/02/2021 00:45,"7.9908","181.2812","0","170.6146","0","0","10.6667"
04/02/2021 01:00,"7.9908","176.0567","0","165.0567","0","0","11"
04/02/2021 01:15,"7.9908","175.1848","0","164.5181","0","0","10.6667"
04/02/2021 01:30,"7.9908","185.7172","0","174.7172","0","0","11"
04/02/2021 01:45,"7.9908","172.5412","0","159.8746","0","0","12.6667"
04/02/2021 02:00,"7.9908","163.0721","0","163.0721","0","0","0"
04/02/2021 02:15,"7.9908","189.767","0","179.767","0","0","10"
04/02/2021 02:30,"7.9908","169.7022","0","169.7022","0","0","0"
04/02/2021 02:45,"7.9908","186.2818","0","175.6151","0","0","10.6667"
04/02/2021 03:00,"7.9908","166.8918","0","166.8918","0","0","0"
04/02/2021 03:15,"7.9908","189.2811","0","178.6145","0","0","10.6667"
04/02/2021 03:30,"7.9908","204.2909","0","171.9576","0","0","32.3333"
04/02/2021 03:45,"7.9908","160.6193","0","160.6193","0","0","0"
04/02/2021 04:00,"7.9908","173.5412","0","163.5412","0","0","10"
04/02/2021 04:15,"7.9908","178.5","0","168.8334","0","0","9.6667"
04/02/2021 04:30,"7.9908","175.7636","0","175.7636","0","0","0"
04/02/2021 04:45,"7.9908","168.1164","0","168.1164","0","0","0"
04/02/2021 05:00,"7.9908","199.7932","0","174.7932","0","0","25"
04/02/2021 05:15,"7.9908","205.7861","0","172.1194","0","0","33.6667"
04/02/2021 05:30,"7.9908","150.324","0","131.6573","0","0","18.6667"
04/02/2021 05:45,"7.9908","154.396","0","91.396","0","0","63"
04/02/2021 06:00,"7.9908","157.5139","41.7311","39.9116","0","0","159.3333"
04/02/2021 06:15,"7.9908","160.5312","38.4688","0","77.3333","0","199"
04/02/2021 06:30,"7.9908","150.3315","518.3351","0","668.6667","0","668.6667"
04/02/2021 06:45,"7.9908","166.2573","907.0761","0","1073.3334","0","1073.3334"
04/02/2021 07:00,"7.9908","136.442","1815.8914","0","1952.3334","0","1952.3334"
04/02/2021 07:15,"7.9908","1175.8993","1779.4683","134.0343","2821.3333","0","2821.3333"
04/02/2021 07:30,"7.9908","2281.0923","398.7577","164.1832","2515.6667","0","2515.6667"
04/02/2021 07:45,"7.9908","2212.333","334.2183","1497.5513","1049","0","1049"
04/02/2021 08:00,"7.9908","2165.8464","358.9139","784.7603","1740","0","1740"
04/02/2021 08:15,"7.9908","1157.1073","460.4287","844.8693","772.6667","0","772.6667"
04/02/2021 08:30,"7.9908","2167.4626","204.9789","1578.4417","794","0","794"
04/02/2021 08:45,"7.9908","1178.832","278.8545","732.0198","725.6667","0","725.6667"
04/02/2021 09:00,"7.9908","2065.5522","389.0857","1326.6381","1128","0","1128"
04/02/2021 09:15,"7.9908","2219.9033","1703.3451","1328.2483","2595","0","2595"
04/02/2021 09:30,"7.9908","2184.4824","2516.8511","0","4701.3335","0","4701.3335"
04/02/2021 09:45,"7.9908","2224.4207","472.0214","1642.442","1054","0","1054"
