Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
05/14/2021 00:00,"8.495","190.415","0","190.415","0","0","0"
05/14/2021 00:15,"8.495","177.6326","0","177.6326","0","0","0"
05/14/2021 00:30,"8.495","190.2009","0","190.2009","0","0","0"
05/14/2021 00:45,"8.495","183.7612","0","183.7612","0","0","0"
05/14/2021 01:00,"8.495","184.0345","0","184.0345","0","0","0"
05/14/2021 01:15,"8.495","185.718","0","185.718","0","0","0"
05/14/2021 01:30,"8.495","190.52","0","190.52","0","0","0"
05/14/2021 01:45,"7.9908","185.9043","0","185.9043","0","0","0"
05/14/2021 02:00,"7.9908","184.0013","0","184.0013","0","0","0"
05/14/2021 02:15,"7.9908","170.3072","0","170.3072","0","0","0"
05/14/2021 02:30,"7.9908","162.6262","0","162.6262","0","0","0"
05/14/2021 02:45,"7.9908","184.5075","0","184.5075","0","0","0"
05/14/2021 03:00,"7.9908","148.384","0","148.384","0","0","0"
05/14/2021 03:15,"7.9908","182.1551","0","182.1551","0","0","0"
05/14/2021 03:30,"7.9908","160.7403","0","160.7403","0","0","0"
05/14/2021 03:45,"7.9908","171.5182","0","171.5182","0","0","0"
05/14/2021 04:00,"7.9908","152.1846","0","152.1846","0","0","0"
05/14/2021 04:15,"7.9908","170.8493","0","170.8493","0","0","0"
05/14/2021 04:30,"7.9908","172.7096","0","172.7096","0","0","0"
05/14/2021 04:45,"7.9908","151.1581","0","151.1581","0","0","0"
05/14/2021 05:00,"7.9908","180.2853","0","180.2853","0","0","0"
05/14/2021 05:15,"7.9908","162.958","0","162.958","0","0","0"
05/14/2021 05:30,"7.9908","169.0891","0","120.7558","0","0","48.3333"
05/14/2021 05:45,"7.9908","157.4614","200.2619","6.7233","207.6667","0","351"
05/14/2021 06:00,"7.9908","168.0586","792.9414","0","961","0","961"
05/14/2021 06:15,"7.9908","167.8475","1092.4858","0","1260.3334","0","1260.3334"
05/14/2021 06:30,"7.9908","190.879","1136.4543","0","1327.3334","0","1327.3334"
05/14/2021 06:45,"7.9908","243.1862","1535.8138","0","1779","0","1779"
05/14/2021 07:00,"7.9908","3385.0715","0","1208.7383","2176.3333","0","2176.3333"
05/14/2021 07:15,"7.9908","3274.0176","0","1751.6843","1522.3334","0","1522.3334"
05/14/2021 07:30,"7.9908","3259.8765","31.4998","939.7095","2351.6667","0","2351.6667"
05/14/2021 07:45,"7.9908","3544.5662","0","1127.5662","2417","0","2417"
05/14/2021 08:00,"9.3281","3395.1812","0","1267.1812","3127.7083","999.7083","2128"
05/14/2021 08:15,"10.49","3416.2239","94.2571","1511.1476","1999.3334","0","1999.3334"
05/14/2021 08:30,"11.3267","3344.0186","53.0482","287.0667","3533.125","423.125","3110"
05/14/2021 08:45,"11.6592","3083.9263","44.1779","154.4374","1396.6666","-1669.9791","2973.6667"
05/14/2021 09:00,"9.9967","3451.8723","0","2933.2056","518.6667","0","518.6667"
05/14/2021 09:15,"9.9967","3413.425","0","2947.425","466","0","466"
