Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
06/04/2021 00:00,"9.9923","174.216","0","174.216","0","0","0"
06/04/2021 00:15,"9.9923","172.9952","0","172.9952","0","0","0"
06/04/2021 00:30,"9.827","188.9861","0","188.9861","0","0","0"
06/04/2021 00:45,"9.4965","171.296","0","171.296","0","0","0"
06/04/2021 01:00,"9.4965","181.4062","0","181.4062","0","0","0"
06/04/2021 01:15,"9.4965","172.6669","0","172.6669","0","0","0"
06/04/2021 01:30,"9.4965","177.7651","0","177.7651","0","0","0"
06/04/2021 01:45,"9.4965","186.9567","0","186.9567","0","0","0"
06/04/2021 02:00,"9.4965","180.3857","0","180.3857","0","0","0"
06/04/2021 02:15,"9.4965","184.4292","0","184.4292","0","0","0"
06/04/2021 02:30,"9.4965","172.7054","0","172.7054","0","0","0"
06/04/2021 02:45,"9.4965","177.7109","0","177.7109","0","0","0"
06/04/2021 03:00,"9.4965","179.4638","0","179.4638","0","0","0"
06/04/2021 03:15,"9.4965","180.9179","0","180.9179","0","0","0"
06/04/2021 03:30,"9.4965","179.2172","0","179.2172","0","0","0"
06/04/2021 03:45,"9.4965","190.1168","0","190.1168","0","0","0"
06/04/2021 04:00,"9.4965","181.7795","0","181.7795","0","0","0"
06/04/2021 04:15,"9.4965","178.574","0","178.574","0","0","0"
06/04/2021 04:30,"9.4965","177.57","0","177.57","0","0","0"
06/04/2021 04:45,"9.4965","176.6149","0","176.6149","0","0","0"
06/04/2021 05:00,"9.4965","181.1687","0","181.1687","0","0","0"
06/04/2021 05:15,"9.4965","173.7986","0","170.4653","0","0","3.3333"
06/04/2021 05:30,"9.4965","180.7276","0","153.3943","0","0","27.3333"
06/04/2021 05:45,"9.4965","169.574","0","77.574","0","0","92"
06/04/2021 06:00,"9.4965","172.5886","2.4844","10.4064","0","0","164.6667"
06/04/2021 06:15,"9.4965","129.6016","44.1605","18.4288","187.375","88.0417","155.3333"
06/04/2021 06:30,"10.1612","150.2424","0","16.5757","610.9375","477.2708","133.6667"
06/04/2021 06:45,"11.1601","134.7222","0","38.0556","400.8958","304.2292","96.6667"
06/04/2021 07:00,"11.6595","150.5386","124.3343","20.2062","334.875","80.2083","254.6667"
06/04/2021 07:15,"11.9974","110.8032","13.8918","25.3617","200.4792","138.9792","99.3333"
06/04/2021 07:30,"12.3279","166.5169","0","63.5169","411.5625","308.5625","103"
06/04/2021 07:45,"13.1651","96.3799","8.8058","2.8524","444","341.6667","102.3333"
06/04/2021 08:00,"13.8262","188.9894","8.755","10.0777","520.1667","332.5","187.6667"
06/04/2021 08:15,"14.9939","174.0012","2.4134","60.0812","774.7917","658.4583","116.3333"
06/04/2021 08:30,"16.4959","183.1106","2.3543","15.7982","650.4167","480.75","169.6667"
06/04/2021 08:45,"15.497","2251.2578","5.9299","16.521","640.8125","-1599.8541","2240.6667"
06/04/2021 09:00,"9.9923","3279.6321","0","2706.9653","572.6667","0","572.6667"
06/04/2021 09:15,"9.9923","3287.3418","0","2613.0085","674.3333","0","674.3333"
06/04/2021 09:30,"9.9923","3244.9016","0","2935.5684","309.3333","0","309.3333"
06/04/2021 09:45,"9.827","3242.093","0","2713.7598","528.3333","0","528.3333"
06/04/2021 10:00,"9.9923","2210.8726","93.3483","1975.5541","328.6667","0","328.6667"
06/04/2021 10:15,"9.9923","2224.6543","10.8516","2034.1725","77.3333","0","201.3333"
06/04/2021 10:30,"10.4954","84.4674","36.1133","8.9141","481.5625","369.8958","111.6667"
06/04/2021 10:45,"11.6595","12.6583","0.8212","13.4794","459.1667","459.1667","0"
06/04/2021 11:00,"13.1615","23.9065","0","23.9065","855.0833","860.4167","0"
06/04/2021 11:15,"15.9965","57.0263","0","16.3597","1155.375","1114.7084","40.6667"
06/04/2021 11:30,"19.162","67.4618","0","41.4618","1071.6459","1045.6459","26"
06/04/2021 11:45,"22.3312","32.6471","0.234","9.8811","1310.25","1287.25","23"
06/04/2021 12:00,"25.3278","0","27.3393","0","832.7083","826.375","6.3333"
06/04/2021 12:15,"27.3291","19.1033","0","15.4366","668.1875","664.5208","3.6667"
06/04/2021 12:30,"29.1616","11.9761","1.2663","13.2424","897.5","904.5","0"
06/04/2021 12:45,"31.4935","32.7644","0","10.7644","683.8958","661.8958","22"
06/04/2021 13:00,"32.9955","66.8821","3.8553","7.0707","724.1458","660.4792","63.6667"
06/04/2021 13:15,"35.9921","33.7016","5.07","22.105","1524.8334","1508.1666","16.6667"
06/04/2021 13:30,"39.4954","24.8923","6.5505","19.1095","1115.4584","1103.125","12.3333"
06/04/2021 13:45,"43.4945","45.3938","76.2422","24.636","1749.6041","1652.6041","97"
06/04/2021 14:00,"47.1595","25.0672","0","18.4005","1177.2084","1170.5416","6.6667"
06/04/2021 14:15,"49.9945","15.0259","8.6802","23.7061","1013.0417","1022.375","0"
06/04/2021 14:30,"52.9948","37.1898","6.2534","22.4432","1177.4584","1156.4584","21"
06/04/2021 14:45,"55.4956","14.6747","5.351","20.0256","559.6042","561.2708","0"
06/04/2021 15:00,"56.8286","1.0375","7.2196","8.2572","668.25","669.9167","0"
06/04/2021 15:15,"58.4958","111.4804","0","21.8137","610.2917","520.625","89.6667"
06/04/2021 15:30,"59.3258","38.8743","1.9145","11.1221","410.4792","380.8125","29.6667"
06/04/2021 15:45,"60.163","12.9655","3.1826","9.1481","304.2083","297.2083","7"
06/04/2021 16:00,"60.6588","11.3092","1.1884","12.4976","257.2708","265.9375","0"
06/04/2021 16:15,"60.9893","24.0496","0","24.0496","168.5","230.8125","0"
06/04/2021 16:30,"60.6588","46.9976","0","46.9976","0","120.1458","0"
06/04/2021 16:45,"56.4944","3590.2729","18.4322","171.3717","363.5833","-3050.9165","3437.3333"
06/04/2021 17:00,"46.4948","3266.6016","1.1466","9.0816","0","-3258.6667","3258.6667"
06/04/2021 17:15,"36.9946","3275.2039","9.5583","10.4291","0","-3274.3333","3274.3333"
06/04/2021 17:30,"25.9961","3248.572","3.8268","8.0656","0","-3244.3333","3244.3333"
06/04/2021 17:45,"15.3244","3232.6921","8.4995","6.8584","0","-3234.3333","3234.3333"
06/04/2021 18:00,"9.9923","2254.4651","0","2254.4651","0","0","0"
06/04/2021 18:15,"9.4965","2262.28","0","2262.28","0","0","0"
06/04/2021 18:30,"9.4965","2247.6191","0","2247.6191","0","0","0"
06/04/2021 18:45,"8.9898","2228.252","0","2228.252","0","0","0"
06/04/2021 19:00,"8.494","2274.7373","0","2274.7373","0","0","0"
06/04/2021 19:15,"8.494","2227.1843","0","2227.1843","0","0","0"
06/04/2021 19:30,"8.494","2206.0928","0","2206.0928","0","0","0"
06/04/2021 19:45,"8.494","1177.7388","0","1177.7388","0","0","0"
06/04/2021 20:00,"8.494","1207.2719","0","1207.2719","0","0","0"
06/04/2021 20:15,"8.494","180.0624","0","180.0624","0","0","0"
06/04/2021 20:30,"8.494","173.3963","0","173.3963","0","0","0"
06/04/2021 20:45,"8.494","184.4315","0","184.4315","0","0","0"
06/04/2021 21:00,"8.494","183.8165","0","183.8165","0","0","0"
06/04/2021 21:15,"8.494","175.6601","0","175.6601","0","0","0"
06/04/2021 21:30,"8.494","176.8527","0","176.8527","0","0","0"
06/04/2021 21:45,"8.494","176.963","0","176.963","0","0","0"
06/04/2021 22:00,"8.494","168.5184","0","168.5184","0","0","0"
06/04/2021 22:15,"8.494","168.6402","0","168.6402","0","0","0"
06/04/2021 22:30,"8.494","176.5729","0","176.5729","0","0","0"
06/04/2021 22:45,"8.494","176.4785","0","176.4785","0","0","0"
06/04/2021 23:00,"8.494","182.4949","0","182.4949","0","0","0"
06/04/2021 23:15,"8.494","175.6846","0","175.6846","0","0","0"
06/04/2021 23:30,"8.494","175.1028","0","175.1028","0","0","0"
06/04/2021 23:45,"8.494","171.5605","0","171.5605","0","0","0"
06/05/2021 00:00,"8.494","183.1908","0","183.1908","0","0","0"
