Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
06/11/2021 00:00,"8.4939","178.1961","0","178.1961","0","0","0"
06/11/2021 00:15,"8.4939","172.0236","0","172.0236","0","0","0"
06/11/2021 00:30,"8.3278","174.2898","0","171.9565","0","0","2.3333"
06/11/2021 00:45,"7.9956","184.4868","0","173.4868","0","0","11"
06/11/2021 01:00,"7.9956","198.9557","0","177.289","0","0","21.6667"
06/11/2021 01:15,"7.9956","169.1075","0","169.1075","0","0","0"
06/11/2021 01:30,"7.9956","185.7759","0","175.4426","0","0","10.3333"
06/11/2021 01:45,"7.9956","182.3659","0","182.3659","0","0","0"
06/11/2021 02:00,"7.9956","172.463","0","172.463","0","0","0"
06/11/2021 02:15,"7.9956","168.8261","0","168.8261","0","0","0"
06/11/2021 02:30,"7.9956","175.7896","0","175.7896","0","0","0"
06/11/2021 02:45,"7.9956","188.0499","0","177.7166","0","0","10.3333"
06/11/2021 03:00,"7.9956","190.9593","0","180.2926","0","0","10.6667"
06/11/2021 03:15,"7.9956","178.2419","0","178.2419","0","0","0"
06/11/2021 03:30,"7.9956","186.622","0","186.622","0","0","0"
06/11/2021 03:45,"7.9956","183.8387","0","183.8387","0","0","0"
06/11/2021 04:00,"7.9956","191.0883","0","180.7549","0","0","10.3333"
06/11/2021 04:15,"7.9956","190.1184","0","179.1184","0","0","11"
06/11/2021 04:30,"7.9956","193.375","0","193.375","0","0","0"
06/11/2021 04:45,"7.9956","198.7543","0","174.421","0","0","24.3333"
06/11/2021 05:00,"7.9956","175.0035","0","175.0035","0","0","0"
06/11/2021 05:15,"7.9956","177.6404","0","167.6404","0","0","10"
06/11/2021 05:30,"7.9956","177.1111","0","156.4445","0","0","20.6667"
06/11/2021 05:45,"7.9956","164.1583","51.282","69.7737","102","0","145.6667"
06/11/2021 06:00,"7.9956","162.7225","308.2775","0","471","0","471"
06/11/2021 06:15,"7.9956","160.9759","808.3574","0","969.3333","0","969.3333"
06/11/2021 06:30,"7.9956","160.717","1094.9496","0","1255.6666","0","1255.6666"
06/11/2021 06:45,"8.1617","160.3744","1239.959","0","1733.6666","1000","1400.3334"
06/11/2021 07:00,"10.8269","1238.4924","265.2496","398.0753","2117.8125","1012.1458","1105.6666"
06/11/2021 07:15,"11.9934","3333.9805","0","982.6473","2351.3333","0","2351.3333"
06/11/2021 07:30,"11.9934","3385.0425","0","777.0425","2608","0","2608"
06/11/2021 07:45,"11.9934","3440.6135","0","553.2802","2887.3333","0","2887.3333"
06/11/2021 08:00,"11.9934","3521.7236","0","365.7236","3156","0","3156"
06/11/2021 08:15,"11.6611","3470.875","0","214.5418","3256.3333","0","3256.3333"
06/11/2021 08:30,"11.495","3547.6914","0","134.6914","3413","0","3413"
06/11/2021 08:45,"11.8272","3563.5449","276.455","0","3840","0","3840"
06/11/2021 09:00,"10.6645","3626.8464","13.0545","1654.901","2153.6667","168.6667","1985"
06/11/2021 09:15,"10.3322","3548.3999","0","1412.4","2136","0","2136"
06/11/2021 09:30,"10.4983","3485.5195","0","2192.1863","1293.3334","0","1293.3334"
06/11/2021 09:45,"10.4983","3488.9575","0","2377.6243","1111.3334","0","1111.3334"
06/11/2021 10:00,"10.4983","3507.8594","0","1852.1926","1655.6666","0","1655.6666"
06/11/2021 10:15,"10.4983","3578.9456","0","1616.9456","1962","0","1962"
06/11/2021 10:30,"10.4983","3482.6348","0","2240.3013","1242.3334","0","1242.3334"
06/11/2021 10:45,"10.4983","3510.2991","0","1655.6324","1854.6666","0","1854.6666"
06/11/2021 11:00,"10.4983","3557.0037","0","1080.3369","2619.0833","142.4167","2476.6667"
06/11/2021 11:15,"10.8306","3520.6382","0","1622.9717","1897.6666","0","1897.6666"
06/11/2021 11:30,"10.9967","3550.4133","0","2250.4133","1300","0","1300"
06/11/2021 11:45,"10.9967","3480.8853","0","2871.2185","609.6667","0","609.6667"
06/11/2021 12:00,"10.9967","3451.1575","0","3061.1575","390","0","390"
06/11/2021 12:15,"10.9967","3380.8943","0","3123.2275","257.6667","0","257.6667"
06/11/2021 12:30,"10.9967","2284.906","7.472","2056.0447","170.3333","0","236.3333"
06/11/2021 12:45,"10.9967","2274.8083","24.4219","2107.897","144.6667","0","191.3333"
06/11/2021 13:00,"10.9967","2269.5745","0","2118.5745","0","0","151"
