Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
07/23/2021 00:00,"10.4983","177.412","0","177.412","0","0","0"
07/23/2021 00:15,"10.4983","175.8911","0","175.8911","0","0","0"
07/23/2021 00:30,"10.4983","177.0264","0","177.0264","0","0","0"
07/23/2021 00:45,"10.4983","163.5305","0","163.5305","0","0","0"
07/23/2021 01:00,"10.4983","172.1881","0","172.1881","0","0","0"
07/23/2021 01:15,"10.4983","171.1243","0","171.1243","0","0","0"
07/23/2021 01:30,"10.4983","176.4442","0","176.4442","0","0","0"
07/23/2021 01:45,"10.4983","174.7237","0","174.7237","0","0","0"
07/23/2021 02:00,"10.4983","164.6765","0","164.6765","0","0","0"
07/23/2021 02:15,"10.4983","176.1442","0","176.1442","0","0","0"
07/23/2021 02:30,"10.4983","167.0808","0","167.0808","0","0","0"
07/23/2021 02:45,"10.4983","182.3052","0","182.3052","0","0","0"
07/23/2021 03:00,"10.3322","176.3603","0","176.3603","0","0","0"
07/23/2021 03:15,"10","182.9309","0","182.9309","0","0","0"
07/23/2021 03:30,"10","173.3257","0","173.3257","0","0","0"
07/23/2021 03:45,"10","173.8793","0","173.8793","0","0","0"
07/23/2021 04:00,"10","177.1737","0","177.1737","0","0","0"
07/23/2021 04:15,"10","169.7824","0","169.7824","0","0","0"
07/23/2021 04:30,"10","168.4394","0","168.4394","0","0","0"
07/23/2021 04:45,"10","168.5199","0","168.5199","0","0","0"
07/23/2021 05:00,"10","175.5826","0","175.5826","0","0","0"
07/23/2021 05:15,"10","173.0066","0","173.0066","0","0","0"
07/23/2021 05:30,"10","169.8316","0","169.8316","0","0","0"
07/23/2021 05:45,"10","172.4034","0","172.4034","0","0","0"
07/23/2021 06:00,"10","172.5225","0","172.5225","0","0","0"
07/23/2021 06:15,"10","169.6869","0","169.6869","0","0","0"
07/23/2021 06:30,"10","175.3723","0","175.3723","0","0","0"
07/23/2021 06:45,"10","171.8572","0","171.8572","0","0","0"
07/23/2021 07:00,"10","158.3181","0","154.9847","0","0","3.3333"
07/23/2021 07:15,"10","165.8281","0","110.1615","0","0","55.6667"
07/23/2021 07:30,"10","172.6846","0","128.6846","0","0","44"
07/23/2021 07:45,"10","174.799","0","117.799","0","0","57"
07/23/2021 08:00,"10","153.595","0","115.2616","0","0","38.3333"
07/23/2021 08:15,"10","173.643","0","173.643","0","0","0"
07/23/2021 08:30,"9.6604","167.1697","0","167.1697","0","0","0"
07/23/2021 08:45,"9.4906","199.547","0","164.8803","0","0","34.6667"
07/23/2021 09:00,"9.4906","167.5418","0","122.8752","0","0","44.6667"
07/23/2021 09:15,"9.8302","162.3908","0","105.0575","0","0","57.3333"
07/23/2021 09:30,"9.8302","159.0937","0","103.7603","0","28.6458","55.3333"
07/23/2021 09:45,"10","168.9582","0","119.9582","0","99.375","49"
07/23/2021 10:00,"10.4983","155.5623","11.646","2.5417","0","0","164.6667"
07/23/2021 10:15,"10.4983","173.9555","0","18.9555","0","0","155"
