Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
07/16/2021 00:00,"10.4983","167.8981","0","167.8981","0","0","0"
07/16/2021 00:15,"10.4983","162.5319","0","162.5319","0","0","0"
07/16/2021 00:30,"10.4983","162.5105","0","162.5105","0","0","0"
07/16/2021 00:45,"10.4983","173.1891","0","173.1891","0","0","0"
07/16/2021 01:00,"10.4983","178.929","0","178.929","0","0","0"
07/16/2021 01:15,"10.4983","173.354","0","173.354","0","0","0"
07/16/2021 01:30,"10.4983","176.056","0","176.056","0","0","0"
07/16/2021 01:45,"10.4983","177.77","0","177.77","0","0","0"
07/16/2021 02:00,"10.4983","175.3257","0","175.3257","0","0","0"
07/16/2021 02:15,"10.4983","178.2537","0","178.2537","0","0","0"
07/16/2021 02:30,"10.4983","178.1133","0","178.1133","0","0","0"
07/16/2021 02:45,"10.4983","167.6061","0","167.6061","0","0","0"
07/16/2021 03:00,"10.4983","181.2787","0","181.2787","0","0","0"
07/16/2021 03:15,"10.4983","180.3713","0","180.3713","0","0","0"
07/16/2021 03:30,"10.4983","170.7539","0","170.7539","0","0","0"
07/16/2021 03:45,"10.4983","179.1409","0","179.1409","0","0","0"
07/16/2021 04:00,"10.4983","163.1591","0","163.1591","0","0","0"
07/16/2021 04:15,"10.4983","163.5504","0","163.5504","0","0","0"
07/16/2021 04:30,"10.4983","185.744","0","185.744","0","0","0"
07/16/2021 04:45,"10.4983","179.7868","0","179.7868","0","0","0"
07/16/2021 05:00,"10.4983","163.5488","0","163.5488","0","0","0"
07/16/2021 05:15,"10.4983","165.9851","0","165.9851","0","0","0"
07/16/2021 05:30,"10.4983","174.7986","0","142.7986","0","0","32"
07/16/2021 05:45,"10.4983","166.8135","0","45.4801","0","0","121.3333"
07/16/2021 06:00,"10.6645","171.6313","39.4158","21.3805","554.75","365.0833","189.6667"
07/16/2021 06:15,"12.3256","157.3701","12.0083","5.7117","947.6875","784.0209","163.6667"
07/16/2021 06:30,"14.9945","172.1882","0.788","4.3095","1272.7084","1104.0416","168.6667"
07/16/2021 06:45,"18.6637","166.8898","0","19.2232","1600.1666","1452.3541","147.6667"
07/16/2021 07:00,"22.9937","159.1994","8.6401","7.8395","1926.8125","1766.8125","160"
07/16/2021 07:15,"28.4939","163.8872","0","11.5539","2156.1667","2003.8333","152.3333"
07/16/2021 07:30,"34.4924","169.8794","9.5098","5.0558","2429.1042","2254.7708","174.3333"
07/16/2021 07:45,"40.4946","1210.473","9.1672","4.3068","2640.8542","1425.5209","1215.3334"
07/16/2021 08:00,"40.4983","3353.751","8.9796","3.064","2847.5625","-512.1042","3359.6667"
07/16/2021 08:15,"39.1584","3379.6143","14.6372","0.9182","3087.0833","-306.25","3393.3333"
07/16/2021 08:30,"38.8261","3388.6604","1.5116","9.5053","3328.25","-52.4167","3380.6667"
07/16/2021 08:45,"38.9922","3390.9482","28.7185","0","3452.6875","39.0208","3419.6667"
07/16/2021 09:00,"39.6604","3427.7761","1.2543","22.0305","3819.6667","412.6667","3407"
07/16/2021 09:15,"40.4983","3394.7542","0","78.0875","3233.3958","-83.2708","3316.6667"
07/16/2021 09:30,"41.9934","3307.4822","202.367","35.1823","3721.75","247.0833","3474.6667"
07/16/2021 09:45,"43.1635","3722.1533","14.562","906.0486","4746.854","1916.1875","2830.6667"
07/16/2021 10:00,"44.9945","3299.2998","168.3107","24.9439","3459.7917","17.125","3442.6667"
07/16/2021 10:15,"43.828","3432.7622","264.5711","0","3576.9167","-120.4167","3697.3333"
07/16/2021 10:30,"50.4946","172.0954","0","71.0954","3875.8333","3774.8333","101"
07/16/2021 10:45,"60.1661","174.1947","0","113.8613","3903.125","3842.7917","60.3333"
07/16/2021 11:00,"70.9967","115.6201","19.1378","35.0913","4422.6875","4323.0205","99.6667"
07/16/2021 11:15,"75.9911","2362.1746","1643.1587","0","4005.3333","0","4005.3333"
07/16/2021 11:30,"74.9945","3327.2256","710.1076","0","3728.7083","-308.625","4037.3333"
07/16/2021 11:45,"73.9978","3412.9951","93.3963","1161.3914","1701.5834","-643.4167","2345"
07/16/2021 12:00,"71.1591","3406.1545","5.2251","16.3797","2037.6041","-1357.3959","3395"
07/16/2021 12:15,"65.4965","3398.3813","47.8649","23.2463","2015.1666","-1407.8334","3423"
07/16/2021 12:30,"61.3289","3349.9358","37.9903","221.2593","2315.9583","-850.7083","3166.6667"
07/16/2021 12:45,"58.8261","3447.7876","43.6806","99.8015","2420.0625","-971.6041","3391.6667"
