Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
08/20/2021 00:00,"7.9956","155.8425","0","155.8425","0","0","0"
08/20/2021 00:15,"7.9956","177.9933","0","177.9933","0","0","0"
08/20/2021 00:30,"7.9956","155.3615","0","155.3615","0","0","0"
08/20/2021 00:45,"7.9956","154.3495","0","154.3495","0","0","0"
08/20/2021 01:00,"7.9956","162.2619","0","162.2619","0","0","0"
08/20/2021 01:15,"7.9956","146.4825","0","146.4825","0","0","0"
08/20/2021 01:30,"7.9956","157.968","0","157.968","0","0","0"
08/20/2021 01:45,"7.9956","162.4914","0","162.4914","0","0","0"
08/20/2021 02:00,"7.4972","164.8623","0","164.8623","0","0","0"
08/20/2021 02:15,"7.4972","159.5581","0","159.5581","0","0","0"
08/20/2021 02:30,"7.4972","171.9373","0","171.9373","0","0","0"
08/20/2021 02:45,"7.4972","188.0658","0","165.7325","0","0","22.3333"
08/20/2021 03:00,"7.4972","178.7298","0","165.7298","0","0","13"
08/20/2021 03:15,"7.4972","185.6852","0","185.6852","0","0","0"
08/20/2021 03:30,"7.4972","184.7578","0","174.0912","0","0","10.6667"
08/20/2021 03:45,"7.4972","166.2921","0","166.2921","0","0","0"
08/20/2021 04:00,"7.4972","186.5178","0","175.1845","0","0","11.3333"
08/20/2021 04:15,"7.4972","200.6728","0","178.6728","0","0","22"
08/20/2021 04:30,"7.4972","188.1915","0","167.1915","0","0","21"
08/20/2021 04:45,"7.4972","178.2297","0","178.2297","0","0","0"
08/20/2021 05:00,"7.4972","199.3656","0","178.0323","0","0","21.3333"
08/20/2021 05:15,"7.4972","172.4443","0","161.111","0","0","11.3333"
08/20/2021 05:30,"7.4972","174.993","0","161.3263","0","0","13.6667"
08/20/2021 05:45,"7.4972","157.6153","0","105.282","0","0","52.3333"
08/20/2021 06:00,"7.4972","167.7367","0","53.07","0","0","114.6667"
08/20/2021 06:15,"7.4972","169.4135","29.4621","6.8756","74.6667","0","192"
08/20/2021 06:30,"7.4972","160.8044","123.5289","0","284.3333","0","284.3333"
08/20/2021 06:45,"7.4972","165.12","282.2134","0","447.3333","0","447.3333"
08/20/2021 07:00,"7.4972","151.7536","475.2464","0","627","0","627"
08/20/2021 07:15,"7.4972","154.9281","572.4052","0","727.3333","0","727.3333"
08/20/2021 07:30,"7.4972","156.085","676.915","0","833","0","833"
08/20/2021 07:45,"7.4972","162.3315","771.6685","0","934","0","934"
08/20/2021 08:00,"7.4972","161.1569","886.8431","0","1048","0","1048"
08/20/2021 08:15,"7.4972","147.1511","1071.8489","0","1219","0","1219"
08/20/2021 08:30,"7.4972","141.8152","1322.8514","0","1464.6666","0","1464.6666"
08/20/2021 08:45,"7.4972","155.2621","1839.7379","0","1995","0","1995"
08/20/2021 09:00,"7.4972","150.8864","2038.1136","0","2189","0","2189"
08/20/2021 09:15,"7.4972","145.7524","2564.2476","0","2710","0","2710"
08/20/2021 09:30,"7.4972","4293.7217","1337.9354","1868.6572","3763","0","3763"
08/20/2021 09:45,"7.4972","3433.991","551.009","0","3985","0","3985"
08/20/2021 10:00,"7.4972","3513.0647","629.9354","0","4143","0","4143"
08/20/2021 10:15,"7.4972","3346.001","363.9982","843.9989","2866","0","2866"
08/20/2021 10:30,"7.4972","3623.7603","617.4007","751.4942","3489.6667","0","3489.6667"
08/20/2021 10:45,"7.4972","3519.1211","528.7808","1526.5686","2521.3333","0","2521.3333"
08/20/2021 11:00,"7.4972","3530.2681","60.3122","1531.9135","2058.6667","0","2058.6667"
08/20/2021 11:15,"8.3315","3593.0779","75.6798","1227.4243","3217.9792","1164.9688","2441.3333"
08/20/2021 11:30,"11.6611","3559.2622","5.9403","396.8691","3738.8542","570.5208","3168.3333"
08/20/2021 11:45,"11.9934","3494.4202","0","37.087","2362.6667","-1094.6666","3457.3333"
08/20/2021 12:00,"10.3285","3427.2378","0","2773.9045","1001.0208","350.3542","653.3333"
08/20/2021 12:15,"11.8272","3394.6165","0","2728.6165","666","0","666"
08/20/2021 12:30,"9.8265","3415.1802","0","2278.8469","951.3333","-185","1136.3334"
08/20/2021 12:45,"10.9967","3418.6724","0","2506.3391","912.3333","0","912.3333"
08/20/2021 13:00,"11.8272","2300.9844","5.4444","877.4288","924.3542","-504.6458","1429"
08/20/2021 13:15,"10.3285","1231.9797","0","519.313","1594.4584","881.7917","712.6667"
08/20/2021 13:30,"11.6611","3411.345","7.9735","633.3184","1481.5209","-1304.4791","2786"
08/20/2021 13:45,"10.6645","2308.0237","1.2333","589.257","1403.1875","-316.8125","1720"
08/20/2021 14:00,"12.1595","2340.7627","18.4513","52.2139","1334.6875","-972.3124","2307"
08/20/2021 14:15,"10.3285","1242.6608","0","1128.9941","1166.2916","1052.625","113.6667"
08/20/2021 14:30,"11.495","2313.4033","0","1671.7366","810.0417","168.375","641.6667"
08/20/2021 14:45,"9.4943","2302.6624","13.6039","1137.5996","168.0833","-851.2083","1178.6666"
08/20/2021 15:00,"9.8302","2315.5195","0","2002.5197","819.9792","506.9792","313"
08/20/2021 15:15,"11.3289","1155.5153","851.0207","68.2025","482.6042","-1440.5833","1938.3334"
08/20/2021 15:30,"9.9963","2271.6814","0","2243.6814","402.2708","374.2708","28"
08/20/2021 15:45,"11.3289","2237.1113","56.9506","1943.7286","350.3333","0","350.3333"
08/20/2021 16:00,"11.9934","2199.0852","0","2060.752","0","0","138.3333"
08/20/2021 16:15,"11.8272","2199.7488","0","2102.4155","0","0","97.3333"
08/20/2021 16:30,"7.4972","2179.1802","0","2130.5134","0","0","48.6667"
08/20/2021 16:45,"10","161.3168","0","114.3168","0","0","47"
08/20/2021 17:00,"10","166.8594","0","166.526","0","0","0.3333"
08/20/2021 17:15,"10","154.621","0","146.621","0","0","8"
08/20/2021 17:30,"10","168.5741","0","168.5741","0","0","0"
08/20/2021 17:45,"9.4906","177.8011","0","167.8011","0","0","10"
08/20/2021 18:00,"9.4906","193.5207","0","172.1873","0","0","21.3333"
08/20/2021 18:15,"9.4906","170.8657","0","170.8657","0","0","0"
08/20/2021 18:30,"9.4906","177.0168","0","166.0168","0","0","11"
08/20/2021 18:45,"9.4906","179.2637","0","168.597","0","0","10.6667"
08/20/2021 19:00,"9.4906","170.6218","0","170.6218","0","0","0"
08/20/2021 19:15,"9.4906","171.8299","0","161.4965","0","0","10.3333"
08/20/2021 19:30,"9.4906","166.652","0","166.652","0","0","0"
08/20/2021 19:45,"9.4906","168.019","0","168.019","0","0","0"
08/20/2021 20:00,"8.9922","189.7633","0","167.7633","0","0","22"
08/20/2021 20:15,"8.9922","190.1891","0","169.1891","0","0","21"
08/20/2021 20:30,"8.9922","161.324","0","161.324","0","0","0"
08/20/2021 20:45,"8.9922","158.5334","0","158.5334","0","0","0"
08/20/2021 21:00,"8.9922","182.22","0","171.22","0","0","11"
08/20/2021 21:15,"8.9922","183.7248","0","172.7248","0","0","11"
08/20/2021 21:30,"8.9922","182.3609","0","171.3609","0","0","11"
08/20/2021 21:45,"5.9948","186.6432","0","175.9766","0","0","10.6667"
08/20/2021 22:00,"8.9922","173.5291","0","162.8624","0","0","10.6667"
08/20/2021 22:15,"8.9922","196.8123","0","172.8123","0","0","24"
08/20/2021 22:30,"8.4939","187.1056","0","176.4389","0","0","10.6667"
08/20/2021 22:45,"8.4939","192.6617","0","171.995","0","0","20.6667"
08/20/2021 23:00,"8.4939","171.0412","0","160.7079","0","0","10.3333"
08/20/2021 23:15,"8.4939","177.5697","0","167.903","0","0","9.6667"
08/20/2021 23:30,"8.4939","182.9533","0","172.2866","0","0","10.6667"
08/20/2021 23:45,"8.4939","190.6992","0","178.3659","0","0","12.3333"
08/21/2021 00:00,"8.4939","170.6585","0","170.6585","0","0","0"
08/21/2021 00:15,"8.4939","178.8557","0","166.189","0","0","12.6667"
08/21/2021 00:30,"8.4939","192.2096","0","180.8763","0","0","11.3333"
08/21/2021 00:45,"8.4939","157.6093","0","157.6093","0","0","0"
08/21/2021 01:00,"8.1617","176.7652","0","164.0986","0","0","12.6667"
08/21/2021 01:15,"7.9956","173.6541","0","173.6541","0","0","0"
08/21/2021 01:30,"7.9956","197.121","0","175.7876","0","0","21.3333"
08/21/2021 01:45,"7.9956","179.8559","0","159.5225","0","0","20.3333"
08/21/2021 02:00,"7.9956","162.6911","0","162.6911","0","0","0"
08/21/2021 02:15,"7.9956","190.7146","0","169.0479","0","0","21.6667"
08/21/2021 02:30,"7.9956","170.6279","0","170.6279","0","0","0"
08/21/2021 02:45,"7.9956","180.644","0","170.644","0","0","10"
08/21/2021 03:00,"7.9956","179.1272","0","169.4606","0","0","9.6667"
08/21/2021 03:15,"7.9956","189.8464","0","168.5131","0","0","21.3333"
08/21/2021 03:30,"7.9956","175.6281","0","175.6281","0","0","0"
08/21/2021 03:45,"7.9956","189.2564","0","165.2564","0","0","24"
08/21/2021 04:00,"7.9956","175.8833","0","165.55","0","0","10.3333"
08/21/2021 04:15,"7.9956","185.2691","0","173.9358","0","0","11.3333"
08/21/2021 04:30,"7.9956","191.9213","0","169.9213","0","0","22"
08/21/2021 04:45,"7.9956","177.7727","0","155.4394","0","0","22.3333"
08/21/2021 05:00,"7.9956","177.805","0","167.4717","0","0","10.3333"
08/21/2021 05:15,"7.9956","185.0652","0","173.7319","0","0","11.3333"
08/21/2021 05:30,"7.9956","173.8911","0","173.8911","0","0","0"
08/21/2021 05:45,"7.9956","171.44","0","122.44","0","0","49"
08/21/2021 06:00,"7.9956","160.7966","51.1278","14.9244","87.6667","0","197"
08/21/2021 06:15,"7.9956","154.6938","183.6396","0","338.3333","0","338.3333"
08/21/2021 06:30,"7.9956","168.5969","524.0698","0","692.6667","0","692.6667"
08/21/2021 06:45,"7.9956","168.7469","1067.5864","0","1236.3334","0","1236.3334"
08/21/2021 07:00,"7.9956","171.0196","914.3138","0","1085.3334","0","1085.3334"
08/21/2021 07:15,"8.3278","160.3737","271.238","74.2784","1033.9791","1014.9688","357.3333"
08/21/2021 07:30,"11.1628","161.1641","0","112.1641","1227.9375","1178.9375","49"
08/21/2021 07:45,"14.8284","169.7175","0","121.0508","1597.4375","1548.7708","48.6667"
08/21/2021 08:00,"20.9967","155.6671","0","107.6671","2609.3333","2561.3333","48"
08/21/2021 08:15,"28.3278","151.4068","0","103.4068","2310.3958","2262.3958","48"
08/21/2021 08:30,"35.3267","153.022","0","105.022","2929.4583","2881.4583","48"
08/21/2021 08:45,"44.3263","161.9105","0","114.2439","2864.6875","2817.0208","47.6667"
08/21/2021 09:00,"52.8239","2376.791","0","2328.1243","3760.5417","3711.875","48.6667"
