Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
08/13/2021 00:00,"10.4983","174.4931","0","174.4931","0","0","0"
08/13/2021 00:15,"10.4983","167.0414","0","167.0414","0","0","0"
08/13/2021 00:30,"10.4983","171.6022","0","171.6022","0","0","0"
08/13/2021 00:45,"10.4983","171.141","0","171.141","0","0","0"
08/13/2021 01:00,"10.4983","175.9457","0","175.9457","0","0","0"
08/13/2021 01:15,"10.4983","164.1253","0","164.1253","0","0","0"
08/13/2021 01:30,"10.4983","175.9991","0","175.9991","0","0","0"
08/13/2021 01:45,"10.4983","166.4719","0","166.4719","0","0","0"
08/13/2021 02:00,"10.4983","170.6035","0","170.6035","0","0","0"
08/13/2021 02:15,"10.4983","168.644","0","168.644","0","0","0"
08/13/2021 02:30,"10.4983","161.5054","0","161.5054","0","0","0"
08/13/2021 02:45,"10.4983","166.2909","0","166.2909","0","0","0"
08/13/2021 03:00,"10.4983","165.897","0","165.897","0","0","0"
08/13/2021 03:15,"10.4983","170.7623","0","170.7623","0","0","0"
08/13/2021 03:30,"10.4983","169.4514","0","169.4514","0","0","0"
08/13/2021 03:45,"10.4983","181.7463","0","181.7463","0","0","0"
08/13/2021 04:00,"10.4983","172.4817","0","172.4817","0","0","0"
08/13/2021 04:15,"10.4983","166.6799","0","166.6799","0","0","0"
08/13/2021 04:30,"10.4983","172.7936","0","172.7936","0","0","0"
08/13/2021 04:45,"10.4983","170.6253","0","170.6253","0","0","0"
08/13/2021 05:00,"10.4983","170.4565","0","170.4565","0","0","0"
08/13/2021 05:15,"10.4983","171.7014","0","171.7014","0","0","0"
08/13/2021 05:30,"10.4983","177.9559","0","177.9559","0","0","0"
08/13/2021 05:45,"10.4983","150.6147","0","127.2813","0","0","23.3333"
08/13/2021 06:00,"10.4983","150.6782","0","59.3448","0","0","91.3333"
08/13/2021 06:15,"10.4983","163.8425","12.5939","16.7697","0","0","159.6667"
08/13/2021 06:30,"10.4983","154.5107","29.7534","4.2641","405.2292","225.2292","180"
08/13/2021 06:45,"12.1595","152.2942","1.9481","11.9089","939.3333","797","142.3333"
08/13/2021 07:00,"14.33","167.3233","11.7895","25.1128","975.1875","821.1875","154"
08/13/2021 07:15,"16.9952","145.363","3.7011","26.0641","1268.9584","1145.9583","123"
08/13/2021 07:30,"19.9963","150.6459","7.5277","11.507","1239.2709","1092.6041","146.6667"
08/13/2021 07:45,"21.9934","136.4527","5.5995","6.0522","801.8125","665.8125","136"
08/13/2021 08:00,"26.3271","151.8191","4.5596","42.7121","2526.8958","2413.2292","113.6667"
08/13/2021 08:15,"32.9937","151.2147","26.2207","70.1021","2381.1458","2273.8125","107.3333"
08/13/2021 08:30,"38.4939","162.0399","49.1446","49.5179","2203.625","2041.9584","161.6667"
08/13/2021 08:45,"43.4958","129.205","27.795","0","1563.25","1406.25","157"
08/13/2021 09:00,"48.3278","164.1878","33.8122","0","2077.75","1879.75","198"
08/13/2021 09:15,"54.6585","1215.7209","42.885","59.606","3418.8125","2219.8125","1199"
08/13/2021 09:30,"55.1606","3378.6506","76.9398","7.9236","2465.1667","-982.5001","3447.6667"
08/13/2021 09:45,"50.4946","3218.3716","220.5051","38.21","1486.7291","-1913.9375","3400.6667"
08/13/2021 10:00,"45.3304","2254.8098","0","5.143","800.4583","-1449.2083","2249.6667"
08/13/2021 10:15,"43.4994","0","0","0","0","0","0"
08/13/2021 10:30,"43.3296","0","0","0","0","0","0"
08/13/2021 10:45,"42.4917","1201.3976","20.4006","86.1316","277.2083","-608.125","1135.6666"
08/13/2021 11:00,"36.4932","3335.0171","13.009","13.0261","906.75","-2428.25","3335"
08/13/2021 11:15,"29.4943","3360.8486","0","33.5154","1333.3959","-1993.9375","3327.3333"
08/13/2021 11:30,"22.3256","3295.3691","0","11.0359","962.2292","-2322.1042","3284.3333"
08/13/2021 11:45,"14.1602","3278.9905","14.6111","8.2684","1014.8125","-2270.5208","3285.3333"
08/13/2021 12:00,"10.3285","3321.8892","0","2106.5557","1678.6875","463.3542","1215.3334"
08/13/2021 12:15,"11.495","3405.5464","0","585.5463","2820","0","2820"
08/13/2021 12:30,"11.9934","3449.6846","0","1204.3512","2245.3333","0","2245.3333"
08/13/2021 12:45,"11.495","3399.7349","62.2648","349.9998","2076.8542","-1035.1459","3112"
08/13/2021 13:00,"10.4983","3435.5","128.4231","1452.923","2585.1458","474.1458","2111"
08/13/2021 13:15,"11.8272","3441.7268","0","1313.3936","2128.3333","0","2128.3333"
08/13/2021 13:30,"11.9934","4330.3472","316.6937","398.7072","3560.5417","-687.7917","4248.3335"
08/13/2021 13:45,"10.4983","3028.6836","0","753.0168","1810.7084","-464.9583","2275.6667"
08/13/2021 14:00,"11.6611","3462.7632","0","1270.0964","2192.6667","0","2192.6667"
08/13/2021 14:15,"12.1595","3512.928","140.8032","1156.7312","2447.5833","-49.4167","2497"
08/13/2021 14:30,"15.6626","165.131","0","161.131","2453.5208","2449.5208","4"
08/13/2021 14:45,"21.1628","149.4015","0","123.0682","1391.7709","1365.4375","26.3333"
08/13/2021 15:00,"22.9937","170.3736","7.9392","15.9795","599.8125","437.4792","162.3333"
08/13/2021 15:15,"25.4965","168.8998","22.7785","59.0116","1511.9375","1379.2708","132.6667"
08/13/2021 15:30,"29.6641","1266.4435","0","146.7768","1125.1666","5.5","1119.6666"
08/13/2021 15:45,"24.1639","3386.4404","4.0162","14.4565","581.75","-2794.25","3376"
08/13/2021 16:00,"13.9978","3324.1897","3.0031","23.5261","66.875","-3170.0417","3303.6667"
08/13/2021 16:15,"8.66","3360.3845","0","3311.7178","254.4375","659.8542","48.6667"
08/13/2021 16:30,"11.1628","3348.5654","0","3066.8987","424.6042","142.9375","281.6667"
08/13/2021 16:45,"10.1661","3346.9375","0","2206.6042","104.125","-956.5417","1140.3334"
08/13/2021 17:00,"10.6645","1215.0311","0","1150.3645","0","0","64.6667"
08/13/2021 17:15,"10.9967","157.6264","0","99.2931","0","0","58.3333"
08/13/2021 17:30,"10.9967","167.7226","0","133.3892","0","0","34.3333"
08/13/2021 17:45,"10.9967","172.9604","0","172.9604","0","0","0"
08/13/2021 18:00,"10.9967","163.7748","0","163.7748","0","0","0"
08/13/2021 18:15,"10.9967","163.067","0","163.067","0","0","0"
08/13/2021 18:30,"10.9967","173.2684","0","173.2684","0","0","0"
08/13/2021 18:45,"10.9967","163.2816","0","163.2816","0","0","0"
08/13/2021 19:00,"10.9967","163.6942","0","163.6942","0","0","0"
08/13/2021 19:15,"10.9967","161.5607","0","161.5607","0","0","0"
08/13/2021 19:30,"10.8306","163.2255","0","163.2255","0","0","0"
08/13/2021 19:45,"10.4983","171.7861","0","171.7861","0","0","0"
08/13/2021 20:00,"10.4983","172.4473","0","172.4473","0","0","0"
08/13/2021 20:15,"10.4983","170.04","0","170.04","0","0","0"
08/13/2021 20:30,"10.4983","168.2523","0","168.2523","0","0","0"
08/13/2021 20:45,"10.4983","169.441","0","169.441","0","0","0"
08/13/2021 21:00,"10.4983","166.6631","0","166.6631","0","0","0"
08/13/2021 21:15,"10.4983","171.2719","0","171.2719","0","0","0"
08/13/2021 21:30,"10.4983","165.6339","0","165.6339","0","0","0"
08/13/2021 21:45,"10.4983","173.7338","0","173.7338","0","0","0"
08/13/2021 22:00,"10.4983","171.8357","0","171.8357","0","0","0"
08/13/2021 22:15,"10.4983","173.4899","0","173.4899","0","0","0"
08/13/2021 22:30,"10.4983","158.075","0","158.075","0","0","0"
08/13/2021 22:45,"10.4983","174.4534","0","174.4534","0","0","0"
08/13/2021 23:00,"10.4983","165.9137","0","165.9137","0","0","0"
08/13/2021 23:15,"10.4983","162.3005","0","162.3005","0","0","0"
08/13/2021 23:30,"10.4983","176.7294","0","176.7294","0","0","0"
08/13/2021 23:45,"10.4983","173.4754","0","173.4754","0","0","0"
08/14/2021 00:00,"10.4983","181.8688","0","170.8688","0","0","11"
08/14/2021 00:15,"10.4983","180.5628","0","169.8961","0","0","10.6667"
08/14/2021 00:30,"10.4983","169.5365","0","169.5365","0","0","0"
08/14/2021 00:45,"10.4983","180.3529","0","169.3529","0","0","11"
08/14/2021 01:00,"10","173.6902","0","161.0236","0","0","12.6667"
08/14/2021 01:15,"10","187.6266","0","176.9599","0","0","10.6667"
08/14/2021 01:30,"10","171.6048","0","171.6048","0","0","0"
08/14/2021 01:45,"10","166.4516","0","166.4516","0","0","0"
08/14/2021 02:00,"10","174.0414","0","163.3748","0","0","10.6667"
08/14/2021 02:15,"10","198.1177","0","176.7843","0","0","21.3333"
08/14/2021 02:30,"10","176.6902","0","166.6902","0","0","10"
08/14/2021 02:45,"10","169.0464","0","169.0464","0","0","0"
08/14/2021 03:00,"10","160.6353","0","160.6353","0","0","0"
08/14/2021 03:15,"10","176.4553","0","163.4553","0","0","13"
08/14/2021 03:30,"10","174.0203","0","164.0203","0","0","10"
08/14/2021 03:45,"10","186.8809","0","165.8809","0","0","21"
08/14/2021 04:00,"10","177.963","0","167.6297","0","0","10.3333"
08/14/2021 04:15,"10","181.3041","0","170.9707","0","0","10.3333"
