Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
09/10/2021 00:00,"10.4983","159.1175","0","159.1175","0","0","0"
09/10/2021 00:15,"10.4983","160.6991","0","160.6991","0","0","0"
09/10/2021 00:30,"10.4983","158.6835","0","158.6835","0","0","0"
09/10/2021 00:45,"10.1661","163.5179","0","163.5179","0","0","0"
09/10/2021 01:00,"10","167.3922","0","167.3922","0","0","0"
09/10/2021 01:15,"10","163.1988","0","163.1988","0","0","0"
09/10/2021 01:30,"10","156.5354","0","156.5354","0","0","0"
09/10/2021 01:45,"10","162.4605","0","162.4605","0","0","0"
09/10/2021 02:00,"10","159.316","0","159.316","0","0","0"
09/10/2021 02:15,"10","176.4224","0","176.4224","0","0","0"
09/10/2021 02:30,"10","162.8945","0","162.8945","0","0","0"
09/10/2021 02:45,"10","167.9004","0","167.9004","0","0","0"
09/10/2021 03:00,"10","155.1401","0","155.1401","0","0","0"
09/10/2021 03:15,"10","166.7127","0","166.7127","0","0","0"
09/10/2021 03:30,"10","167.2609","0","167.2609","0","0","0"
09/10/2021 03:45,"9.8302","162.2624","0","162.2624","0","0","0"
09/10/2021 04:00,"9.4906","166.1966","0","166.1966","0","0","0"
09/10/2021 04:15,"9.4906","175.4607","0","165.1273","0","0","10.3333"
09/10/2021 04:30,"9.4906","158.4422","0","158.4422","0","0","0"
09/10/2021 04:45,"9.4906","183.6533","0","173.32","0","0","10.3333"
09/10/2021 05:00,"9.4906","165.5426","0","165.5426","0","0","0"
09/10/2021 05:15,"9.4906","161.6291","0","153.9624","0","0","7.6667"
09/10/2021 05:30,"9.4906","141.4727","0","125.1393","0","0","16.3333"
09/10/2021 05:45,"9.4906","159.1682","0","127.1682","0","44.6875","32"
09/10/2021 06:00,"10.1661","150.3965","0","71.7299","497.4167","418.75","78.6667"
09/10/2021 06:15,"11.8272","160.0001","1.4576","13.4577","853.5208","705.5209","148"
09/10/2021 06:30,"14.1639","152.9942","3.317","12.6445","1139.625","995.9583","143.6667"
09/10/2021 06:45,"17.1613","140.1953","11.8548","3.3834","1592.9791","1444.3125","148.6667"
09/10/2021 07:00,"19.9963","143.2666","4.2229","16.1562","875.375","744.0417","131.3333"
09/10/2021 07:15,"22.1595","157.7609","0","13.0942","1102.2916","957.5209","144.6667"
09/10/2021 07:30,"25.4965","136.5332","6.1687","78.0352","1342.375","1277.7084","64.6667"
09/10/2021 07:45,"30.8306","154.3405","16.3243","59.6648","2571.5208","2460.5208","111"
09/10/2021 08:00,"32.9937","3358.3347","45.3522","17.3535","2282.0208","-1104.3125","3386.3333"
09/10/2021 08:15,"29.6641","3321.7805","63.7344","102.5149","3073.0208","-209.9792","3283"
09/10/2021 08:30,"26.3271","3440.6558","35.6166","32.9389","2835.2708","-608.0624","3443.3333"
09/10/2021 08:45,"21.997","3353.6157","5.2057","99.8216","1850.7084","-1408.2916","3259"
09/10/2021 09:00,"18.4939","3485.4216","0","131.4217","3003.9375","-350.0625","3354"
09/10/2021 09:15,"15.825","3348.363","72.8182","57.8479","3063.8125","-299.5208","3363.3333"
09/10/2021 09:30,"12.9937","3440.3992","0","30.7325","2098.4792","-1311.1875","3409.6667"
09/10/2021 09:45,"10.8306","3533.0706","0","49.7373","2878.5417","-604.7917","3483.3333"
09/10/2021 10:00,"10.8306","3491.0842","0","1872.4176","1618.6666","0","1618.6666"
09/10/2021 10:15,"10.9967","3522.8044","0","1862.1378","1660.6666","0","1660.6666"
09/10/2021 10:30,"10.9967","3457.7671","0","1541.1003","1916.6666","0","1916.6666"
09/10/2021 10:45,"10.9967","3462.8667","0","1570.5334","1892.3334","0","1892.3334"
09/10/2021 11:00,"10.9967","3449.1113","0","1423.778","2025.3334","0","2025.3334"
09/10/2021 11:15,"10.9967","3491.2161","0","634.5493","3105","248.3333","2856.6667"
09/10/2021 11:30,"11.6611","3485.8511","33.2409","23.4253","3705.6042","209.9375","3495.6667"
09/10/2021 11:45,"12.4917","3716.3748","0","54.3748","3775.9167","113.9167","3662"
09/10/2021 12:00,"10.6608","3811.7085","33.0008","569.0425","3130.4583","-145.2083","3275.6667"
09/10/2021 12:15,"10.9967","3520.9321","151.6424","4.9078","3667.6667","0","3667.6667"
09/10/2021 12:30,"11.6611","3538.6223","103.4279","536.3835","3105.6667","0","3105.6667"
09/10/2021 12:45,"11.8272","3538.2258","0","689.8926","2535.1458","-313.1875","2848.3333"
09/10/2021 13:00,"9.8302","3479.4656","0","2927.4656","1325.3334","773.3333","552"
09/10/2021 13:15,"11.495","3418.7866","0","2101.4531","1317.3334","0","1317.3334"
09/10/2021 13:30,"11.9934","3369.3955","0","2181.729","1187.6666","0","1187.6666"
09/10/2021 13:45,"10.6608","3346.3191","74.1115","1853.4307","1136.5","-430.5","1567"
09/10/2021 14:00,"10.3285","3363.9067","0","2447.24","1366.3959","449.7292","916.6667"
09/10/2021 14:15,"11.8272","3370.2134","3.3158","1568.1959","910.6875","-894.6458","1805.3334"
09/10/2021 14:30,"9.1621","2278.1509","0","2231.1509","795.6042","748.6042","47"
09/10/2021 14:45,"11.495","2280.2314","40.3019","1823.5333","497","0","497"
09/10/2021 15:00,"10.1624","2227.0205","0","1080.354","160.3125","-1146.6666","1146.6666"
09/10/2021 15:15,"10.4983","2279.8008","0","1947.4675","802.2917","469.9583","332.3333"
09/10/2021 15:30,"11.8272","2225.8389","154.4908","1551.3297","829","0","829"
09/10/2021 15:45,"9.3282","1175.5454","0","75.8788","421.3333","-678.3333","1099.6666"
09/10/2021 16:00,"9.4943","1188.2262","0","1140.5596","481.125","433.4583","47.6667"
09/10/2021 16:15,"11.495","1180.1978","36.5233","953.7211","356.375","93.375","263"
09/10/2021 16:30,"10.3285","1178.4695","0.3469","44.1497","0","-981.1042","1134.6666"
09/10/2021 16:45,"9.8265","2214.9519","0","2163.2852","0","0","51.6667"
09/10/2021 17:00,"10.4983","2265.6587","0","2236.6587","0","0","29"
09/10/2021 17:15,"10.4983","1175.7208","0","1160.7208","0","0","15"
09/10/2021 17:30,"10.4983","160.1295","0","160.1295","0","0","0"
09/10/2021 17:45,"10.3322","150.5133","0","150.5133","0","0","0"
09/10/2021 18:00,"10","163.9099","0","163.9099","0","0","0"
09/10/2021 18:15,"10","165.3277","0","165.3277","0","0","0"
09/10/2021 18:30,"10","155.4829","0","155.4829","0","0","0"
09/10/2021 18:45,"10","155.3863","0","155.3863","0","0","0"
09/10/2021 19:00,"10","154.8263","0","154.8263","0","0","0"
09/10/2021 19:15,"9.7453","155.3236","0","155.3236","0","0","0"
09/10/2021 19:30,"9.4906","146.7249","0","146.7249","0","0","0"
09/10/2021 19:45,"9.4906","178.2294","0","168.2294","0","0","10"
09/10/2021 20:00,"9.4906","176.4211","0","166.0878","0","0","10.3333"
09/10/2021 20:15,"9.4906","189.5904","0","167.5904","0","0","22"
09/10/2021 20:30,"9.4906","162.2104","0","162.2104","0","0","0"
09/10/2021 20:45,"9.4906","164.8922","0","164.8922","0","0","0"
09/10/2021 21:00,"9.4906","162.9815","0","152.3148","0","0","10.6667"
09/10/2021 21:15,"9.4906","166.8732","0","157.2065","0","0","9.6667"
09/10/2021 21:30,"9.4906","165.8881","0","165.8881","0","0","0"
09/10/2021 21:45,"9.4906","192.5536","0","171.8869","0","0","20.6667"
09/10/2021 22:00,"9.4906","172.4141","0","159.4141","0","0","13"
09/10/2021 22:15,"9.4906","158.3017","0","158.3017","0","0","0"
09/10/2021 22:30,"9.1584","173.7052","0","164.3719","0","0","9.3333"
09/10/2021 22:45,"8.9922","178.2903","0","167.2903","0","0","11"
09/10/2021 23:00,"8.9922","162.2688","0","162.2688","0","0","0"
09/10/2021 23:15,"8.9922","182.8276","0","161.4943","0","0","21.3333"
09/10/2021 23:30,"8.9922","178.2759","0","168.6093","0","0","9.6667"
09/10/2021 23:45,"8.9922","165.5697","0","154.903","0","0","10.6667"
09/11/2021 00:00,"8.9922","164.5078","0","164.5078","0","0","0"
09/11/2021 00:15,"8.9922","166.8788","0","166.8788","0","0","0"
09/11/2021 00:30,"8.9922","177.3773","0","156.7106","0","0","20.6667"
09/11/2021 00:45,"8.9922","158.496","0","158.496","0","0","0"
09/11/2021 01:00,"8.9922","147.4208","0","147.4208","0","0","0"
09/11/2021 01:15,"8.9922","189.647","0","168.9803","0","0","20.6667"
09/11/2021 01:30,"8.9922","202.0748","0","169.7415","0","0","32.3333"
09/11/2021 01:45,"8.9922","176.6182","0","165.9515","0","0","10.6667"
09/11/2021 02:00,"8.9922","173.6414","0","173.6414","0","0","0"
09/11/2021 02:15,"8.9922","182.1124","0","161.4458","0","0","20.6667"
09/11/2021 02:30,"8.4939","163.7297","0","153.063","0","0","10.6667"
09/11/2021 02:45,"8.4939","161.245","0","161.245","0","0","0"
09/11/2021 03:00,"8.4939","164.5565","0","153.8899","0","0","10.6667"
09/11/2021 03:15,"8.4939","157.2737","0","157.2737","0","0","0"
09/11/2021 03:30,"8.4939","165.1018","0","165.1018","0","0","0"
09/11/2021 03:45,"8.4939","188.326","0","157.326","0","0","31"
09/11/2021 04:00,"8.4939","168.1252","0","168.1252","0","0","0"
09/11/2021 04:15,"8.4939","159.0816","0","159.0816","0","0","0"
09/11/2021 04:30,"8.4939","165.9655","0","155.6322","0","0","10.3333"
09/11/2021 04:45,"8.4939","186.325","0","163.6584","0","0","22.6667"
09/11/2021 05:00,"8.4939","169.6434","0","169.6434","0","0","0"
09/11/2021 05:15,"8.4939","169.7828","0","161.5328","0","0","8.25"
09/11/2021 05:30,"8.4939","177.2552","0","150.2552","0","0","27"
09/11/2021 05:45,"8.4939","152.9988","0","108.3321","0","0","44.6667"
09/11/2021 06:00,"8.4939","148.3239","0","99.9906","0","39.375","48.3333"
09/11/2021 06:15,"9.1584","141.3074","0","93.3074","71.6042","101.1875","48"
09/11/2021 06:30,"10.6645","156.6066","0","108.6066","139.3542","200.1042","48"
09/11/2021 06:45,"11.8272","150.1135","0","102.1135","440.5417","392.5417","48"
09/11/2021 07:00,"12.6578","153.514","0","105.8474","0","148.6042","47.6667"
09/11/2021 07:15,"12.99","158.8684","0","109.2018","0","0","49.6667"
09/11/2021 07:30,"13.1598","156.0069","0","107.6736","200.1042","219.8125","48.3333"
09/11/2021 07:45,"13.9978","149.477","0","101.8104","636.5625","588.8958","47.6667"
09/11/2021 08:00,"15.6589","150.0207","0","102.0207","768.7083","720.7083","48"
09/11/2021 08:15,"17.3311","158.9235","0","110.5902","663.8333","615.5","48.3333"
09/11/2021 08:30,"18.1617","161.8034","0","113.47","493.7083","445.375","48.3333"
09/11/2021 08:45,"19.6604","142.0418","0","94.3751","802.3125","754.6459","47.6667"
09/11/2021 09:00,"21.495","152.1855","0","104.5189","498.5417","451.2292","47.6667"
09/11/2021 09:15,"22.3256","166.0959","0","118.7626","390.3542","343.0208","47.3333"
09/11/2021 09:30,"24.1602","155.8526","0","108.1859","987.7083","940.0417","47.6667"
09/11/2021 09:45,"26.8291","147.1821","0","98.8488","655.9583","607.625","48.3333"
09/11/2021 10:00,"28.4939","154.0161","0","106.0161","489.2708","441.2708","48"
09/11/2021 10:15,"30.1624","152.6517","0","104.6517","574.4167","526.4167","48"
09/11/2021 10:30,"31.9934","151.7652","0","104.0986","533.4167","485.75","47.6667"
09/11/2021 10:45,"33.4958","159.0249","0","111.3582","436.8958","389.2292","47.6667"
09/11/2021 11:00,"35.1606","152.9133","0","106.2466","788","741.3333","46.6667"
09/11/2021 11:15,"37.9956","157.0848","0","109.7515","1058.4166","1011.0833","47.3333"
09/11/2021 11:30,"40.8306","149.5242","0","100.8575","690.1042","641.4375","48.6667"
09/11/2021 11:45,"42.1595","156.5527","0","107.2193","292.0625","242.7292","49.3333"
09/11/2021 12:00,"42.9937","155.7739","0","108.4405","451.9792","404.6458","47.3333"
09/11/2021 12:15,"44.1639","154.0562","0","106.0562","265.3958","217.3958","48"
09/11/2021 12:30,"45.1606","145.7033","0","97.0366","0","0","48.6667"
09/11/2021 12:45,"45.4928","155.5878","0","107.2545","155.3542","166.7708","48.3333"
09/11/2021 13:00,"46.3271","156.1769","0","107.5102","259.7083","211.0417","48.6667"
09/11/2021 13:15,"47.3311","167.4849","0","120.8183","337.3542","290.6875","46.6667"
09/11/2021 13:30,"48.1617","153.1887","0","105.8554","348.4167","301.0833","47.3333"
09/11/2021 13:45,"49.1584","152.5427","0","103.876","570.9167","522.25","48.6667"
09/11/2021 14:00,"50.4983","152.4818","0","104.8151","704","656.3333","47.6667"
09/11/2021 14:15,"52.4917","149.947","0","101.947","803.2708","755.2708","48"
09/11/2021 14:30,"54.4961","157.8556","0","110.1889","675.9167","628.25","47.6667"
09/11/2021 14:45,"55.6589","148.2268","0","100.5602","466.0208","418.3542","47.6667"
09/11/2021 15:00,"56.4932","162.9878","0","115.3211","416.9375","369.2708","47.6667"
09/11/2021 15:15,"57.4972","147.6815","0","99.0148","484.6458","435.9792","48.6667"
09/11/2021 15:30,"58.4939","156.281","0","108.281","547.0625","499.0625","48"
