Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
09/24/2021 00:00,"8.4939","178.4426","0","156.4426","0","0","22"
09/24/2021 00:15,"8.4939","165.8549","0","165.8549","0","0","0"
09/24/2021 00:30,"8.4939","156.9977","0","156.9977","0","0","0"
09/24/2021 00:45,"8.4939","177.0698","0","166.4031","0","0","10.6667"
09/24/2021 01:00,"8.4939","183.4877","0","161.821","0","0","21.6667"
09/24/2021 01:15,"8.4939","167.0437","0","167.0437","0","0","0"
09/24/2021 01:30,"8.4939","170.1203","0","158.7869","0","0","11.3333"
09/24/2021 01:45,"8.4939","170.7278","0","160.0612","0","0","10.6667"
09/24/2021 02:00,"8.4939","173.0209","0","150.0209","0","0","23"
09/24/2021 02:15,"8.4939","171.1758","0","158.1758","0","0","13"
09/24/2021 02:30,"8.4939","175.1968","0","154.1968","0","0","21"
09/24/2021 02:45,"8.4939","188.4557","0","166.7891","0","0","21.6667"
09/24/2021 03:00,"8.4939","169.5715","0","158.9049","0","0","10.6667"
09/24/2021 03:15,"7.9956","155.3653","0","155.3653","0","0","0"
09/24/2021 03:30,"7.9956","170.8327","0","160.4994","0","0","10.3333"
09/24/2021 03:45,"7.9956","168.4435","0","157.4435","0","0","11"
09/24/2021 04:00,"7.9956","162.0401","0","162.0401","0","0","0"
09/24/2021 04:15,"7.9956","191.5924","0","170.5924","0","0","21"
09/24/2021 04:30,"7.9956","193.5523","0","161.219","0","0","32.3333"
09/24/2021 04:45,"7.9956","170.78","0","160.4467","0","0","10.3333"
09/24/2021 05:00,"7.9956","161.7011","0","161.7011","0","0","0"
09/24/2021 05:15,"7.9956","177.9682","0","164.6349","0","0","13.3333"
09/24/2021 05:30,"7.9956","184.0338","0","136.7005","0","0","47.3333"
09/24/2021 05:45,"7.9956","147.0005","16.5908","17.258","0","0","146.3333"
09/24/2021 06:00,"7.9956","139.8445","171.8222","0","311.6667","0","311.6667"
09/24/2021 06:15,"7.9956","160.3925","306.9408","0","467.3333","0","467.3333"
09/24/2021 06:30,"7.9956","157.2809","338.3857","0","495.6667","0","495.6667"
09/24/2021 06:45,"7.9956","156.3672","478.2995","0","634.6667","0","634.6667"
09/24/2021 07:00,"7.9956","141.5793","616.4207","0","758","0","758"
09/24/2021 07:15,"7.9956","150.0939","745.2394","0","895.3333","0","895.3333"
09/24/2021 07:30,"7.9956","177.2523","1861.4143","0","2038.6666","0","2038.6666"
09/24/2021 07:45,"7.9956","144.1187","2448.8813","0","2593","0","2593"
09/24/2021 08:00,"7.9956","123.9082","2723.425","0","2847.3333","0","2847.3333"
09/24/2021 08:15,"7.9956","3392.2852","0","1959.6185","1432.6666","0","1432.6666"
09/24/2021 08:30,"7.9956","3275.0776","0","2151.4111","1123.6666","0","1123.6666"
09/24/2021 08:45,"7.9956","3293.1724","0","1703.8389","1589.3334","0","1589.3334"
09/24/2021 09:00,"7.9956","3323.7893","753.355","58.811","4018.3333","0","4018.3333"
09/24/2021 09:15,"7.9956","3449.0693","0","1131.4025","2317.6667","0","2317.6667"
09/24/2021 09:30,"7.9956","3442.1335","1181.8665","0","4624","0","4624"
09/24/2021 09:45,"7.9956","3314.6616","1019.3384","0","4334","0","4334"
09/24/2021 10:00,"7.9956","3393.5137","909.6591","508.5061","3794.6667","0","3794.6667"
09/24/2021 10:15,"8.1617","3504.5703","440.719","1197.2893","3791.9583","3131.875","2748"
09/24/2021 10:30,"10.9967","3434.2432","0","1519.243","1915","0","1915"
