time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,3.19,2.07,0.0
20200101:0110,0.0,0.0,0.0,2.89,2.0,0.0
20200101:0210,0.0,0.0,0.0,2.11,1.66,0.0
20200101:0310,0.0,0.0,0.0,1.2,1.79,0.0
20200101:0410,0.0,0.0,0.0,0.44,1.86,0.0
20200101:0510,0.0,0.0,0.0,-0.25,1.93,0.0
20200101:0610,0.0,0.0,0.0,-0.63,1.93,0.0
20200101:0710,0.0,0.0,0.0,-0.63,2.0,0.0
20200101:0810,11.75,10.49,2.77,-0.8,2.0,0.0
20200101:0910,412.85,107.63,8.95,0.19,1.52,0.0
20200101:1010,630.2,156.42,13.39,2.45,1.24,0.0
20200101:1110,721.4,177.52,15.72,3.89,1.31,0.0
20200101:1210,1983.95,462.33,15.74,4.87,1.31,0.0
20200101:1310,2353.35,552.54,13.44,5.65,1.31,0.0
20200101:1410,1584.8,374.32,9.03,5.87,1.03,0.0
20200101:1510,13.6,11.37,2.88,5.28,1.24,0.0
20200101:1610,0.0,0.0,0.0,3.7,1.72,0.0
20200101:1710,0.0,0.0,0.0,2.13,2.07,0.0
20200101:1810,0.0,0.0,0.0,1.22,2.34,0.0
20200101:1910,0.0,0.0,0.0,0.51,2.62,0.0
20200101:2010,0.0,0.0,0.0,0.43,2.69,0.0
20200101:2110,0.0,0.0,0.0,0.25,2.62,0.0
20200101:2210,0.0,0.0,0.0,0.25,2.55,0.0
20200101:2310,0.0,0.0,0.0,0.25,2.41,0.0
20200102:0010,0.0,0.0,0.0,0.47,2.34,0.0
20200102:0110,0.0,0.0,0.0,0.62,2.34,0.0
20200102:0210,0.0,0.0,0.0,0.88,2.28,0.0
20200102:0310,0.0,0.0,0.0,1.27,2.28,0.0
20200102:0410,0.0,0.0,0.0,1.78,2.34,0.0
20200102:0510,0.0,0.0,0.0,2.2,2.41,0.0
20200102:0610,0.0,0.0,0.0,2.81,2.62,0.0
20200102:0710,0.0,0.0,0.0,1.72,2.62,0.0
20200102:0810,18.9,13.12,2.79,2.3,2.76,0.0
20200102:0910,1670.5,384.83,8.99,2.94,2.76,0.0
